,Abstract
131,"Phytophthora root and stem rot (PRR) of soybean, caused by Phytophthora sojae, is effectively controlled by Rps genes in soybean. Rps genes are race-specific, yet the mechanism of resistance, as well as susceptibility, remains largely unclear. Taking advantage of RNA-seq technology, we sequenced the transcriptomes of 10 near isogenic lines (NIL), each with a unique Rps gene, and the recurrent susceptible parent 'Williams'. A total of 4330 differentially expressed genes (DEGs) were identified in 'Williams' while 2075 to 5499 DEGs were identified in each NIL. Comparisons between the NILs and 'Williams' allowed classification of two major groups of DEGs of interest: incompatible reaction associated genes (IRAGs) and compatible reaction associated genes (CRAGs). Hierarchical cluster analysis divided NILs into three clusters: Cluster I (Rps1-a), Cluster II (Rps1-b, 1-c and 1-k) and Cluster III (Rps3-a, 3-b, 3-c, 4, 5, and 6). Heatmap analysis, along with GO analysis suggested that the diversity of clusters for NILs were likely due to variation of the number of DEGs and the intensity of gene expression, rather than functional differentiation. Further analysis suggested that transcription factors might play pivotal role in determination of the cluster pattern, and that WRKY family were strongly associated with incompatible reactions. Analysis of IRAGs and CRAGs with putative functions suggested that the regulation of many phytohormone signaling pathways were associated with incompatible or compatible interactions with potential crosstalk between each other. As such, our study provides an in depth view of both incompatible and compatible interactions between soybean and P. sojae, which provides further insight into the mechanisms involved in host-pathogen interactions. Overall design: 22 samples were sequenced, 11 inoculated with P. sojae, the other 11 were mock-inoculated"
132,"The purpose of this study is to compare transcriptome profiles of one fast wilting and two slow wilting genotypes under low- and high- vapor pressure deficit Experiments: Five differential expression analyses were performed. 1. Differences within the Hutchesen line for slow and fast wilting; 2. Differences within the PI471938 line for slow and fast wilting; 3. Differences within the PI416937 line for slow and fast wilting; Differences between Hutchesen, PI471938 and PI416937 (regardless of pheotype); 5. Comparison between all lines and all pheotypes Methods: RNASeq data was generated using the Illumina HiSeq. Data passing quality control was processed as follows: Alignment to reference genome Gmax_109 using Tophat2 followed by the Tuxedo pipeline (cufflinks, cuffmerge, cuffdiff). Overall design: Three cultivars, (wild-type Hutchesen and two parentla lines - PI471938 and PI416937; two conditions (normal and slow-wilting); two reps each for a total of 12 samples"
133,Two week old soybean roots treated with a liquid medium containing only jasmonic acid.
134,Two week old soybean roots treated with a liquid medium containing only indole-3-acetic acid (IAA)
135,Two week old soybean roots treated with a liquid medium containing only ethylene (ETH).
136,Two week old soybean roots grown in a dark setting and not treated with any phytohormone.
137,"In order to identify candidate genes that are involved in soybean flowering transition in response to photoperiods, we performed RNA sequencing analysis under different photoperiod treatments. We identified genes exhibiting daily oscillation patterns under different photoperiod treatments, genes under control of maturity loci (E1, E2, E3 and E5), and genes that constitute the soybean flowering gene network. Overall design: RNA sequencing analysis was performed using Williams 82, Clark and four NILs in Clark that are polymorphic for E loci (E1, E2, E3 and E5), as well as the wild soybean Glycine soja, under different photoperiod treatments."
138,"The sustainability of soybean growth is being significantly affected by increases in ozone concentration. Current increases in ozone concentrations have decreased soybean yields by ~15-25%. Furthermore, soybean plants differentiate many more floral buds than survive to mature pods. Studies have found that pod set can be as low as 20-40% under normal conditions. Generally, it is assumed that abortion rates can vary based on location in the canopy, source-sink relationship, hormone levels, shade, water status. However, the genetic controls of flower and pod abscission in soybean are largely unknown, and the effects of ozone on flower and pod abscission have not been thoroughly investigated. Due to the negative effects of ozone on yield, it is of critical importance to understand the genetic control behind soybean abortion. The objective of this study is to understand the gene expression patterns underpinning flower and pod abscission rates in soybean exposed to elevated ozone concentrations."
139,"The plant cell wall performs a number of essential functions including providing shape to many different cell types and serving as a defense against potential pathogens. The net pattern mutation creates breaks in the seed coat of soybean (Glycine max) because of ruptured cell walls. Using RNA-Seq, we examined the seed coat transcriptome from three stages of immature seed development in two pairs of isolines with normal or defective seed coat phenotypes due to the net pattern. The genome-wide comparative study of the transcript profiles of these isolines revealed 364 differentially expressed genes in common between the two varieties that were further divided into different broad functional categories. Genes related to cell wall processes accounted for 19% of the differentially expressed genes in the middle developmental stage of 100-200 mg seed weight. Within this class, the cell wall proline-rich and glycine-rich protein genes were highly differentially expressed in both genetic backgrounds. Other genes that showed significant expression changes in each of the isoline pairs at the 100-200 mg seed weight stage were xylem serine proteinase, fasciclin-related genes, auxin and stress response related genes, TRANSPARENT TESTA 1 (TT1) and other transcription factors. The mutant appears to shift the timing of either the increase or decrease in the levels of some of the transcripts.  The analysis of these data sets reveals the physiological changes that the seed coat undergoes during the formation of the breaks in the cell wall. Overall design: Examination of soybean isolines in two different genetic background at three different seed weight stages: Seed coats of Clark standard (CS, wild type) &amp; Clark defective (CD, seed coat mutant), Harosoy Standard (HS) &amp; Harosoy defective (HD) at 50-100mg, 100-200mg and 400-500mg."
140,Soybena 28 Tissues Collected from the Different Developmental Stages for RNA-seq
141,"Genetic/genome diversity underlying variation in seed oil composition and content among soybean varieties is largely attributed to differences in transcript sequences and/or transcript accumulation of oil production related genes in seeds. Discovery and analysis of sequence and expression variations in these genes will accelerate soybean oil quality improvement. In an effort to identify these variations, we sequenced the transcriptomes of soybean seeds from nine lines varying in oil composition and/or total oil content. Our results showed that 69,338 distinct transcripts from 32,885 annotated genes were expressed in seeds. A total of 8,037 transcript expression polymorphisms and 50,485 transcript sequence polymorphisms (48,792 SNPs and 1,693 small Indels) were identified among the lines.  Effects of the transcript polymorphisms on their encoded protein sequences and functions were predicted. The studies also provided independent evidence that the lack of FAD2-1A gene activity and a non-synonymous SNP in the coding sequence of FAB2C caused elevated oleic acid and stearic acid levels in soybean lines M23 and FAM94-41, respectively. As a proof-of-concept, we developed an integrated RNA-seq and bioinformatics approach to identify and functionally annotate transcript polymorphisms, and demonstrated its high effectiveness for discovery of genetic and transcript variations that result in altered oil quality traits. The collection of transcript polymorphisms coupled with their predicted functional effects will be a valuable asset for further discovery of genes, gene variants, and functional markers to improve soybean oil quality. Overall design: transcriptome comparison of nine different soybean varieties"
142,Soybean seeds were fortified with the vitamin A precursor b-carotene by the overexpression of a seed specific chloroplast targeted phytoene synthase gene.
143,"Background The homeodomain leucine zipper (HD-Zip) transcription factor family is one of the largest plant specific superfamilies, and includes genes with roles in modulation of plant growth and response to environmental stresses. Many HD-Zip genes are characterized in Arabidopsis (Arabidopsis thaliana), and members of the family are being investigated for abiotic stress responses in rice (Oryza sativa), maize (Zea mays), poplar (Populus trichocarpa) and cucumber (Cucmis sativus). Findings in these species suggest HD-Zip genes as high priority candidates for crop improvement. Results In this study we have identified members of the HD-Zip gene family in soybean cv. ''Williams 82'', and characterized their expression under dehydration and salt stress. Homology searches with BLASTP and Hidden Markov Model guided sequence alignments identified 101 HD-Zip genes in the soybean genome. Phylogeny reconstruction coupled with domain and gene structure analyses using soybean, Arabidopsis, rice, grape (Vitis vinifera), and Medicago truncatula homologues enabled placement of these sequences into four previously described subfamilies. Of the 101 HD-Zip genes identified in soybean, 88 exist as whole-genome duplication-derived gene pairs, indicating high retention of these genes following polyploidy in Glycine ~10 Mya. The HD-Zip genes exhibit ubiquitous expression patterns across 24 conditions that include 17 tissues of soybean. An RNA-Seq experiment performed to study differential gene expression at 0, 1, 6 and 12 hr soybean roots under dehydration and salt stress identified 20 differentially expressed (DE) genes. Several of these DE genes are orthologs of genes previously reported to play a role under abiotic stress, implying conservation of HD-Zip gene functions across species. Screening of HD-Zip promoters identified transcription factor binding sites that are overrepresented in the DE genes under both dehydration and salt stress, providing further support for the role of HD-Zip genes in abiotic stress responses. Conclusions We provide a thorough description of soybean HD-Zip genes, and identify potential candidates with probable roles in dehydration and salt stress. Expression profiles generated for all soybean genes, under dehydration and salt stress, at four time points, will serve as an important resource for the soybean research community, and will aid in understanding plant responses to abiotic stress. Overall design: We sequenced mRNA from soybean cv. Williams 82 root samples that includes three control samples (0 hr), and three biological replicates for each of the three time points 1, 6 and 12 hr under dehydration and salt stress"
144,"We investigated soybean seed development because (1) soybean seeds are a major source of food and fuel, (2) soybean seeds have been an excellent system for studying the basic processes controlling seed development for over three decades, and (3) new soybean genomic resources, including the sequence of the soybean genome and the gene expression profiles for all seed compartments, tissues, and cell types, can be used to gain new insights into the regulatory processes required for seed differentiation. We sequenced messenger RNA populations of specific soybean seed compartments, which will provide new insights into gene expression that are important for “making a soybean seed.” Overall design: Eight compartments of the heart stage of the soybean seeds were analyzed. Three biological replicates were collected for each compartment."
145,"We investigated soybean seed development because (1) soybean seeds are a major source of food and fuel, (2) soybean seeds have been an excellent system for studying the basic processes controlling seed development for over three decades, and (3) new soybean genomic resources, including the sequence of the soybean genome and the gene expression profiles for all seed compartments, tissues, and cell types, can be used to gain new insights into the regulatory processes required for seed differentiation. We sequenced messenger RNA populations of specific soybean seed compartments, which will provide new insights into gene expression that are important for “making a soybean seed.” Overall design: Eight compartments of the globular stage of the soybean seeds were analyzed. Three or four biological replicates were collected for each compartment."
146,"We investigated soybean seed development because (1) soybean seeds are a major source of food and fuel, (2) soybean seeds have been an excellent system for studying the basic processes controlling seed development for over three decades, and (3) new soybean genomic resources, including the sequence of the soybean genome and the gene expression profiles for all seed compartments, tissues, and cell types, can be used to gain new insights into the regulatory processes required for seed differentiation. We sequenced messenger RNA populations of specific soybean seed compartments, which will provide new insights into gene expression that are important for “making a soybean seed.” Overall design: Ten compartments of the Cotyledon stage of the soybean seeds were analyzed. Three biological replicates were collected for each compartment."
147,"Melatonin is a well-known agent that plays multiple roles in animals. Its possible function in plants is less clear. In the present study, we tested the effect of melatonin (N-acetyl-5-methoxytryptamine) on soybean growth and development. Both spraying of leaves and seed-coating with melatonin significantly promoted soybean growth as judged from leaf size and plant height. This enhancement was also observed in soybean production and their fatty acid content. Melatonin increased pod number, seed number and seed weight. However, the 100-seed weight was not influenced by melatonin application. Melatonin also improved soybean tolerance to salt and drought stresses. Transcriptome analysis revealed that melatonin up-regulated the expression of many genes and alleviated the inhibitory effects of salt stress on gene expressions. Further detailed analysis of the affected pathways documents that melatonin likely achieved its promotional roles in soybean through enhancement of genes involved in cell division, photosynthesis, carbohydrate metabolism, fatty acid biosynthesis and ascorbate metabolism. Our results demonstrate that melatonin has significant potential for improving of soybean growth and seed production. Further study should uncover more about the molecular mechanisms of melatonin’s function in soybeans and other crops. Overall design: Four different treatments were chosen, water, salt, 100µM melatonin and salt plus 100µM melatonin. The comparison of salt/melatonin-treated sample versus water-treated sample reveals salt or melatonin induced transcriptome changes. The comparison of melatonin plus salt treated sample versus salt-treated sample reveals melatonin induced changes when salt exists."
148,JGI Flagship Plant Gene Atlas
149,JGI Flagship Plant Gene Atlas
150,"Soybean is one of the most economically important crops in the world. The cotyledon is the nutrient storage area in seeds, and it is critical for seed quality and yield. Cotyledon mutants are important for the genetic dissection of embryo patterning and seed development.Here, we characterised a soybean curled-cotyledon (cco) mutant. Compared with wild-type (WT), the entire embryos of cco mutant resembled the “tail of swallow”. To explore the molecular mechanisms underlying soybean cotyledon development, we executed RNA-Seq using the Illumina HiSeq2000 system. Overall design: Pods at 7DAF collected from WT and cco were analyzed by RNA-seq."
151,"Phytophthora root and stem rot (PRR) caused by Phytophthora sojae Kaufm. &amp; Gerd. is one of the most damaging diseases of soybean and management is principally done by planting cultivars with race-specific resistance (Rps genes). A novel Rps gene was identified in the South Korean landrace PI 399073 and mapped to a region on chromosome 13. The objective of this study was to identify tightly linked molecular markers to facilitate its introduction into high yielding adapted cultivars. Resistance to P. sojae isolate OH25 was evaluated with eight separate Williams (rps8/rps8) x PI 399073 (Rps8/Rps8) populations, of which the phenotypic ratios were highly skewed. In a graphical genotype generated from three Williams x PI 399073 BC4F2 populations, Rps8 and resistance to P. sojae isolate Butmu was associated with a 2.23 Mbp region on chromosome 13. Next generation sequencing was subsequently used to assemble ~90% of the 2.23 Mbp in PI 399073."
152,"Oxidative stress caused by ground level ozone is a major contributor to yield loss in a number of important crop plants.  Soybean (Glycine max) is especially ozone sensitive, and research into its response to oxidative stress is limited.  To better understand the genetic response in soybean to oxidative stress, an RNA-seq analysis of two soybean cultivars was performed comparing an ozone intolerant cultivar and an ozone resistant cultivar after being exposed to ozone.  A cursory analysis of the transcriptome data revealed differences between cultivars in the expression levels of genes previously implicated in oxidative stress responses, indicating unique cultivar-specific responses.  An examination of the timing of gene responses over the course of ozone exposure showed expression of cuticle wax genes in the intolerant line over all sampled time points, whereas the tolerant line only expressed this pathway in the first time point.  The ozone tolerant cultivar has a thicker leaf structure and we believe this lends a passive benefit to the plant which the intolerant cultivar is attempting to supplement via cuticle wax synthesis.  These results suggest that differences in genetic responses work in concert with physiological differences to explain differences in ozone tolerance between soybean cultivars. Overall design: 16 total samples.  8 control, 8 at high ozone, 4 time points (30 minute increments starting 5 hours after introduction of ozone) .  Replicates were pooled at extraction."
153,JGI Flagship Plant Gene Atlas
154,"Research conducted, including the rationale: Weeds reduce yield in soybeans through incompletely defined mechanisms. The effects of weeds on the soybean transcriptome were evaluated in field conditions during four separate gR1.fastqing seasons. Methods: RNASeq data were collected from 6 biological samples of soybeans gR1.fastqing with or without weeds. Weed species and the methods to maintain weed free controls varied between years to mitigate treatment effects and to allow detection of general soybeans weed responses.  Key results: Soybean plants were not visibly nutrient or water stressed. We identified 55 consistently down-regulated genes in weedy plots. Many of the down-regulated genes were heat shock genes. Fourteen genes were consistently up-regulated. Several transcription factors including a PHYTOCHROME INTERACTING FACTOR 3-like gene (PIF3) were included among the up-regulated genes. Gene set enrichment analysis indicated roles for increased oxidative stress and jasmonic acid signaling responses during weed stress. Main conclusion: The relationship of this weed-induced PIF3 gene to genes involved in shade avoidance responses in arabidopsis provide evidence that this gene may be important in the response of soybean to weeds. These results suggest the weed-induced PIF3 gene will be a target for manipulating weed tolerance in soybean. Overall design: Samples were collected from two treatments (Control and Weedy) with six biological replicates (2008, 2009, and twop each for 2010 and 2011) for each treatment."
155,"We determined the molecular basis of three soybean lines that vary in seed coat color at the R locus which is thought to encode a MYB transcription factor.  RM55-rm is homozygous for a mutable allele (rm) that specifies black and brown striped seeds; RM30-R* is a stable black revertant isoline derived from the mutable line; and RM38-r has brown seed coats due to a recessive r allele shown to translate a truncated MYB protein. Using long range PCR, 454 sequencing of amplicons, and whole genome re-sequencing, we determined that the variegated  RM55-rm line had a 13 kb CACTA subfamily transposon insertion (designated TgmR*) at a position 110 bp from the beginning of Intron2 of the R locus, Glyma09g36983. Although the MYB encoded by R was expressed at only very low levels in older seed coats of the black revertant RM30-R* line, it upregulated expression of anthocyanidin synthase genes (ANS2, ANS3) to promote the synthesis of anthocyanins. Surprisingly, the RM30-R* revertant also carried the 13 kb TgmR* insertion in Intron2. Using RNA-Seq, we showed that intron splicing was accurate, albeit at lower levels, despite the presence of the 13kb TgmR* element. As determined by whole genome methylation sequencing, we demonstrate that the TgmR* sequence was relatively more methylated in RM30-R* than in the mutable RM55-rm progenitor line. The stabilized and more methylated RM30-R* revertant line apparently lacks effective binding of a transposae to its subterminal repeats, thus allowing intron splicing to proceed resulting in sufficient MYB protein to stimulate anthocyanin production and thus black seed coats. In this regard, the TgmR* element in soybean resembles McClintock’s Spm-suppressible and change-of-state alleles of maize. This comparison explains the opposite effects of the TgmR* element on intron splicing of the MYB gene in which it resides depending on the methylation state of the element. Overall design: Differential RNA expression of anthocyanin pathway genes in the seed coats of two seed color lines: RM30-R* (black) and RM38-r (brown). The multiple gene expression analysis  was performed at five different stages of seed development which were chosen based on the fresh weight (fwt) of entire seeds: 100-200, 200-300, 300-400 and 400-500 mg with green cotyledons, and a later stage in which seed desiccation had initiated judging by the yellowing of cotyledons and a lower fresh weight of 300-400 mg"
156,RNA-seq of two soybean accessions under water deficit
157,We use RNA sequencing technology in a time course study to measure transcript abundance from three developmental stages in cotyledons and five stages in the trifoliate leaf of Glycine max to identify genes with distinct temporal patterns of expression during leaf or cotyledon development.  We also examine the diffrences between these two photosynthetic tissues. Overall design: Timecourse Expression analysis of Cotyledon Development and Leaf Development using RNAseq on distinct timepoints. 3 stages of the cotyledon were sequenced with 3 biological replicates in each stage. Five stages of the leaf were sequenced with 3 biological replicates for each stage.
158,"Soybean (Glycine max, cv Williams82) leaf petiole explants exposed to 25 ul/l ethylene for 0 to 72 h. Explants were prepared from 21 day-old greenhouse grown plants. Leaf abscission zones (LAZ) consisted of 2 mm of tissue collected below the leaf blade. The petioles (NAZ) consisted of approximately 3 to 4 mm of petiole tissue with the AZ removed. Explants and tissue were collected in February, March and April of 2013. Tissue and RNA were collected at USDA, Beltsville, MD (Mark L Tucker, Joonyup Kim and Ronghui Yang). Library construction and sequencing was completed at Univ of Cornell, Itheca, NY using a Illumina HiSeq 2000 (James J Giovannoni and Zhangjun Fei)."
159,Transcriptome sequencing of Glycine max C08
160,"Transformation of Glycine max with seed-targeted expression vectors via Agrobacterium causes measurable unscripted gene expression changes in the seed transcriptome Overall design: mRNA was sequenced from three transgenic events expressing three different recombinant proteins in soybean seeds.  Three plants were chosen from each as group replicates, and three seeds from each plant as individual biological replicates."
161,soybean Transcriptome or Gene expression
162,"We define genome-wide temporal expression patterns of root development genes in seven vascular plants, enabling a detailed comparative analysis of the molecular development of a single organ across diverse species. Overall design: Measuring mRNA expression of the root development zones in 7 vascular plants.  Each measurement includes 3 biological replicates."
163,Analysis of gene expression during soybean seed development
164,"Fusarium oxysporum is one of the most common species causing soybean root rot and seedling blight in the U.S. In a recent study, significant variation in aggressiveness was observed among isolates of F. oxysporum collected from roots in Iowa, ranging from highly pathogenic to weakly or non-pathogenic isolates. In the present work, a RNA-seq-based analysis was used for the first time to investigate the molecular aspect of the interaction of a partially resistant soybean genotype with non-pathogenic/pathogenic isolates of F. oxysporum at 72 and 96 hours post inoculation (hpi). Markedly different gene expression profiles were observed in compatible and incompatible host-pathogen combinations. A peak of differentially expressed genes (DEGs) was observed at 72 hpi in soybean roots in response to both isolates, although the number of DEGs was about eight times higher for the pathogenic isolate compared to the non-pathogenic one (1,659 vs. 203 DEGs, respectively). Furthermore, not only the number of genes, but also the magnitude of induction was much greater in response to the pathogenic isolate. This response included a stronger activation of many well-known defense-related genes, and several genes involved in ethylene biosynthesis and signalling, transcription factors, secondary and sugar metabolism. In addition, 1130 fungal genes were differentially expressed between the F. oxysporum isolates in planta during the infection process. Interestingly, 10% of these genes encode plant cell-wall degrading enzymes, reactive oxygen species-related enzymes and fungal proteins involved in primary metabolic pathways. Such information may be useful in the development of new methods of broadening resistance of soybean to F. oxysporum, including the silencing of important fungal genes, and also to understand the molecular basis of soybean-F. oxysporum interactions. Overall design: Soybean seedlings mRNA profiles inoculated with a non-pathogenic and pathogenic isolates of F. oxysporum and collected at 72 and 96 hpi, were generated using Illumina HiSeq 2500. Control seedlings were also included for each time of inoculation. Three biological replicates were considered for each condition, 18 samples in total."
165,"The soybean aphid, a plant sap sucking insect, is an important soybean pest in the USA causing significant yield losses. The Rag2  gene of soybean provides resistance to soybean aphid biotypes I and II. Transcriptomic  analyses were performed on near isogenic lines (NILs) with the Rag2 allele for aphid resistance or rag2 for susceptibility at the Rag2 locus. Soybeans were infested with soybean aphids and leaves were collected at 0, 4, 8, 24, and 48 hours after infestation.  RNA were extracted and a high throughput RNA-seq approach was used to examine mRNA expression in Rag2 and rag2 soybean leaves. The expression of ~43,000 genes was detected in both the Rag2 and rag2 leaves. Statistical analysis identified 2361 genes significantly regulated between the resistant and susceptible lines at different times after aphid infestation. Genes found up-regulated in the Rag2 line were annotated as involved in the cell wall, secondary and hormone metabolism, as well as in stress, signaling and transcriptional responses. Genes found up-regulated in the rag2 line were annotated as involved in photosynthesis and carbon metabolism. Interestingly, mRNAs of 2 genes (unknown and mitochondrial protease) located within the Rag2 locus were expressed significantly higher in the  resistant genotype. The expression of the putative NBS-LRR resistant gene present in the Rag2 locus was not different between the two soybean lines. However, another NBL-LRR gene located just at the border of the Rag2 locus was and, therefore, may be involved in the differential resistance to aphid infestation exhibited by the two NIL genotypes analyzed. Overall design: A total of 20 samples was analyzed. Two soybean genotypes, 5 time points and 2 biological replicates per condition were used."
166,"By sequencing 36 cDNA libraries with Illumina technology, we identified genes differentially expressed in soybean plants in response to water deficit and genes that were either up- or down-regulated in different periods of the day. Of 54,175 predicted soybean genes (Glyma v1.1), 35.52% exhibited expression oscillations in a 24 h period. This number increased to 39.23% when plants were submitted to water deficit. Major differences in gene expression were observed in the control plants from late day (ZT16) until predawn (ZT20) periods, indicating that gene expression oscillates during the course of 24 h in normal development. Under water deficit, dissimilarity increased in all time-periods, indicating that the applied stress influenced gene expression. Results suggest that time of day, as well as light and temperature oscillations that occur considerably affect the regulation of water deficit stress response in soybean plants. Overall design: Gene expression analysis of soybean leaves under water deficit in 6 periods of day by sequencing 36 libraries, in triplicate, in Illumina platform."
167,"MicroRNAs (miRNAs) play an important role as regulators of gene expression. In plants they affect a wide variety of biological process like growth, development and response to biotic and abiotic stress. Glycine max is one of the most important crop worldwide due to its rich protein and oil content. Drought and salt stress are the main abiotic stresses that affect soybean. Salt stress impacts the fisiology of the plants due to the damage in the photosynthetic rate, growth and development. This work aim to identify salt-stress responsive miRNAs and their respective targets in Glycine max using high-throughput RNA sequencing technology. Overall design: Four mRNAseq libraries from soybean leaves. Each library consist in a pool of three different plants treated with 200mM of NaCl or control. The libraries were contructed in duplicates."
168,RNA-seq was performed to reveal differential gene expression. we used two Korean soybean cultivar: Daewon and Hwangkeum.
169,"Purpose: Next-generation sequencing (NGS) has revolutionized systems-based analysis of abiotic stress molecular pathways. The goals of this study are to compare NGS-derived transcriptome profiling (RNA-seq) of contrasting slow wilting lines to quantify transcript abumdance under drought stress condition Overall design: Methods: The three biological replicates of DS line, Pana (control and drought samples) and DT line, PI 567690 (control and drought samples) leaf sample RNA were multiplexed and sequenced on an Illumina Hi-Seq 2000 platform. The RNA concentration of each sample was approximately 200ng/µl with a quantity of 50 µl.isoform level with two methods: Burrows–Wheeler Aligner (BWA) followed by ANOVA (ANOVA) and TopHat followed by Cufflinks. qRT–PCR validation was performed using TaqMan and SYBR Green assays"
170,We evaluated the Individual and combinatory effect of elevated [CO2] and drought on root molecular responses in soybean.
171,To understand the function of soybean endosperm
172,"Purpose: Comprehensive comparison of gene-expression profiles between 3mlpa (mutant with low phytic acid) and 3MWT (non-mutant with normal phyic acid) soybean lines (Glycine max) at five stages of seed development using RNA-Seq approaches. Methods: mRNA sequencing reads (101SE) were generated in triplicate from five seed developmental stages of 3mlpa and 3MWT soybean line using Illumina HiSeq 2000. Results: A total of 4235 differentially expressed genes, including 512-transcription factor genes were identified. Eighteen biological processes such as apoptosis, glucan metabolism, cellular transport, photosynthesis and 9 transcription factor families including WRKY, CAMTA3 and SNF2 were enriched during seed development. Genes associated with apoptosis, glucan metabolism, and cellular transport showed enhanced expression in early stages of lpa seed development, while those associated with photosynthesis showed decreased expression in late developmental stages. Conclusion: This study provides a global perspective of transcriptomal changes during soybean seed development in 3mlpa mutant. The results suggest that low phtic acid-causing mutations in 3mlpa play a role in inducing and suppressing plant defense responses during early and late stages of seed development, respectively. Overall design: RNA-Seq of five seed developing soybean seeds from mips1/mrp-l/mrp-n triple mutant line (with low phytic acid) and MIPS1/MRP-L/MRP-N non-mutant line (with normal phytic acid). The mRNA libraries from three biological replicates of each sample were sequenced as 101 SE using Illumina HiSeq 2000."
173,"Supplemental Ca2+ could increase soybean sprout yield and improve its nutrition qualities. Ca2+-treated sprouts had higher yield than water-treated ones. Metabolism of selected anti-nutritional factors and bioactive substances in soybean sprouts was strengthened by Ca2+. To investigate the role of Ca2+ in soybean during germination, transcriptome changes were analyzed. Total RNA from soybean sprouts that treated with deionized water or with 6 mM Ca2+ were analyzed."
174,"In plants, DICER-LIKE1 is a critical enzyme in the biogenesis pathway of plant miRNAs. Zinc-finger nucleases were used to generate single and double-mutants of soybean DCL1 homologs. We created several small RNA libraries to investigate the effect on miRNA abundance in these various mutants. RNAseq transcript data was also generated in order to investigate targets of those impacted miRNAs. Overall design: Genome-wide small RNA profiling was done by Illumina TruSeq sample preparation followed by high-throughput sequencing with Illumina HiSeq 2000 platform. "
175,"Soybean is a major crop that provides an important source of protein and oil to humans and animals, but its production can be dramatically decreased by the occurrence of drought stress. Soybeans can survive drought stress if there is a robust and deep root system at the early vegetative growth stage. However, little is known about the genome-wide molecular mechanisms contributing to soybean root system architecture. This study was performed to gain knowledge on transcriptome changes and related molecular mechanisms contributing to soybean root development under water limited conditions."
176,"To find the resistance mechanism of Huipizhi Heidou ,a excellent soybean variety for resistance breeding"
177,"To identify a-null-related transcriptional changes, the gene expressions of cgy-2-NIL and its recurrent parent DN47 were compared using Illumina high-throughput RNA-sequencing on samples at 25, 35, 50, and 55 days after flowering (DAF). Seeds at 18 DAF served as the control. Overall design: Compare gene quantity and expression between the cgy-2-NIL and DN47 in five stages of soybean seeds collected at 18, 25, 35, 50, and 55 day after flowering"
178,Glycine max and Phytophthora sojae infected Glycine max Transcriptome
179,"RNA-seq data from three soybean (Glycine max (L.) Merr.) fast neutron mutants were compared to the cultivar from which they are derived (cv. 'M92-220').  The three mutants include a gnarled trichome mutant (known as R55C01 or FN0175501), a high seed protein mutant (known as R15C01 or FN0171501) and a short petiole architecture mutant (known as 'Christmas tree', 6R44C72 or FN0164472).  Genetic mapping  of the gnarled trichome mutant using whole genome sequence-based bulked segregant analysis identified a 26.6 megabase interval on chromosome 20 that co-segregates with the phenotype. Comparative genomic hybridization analysis of the mutant indicated that the chromosome 20 interval included a small structural variant within the coding region of a soybean ortholog (Glyma.20G019300) of Arabidopsis Nck-Associated Protein 1 (NAP1), an important regulator of actin nucleation during trichome morphogenesis. Sequence analysis of the candidate allele revealed multiple rearrangements within the coding region, including two deletions (approximately 1-2 kb each), a translocation, and an inversion. Further analyses revealed that the mutated allele perfectly co-segregated with the phenotype, and a wild-type soybean NAP1 transgene functionally complemented the Arabidopsis nap1 mutant (grl-4). Additionally, mapping and exon sequencing of NAP1 in a spontaneous soybean gnarled trichome mutant (T31) identified a frame shift mutation resulting in a truncation of the coding region. These data indicate that the soybean NAP1 gene is essential for proper trichome development and that the soybean gnarled phenotype resulted from complex structural rearrangements induced by fast neutron mutagenesis at the NAP1 locus"
180,"Phytophthora root and stem rot caused by the oomycete pathogen Phytophthora sojae, is one of the most destructive diseases of soybean. Deploying soybean cultivars carrying race-specific resistance conferred by Rps genes is the most practicalapproach to managing this disease. Previously, two Rps genes, RpsUN1 and RpsUN2 conferring broad spectra of resistance to P. sojae isolates, were identified in a landrace PI 567139B and mapped to a 6.5-cM region on chromosome 3 and a 3.0-cM region on chromosome 16, corresponding to 840 kb and 600 kb of sequences, respectively,of the soybean reference genome. By analyzing ten and nine recombinants defined by genotypic and phenotypic screening of the 826 F2:3 families derived from two reciprocal crosses between the two parental lines of the mapping populations, RpsUN1 and RpsUN2 were further narrowed to a 151-kb region that harbors five genes including three NBS-LRR genes, and a 36-kb region that contains four genes including five NBS-LRR genes, respectively, according to the reference genome. Analysis of expressional changes of these nine genes before and after inoculation with the pathogen suggest that the counterparts of Glyma.03g034600 in the RpsUN1 region and the counterparts of Glyma.16g215200 and Glyma.16g214900 in the RpsUN2 region of PI 567139B may be associated with the resistance to P. sojae. It is also suggested that unequal recombination between different NBS-LRR genes in the mapped regions may have occurred, resulting in the formation of two recombinants with inconsistent genotypes and phenotypes detected by molecular markers within the fine-mapped regions. The haplotypes of genomic regions surrounding RpsUN1 and RpsUN2 in the entire soybean germplasm deposited in the US soybean germplasm collection were analyzed towards a better understanding of the origins of these two novel sources of resistance and screening of effective markers for marker-assisted selectionof these two resistance genes for soybean breeding. Overall design: 2 samples were sequenced, 1 inoculated with P. sojae, the other 1 were mock-inoculated"
181,Identification and comparative analysis of differential gene expression in soybean leaf tissue under drought and flooding stress revealed by RNA-Seq
