biosample,acc,assay_type,center_name,consent,experiment,sample_name,instrument,librarylayout,libraryselection,librarysource,platform,sample_acc,organism,sra_study,releasedate,bioproject,mbytes,loaddate,avgspotlen,mbases,insertsize,library_name,biosamplemodel_sam,collection_date_sam,geo_loc_name_country_calc,geo_loc_name_country_continent_calc,geo_loc_name_sam,ena_first_public_run,ena_last_update_run,sample_name_sam,datastore_filetype,datastore_provider,datastore_region,run_file_version,random,bases,bytes,run_file_create_date,age_sam,treatment_sam_ss_dpl55,primary_search,cultivar_sam,dev_stage_sam,ecotype_sam,isolate_sam_ss_dpl100,tissue_sam_ss_dpl145,disease_sam,population_sam_s_dpl40,geo_accession_exp,source_name_sam,developmental_stage_sam,assemblyname,accession_sam,biological_replicate_sam,collected_by_sam,collection_location_sam,graft_combination_sam,growth_protocol_sam_s_dpl216,genotype_sam_ss_dpl92,id_column_sam,biomaterial_provider_sam,photoperiod_sam,sample_time_sam,treatment_time_point_sam_s_dpl419,replicate_sam_ss_dpl121,nominal_length_run,run_id_run,biome_sam,env_package_sam,estimated_size_sam,feature_sam,investigation_type_sam,isol_growth_condt_sam,lat_lon_sam_s_dpl34,material_sam,num_replicons_sam,ploidy_sam,project_name_sam,propagation_sam,ref_biomaterial_sam,strain_sam_ss_dpl139,dangling_references_run,hours_after_treatment_sam,development_stage_sam,fasta_file_run,phenotype_sam,seed_harvest_year_sam,specimen_voucher_sam,host_sam,isolation_source_sam,compartment_sam,sex_calc,breed_sam,sample_type_sam_ss_dpl131,condition_sam_ss_dpl69,transgenic_line_sam_s_dpl414,genetic_background_sam,cell_type_sam_ss_dpl37,line_sam_s_dpl22,sample_group_sam_s_dpl128,time_point_sam,culture_collection_sam_ss_dpl468,sample_sam,location_sam,develomental_stage_sam,cell_line_sam,tmp_sam,seed_length_sam,read_name_barcode_proc_directive_run,growth_condition_sam,file_name_sam,library_id_sam,label_sam,stage_sam,disease_stage_sam_s_dpl172,seed_compartments_tissue_sam,temp_sam,generation_sam_s_dpl91,transgenic_status_sam,preservation_sam,seed_region_sam,seed_weight_sam,trait_sam,treatment_stage_sam,time_after_imbibition_sam,tissue_type_sam_s_dpl410,infection_time_sam,plant_phenotype_sam,time_sam,hours_post_inoculation_sam_s_dpl245,identity_sam,bioproject_id_sam,sample_title_sam,sampling_time_point_sam_s_dpl522,transgene_sam,height_or_length_sam,id_sam,growth_stage_sam,treatment_time_sam,distinctive_attribute_sam,phosphorus_conccentration_sam,age_at_rna_extraction_sam,timepoint_sam_ss_dpl17,genotype_variation_sam,sample_id_sam,tissue_source_sam,experimental_factor__7_1_exp,broker_name_sam,common_name_sam,ena_first_public_sam_dt_dpl178,ena_last_update_sam_ss_dpl537,external_id_sam,insdc_center_alias_sam,insdc_center_name_sam,insdc_first_public_sam,insdc_last_update_sam,insdc_status_sam,metabolic_process_sam,organism_part_sam,submitter_id_sam,agent_sam,block_sam,sample_summary_sam,purification_sam,gene_insert_sam,strain_ecotype_sam,tissue_and_developemental_stage_sam,technique_sam,day_moved_sam,ion_stress_sam,vigs_sam,infection_sam,fungal_isolate_sam,_48_h_inoculation_sam,sampling_time__h__sam,reference_annotation_used_for_mapping_sam,root_zone_sam,days_after_treatment_sam,dehydration_sam,glyceollins_elicitation_sam,medium_ph_sam,replication_sam_s_dpl43,cummulative_precipitation_at_sampling_sam,sampling_date_sam,temperature_at_sampling_sam,seed_field_emergence_sam,time_of_seed_harvest_sam,pi_email_run,pi_name_run,pi_orcid_run,pi_organization_run,subregion_sam,total_rna_input_amount_sam,identifier_seq_id_sam,truseq_index_500_sam,truseq_index_700_sam,well_position_sam,inoculation_sam,cultivar_line_sam,tissue_1_sam,tissue_2_sam,cultivar_genotype_sam,library_type_sam_s_dpl277,mutant_sam,tissue_developmental_stage_sam,experimental_factor__cultivar_exp,experimental_factor__growth_condition_exp,experimental_factor__time_exp,ena_first_public_sam,ena_last_update_sam,scientific_name_sam,dawei_sam,md5sum_sam,ozone_level_sam,replicates_sam_s_dpl124,experimental_factor__phenotype_exp,infect_sam,body_site_sam,specific_host_sam,cultivars_sam,pigmentation_sam,design_description_sam,filetype_sam,instrument_model_sam,library_layout_sam,library_selection_sam,library_source_sam,library_strategy_sam,platform_sam,title_sam,graft_scion_sam,graft_stock_sam,manganese_concentration_sam,tem_sam,fusarium_virguliforme_strain_sam,soybean_cultivar_sam,tissue_age_sam_s_dpl615,experimental_factor__6_0_exp,tag_sam,filename2_sam,filename_sam,reference_annotation_sam,inoculation_treatment_sam,mg_concentration_sam,cultivar_id_sam,cultivar_type_sam,innoculation_sam,experimental_factor__1_8_exp,tissue_3_sam,tissue_4_sam,description_sam,individual_sam,env_broad_scale_sam,env_local_scale_sam,env_medium_sam,quality_book_char_run,quality_scoring_system_run,accession_ecotype_sam,tissue_and_developmental_stage_sam,experimental_factor__1_4_exp,concentration_sam,cultivation_pattren_sam,er_gfp_sam,subsrc_note_sam_s_dpl392,authors_sam,env_biome_sam
SAMN12099679,SRR9665565,RNA-Seq,MICHIGAN STATE UNIVERSITY,public,SRX6426435,SM2_D14,Illumina HiSeq 4000,SINGLE,RANDOM,TRANSCRIPTOMIC,ILLUMINA,SRS5081914,Glycine max,SRP214061,2020-03-27,PRJNA549915,1266.0,,50.0,3670.0,,SM2_D14,[Plant],,uncalculated,uncalculated,[not collected],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.0862539403975499,3670146500.0,1328137364.0,2019-07-10T09:45:00.000Z,14 DPI,Mock Inoculated,"['12099679', '549915', 'PRJNA549915', 'SAMN12099679', 'SM2_D14', 'SRP214061', 'SRR9665565', 'SRS5081914', 'SRX6426435', 'Sloan_D14_Mock2_R1.fastq.gz']",Sloan,,,,root,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN12099680,SRR9665567,RNA-Seq,MICHIGAN STATE UNIVERSITY,public,SRX6426433,SM3_D0,Illumina HiSeq 4000,SINGLE,RANDOM,TRANSCRIPTOMIC,ILLUMINA,SRS5081912,Glycine max,SRP214061,2020-03-27,PRJNA549915,1342.0,,50.0,3874.0,,SM3_D0,[Plant],,uncalculated,uncalculated,[not collected],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.358938509001545,3874385500.0,1407202221.0,2019-07-10T09:43:00.000Z,0 DPI,Mock Inoculated,"['12099680', '549915', 'PRJNA549915', 'SAMN12099680', 'SM3_D0', 'SM3_D0_R1.fastq.gz', 'SRP214061', 'SRR9665567', 'SRS5081912', 'SRX6426433']",Sloan,,,,root,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN12099681,SRR9665571,RNA-Seq,MICHIGAN STATE UNIVERSITY,public,SRX6426429,SM3_D2,Illumina HiSeq 4000,SINGLE,RANDOM,TRANSCRIPTOMIC,ILLUMINA,SRS5081908,Glycine max,SRP214061,2020-03-27,PRJNA549915,1234.0,,50.0,3540.0,,SM3_D2,[Plant],,uncalculated,uncalculated,[not collected],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.9766351153892,3540791550.0,1294788678.0,2019-07-10T09:43:00.000Z,2 DPI,Mock Inoculated,"['12099681', '549915', 'PRJNA549915', 'SAMN12099681', 'SM3_D2', 'SM3_D2_R1.fastq.gz', 'SRP214061', 'SRR9665571', 'SRS5081908', 'SRX6426429']",Sloan,,,,root,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN12099682,SRR9665590,RNA-Seq,MICHIGAN STATE UNIVERSITY,public,SRX6426410,SM3_D4,Illumina HiSeq 4000,SINGLE,RANDOM,TRANSCRIPTOMIC,ILLUMINA,SRS5081889,Glycine max,SRP214061,2020-03-27,PRJNA549915,1540.0,,50.0,4435.0,,SM3_D4,[Plant],,uncalculated,uncalculated,[not collected],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.893623227919443,4435053800.0,1615324396.0,2019-07-10T09:49:00.000Z,4 DPI,Mock Inoculated,"['12099682', '549915', 'PRJNA549915', 'SAMN12099682', 'SM3_D4', 'SM3_D4_R1.fastq.gz', 'SRP214061', 'SRR9665590', 'SRS5081889', 'SRX6426410']",Sloan,,,,root,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN12099683,SRR9665591,RNA-Seq,MICHIGAN STATE UNIVERSITY,public,SRX6426409,SM3_D7,Illumina HiSeq 4000,SINGLE,RANDOM,TRANSCRIPTOMIC,ILLUMINA,SRS5081888,Glycine max,SRP214061,2020-03-27,PRJNA549915,1508.0,,50.0,4314.0,,SM3_D7,[Plant],,uncalculated,uncalculated,[not collected],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.719282559392458,4314851200.0,1581508942.0,2019-07-10T09:45:00.000Z,7 DPI,Mock Inoculated,"['12099683', '549915', 'PRJNA549915', 'SAMN12099683', 'SM3_D7', 'SM3_D7_R1.fastq.gz', 'SRP214061', 'SRR9665591', 'SRS5081888', 'SRX6426409']",Sloan,,,,root,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN12099684,SRR9665568,RNA-Seq,MICHIGAN STATE UNIVERSITY,public,SRX6426432,SM3_D10,Illumina HiSeq 4000,SINGLE,RANDOM,TRANSCRIPTOMIC,ILLUMINA,SRS5081911,Glycine max,SRP214061,2020-03-27,PRJNA549915,1032.0,,50.0,2979.0,,SM3_D10,[Plant],,uncalculated,uncalculated,[not collected],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.953149225840758,2979400550.0,1082327260.0,2019-07-10T09:35:00.000Z,10 DPI,Mock Inoculated,"['12099684', '549915', 'PRJNA549915', 'SAMN12099684', 'SM3_D10', 'SM3_D10_R1.fastq.gz', 'SRP214061', 'SRR9665568', 'SRS5081911', 'SRX6426432']",Sloan,,,,root,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN12099685,SRR9665589,RNA-Seq,MICHIGAN STATE UNIVERSITY,public,SRX6426411,SM3_D14,Illumina HiSeq 4000,SINGLE,RANDOM,TRANSCRIPTOMIC,ILLUMINA,SRS5081890,Glycine max,SRP214061,2020-03-27,PRJNA549915,1232.0,,50.0,3579.0,,SM3_D14,[Plant],,uncalculated,uncalculated,[not collected],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.886918555165784,3579809200.0,1292023648.0,2019-07-10T09:43:00.000Z,14 DPI,Mock Inoculated,"['12099685', '549915', 'PRJNA549915', 'SAMN12099685', 'SM3_D14', 'SRP214061', 'SRR9665589', 'SRS5081890', 'SRX6426411', 'Sloan_D14_Mock3_R1.fastq.gz']",Sloan,,,,root,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN12727368,SRR10098774,RNA-Seq,GEO,public,SRX6830747,GSM4074086,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS5372833,Glycine max,SRP221356,2020-04-01,PRJNA564957,5059.0,,300.0,13130.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.524285802343238,13130574600.0,5305095777.0,2019-09-11T11:45:00.000Z,,,"['12727368', '564957', 'GSE137263', 'GSM4074086', 'GSM4074086_r1', 'PRJNA564957', 'SAMN12727368', 'SRP221356', 'SRR10098774', 'SRS5372833', 'SRX6830747']",,,,,leaf,,,GSM4074086,SMV-G7 inoculated leaf,,,,,,,,,Williams82 (rsv3-genotype 'susceptible'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN12727369,SRR10098773,RNA-Seq,GEO,public,SRX6830746,GSM4074085,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS5372832,Glycine max,SRP221356,2020-04-01,PRJNA564957,5402.0,,300.0,13822.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.144469679562809,13822362300.0,5664961830.0,2019-09-11T11:42:00.000Z,,,"['12727369', '564957', 'GSE137263', 'GSM4074085', 'GSM4074085_r1', 'PRJNA564957', 'SAMN12727369', 'SRP221356', 'SRR10098773', 'SRS5372832', 'SRX6830746']",,,,,leaf,,,GSM4074085,SMV-G7 inoculated leaf,,,,,,,,,Williams82 (rsv3-genotype 'susceptible'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN12727370,SRR10098772,RNA-Seq,GEO,public,SRX6830745,GSM4074084,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS5372831,Glycine max,SRP221356,2020-04-01,PRJNA564957,7227.0,,300.0,18150.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.599787787929921,18150118800.0,7578581755.0,2019-09-11T11:57:00.000Z,,,"['12727370', '564957', 'GSE137263', 'GSM4074084', 'GSM4074084_r1', 'PRJNA564957', 'SAMN12727370', 'SRP221356', 'SRR10098772', 'SRS5372831', 'SRX6830745']",,,,,leaf,,,GSM4074084,SMV-G7 inoculated leaf,,,,,,,,,Williams82 (rsv3-genotype 'susceptible'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN12727371,SRR10098771,RNA-Seq,GEO,public,SRX6830744,GSM4074083,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS5372830,Glycine max,SRP221356,2020-04-01,PRJNA564957,5042.0,,300.0,13061.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.657527242775835,13061634600.0,5286998273.0,2019-09-11T11:42:00.000Z,,,"['12727371', '564957', 'GSE137263', 'GSM4074083', 'GSM4074083_r1', 'PRJNA564957', 'SAMN12727371', 'SRP221356', 'SRR10098771', 'SRS5372830', 'SRX6830744']",,,,,leaf,,,GSM4074083,SMV-G7 inoculated leaf,,,,,,,,,Williams82 (rsv3-genotype 'susceptible'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN12727372,SRR10098770,RNA-Seq,GEO,public,SRX6830743,GSM4074082,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS5372829,Glycine max,SRP221356,2020-04-01,PRJNA564957,4679.0,,300.0,11798.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.650498258778564,11798100900.0,4906427896.0,2019-09-11T11:37:00.000Z,,,"['12727372', '564957', 'GSE137263', 'GSM4074082', 'GSM4074082_r1', 'PRJNA564957', 'SAMN12727372', 'SRP221356', 'SRR10098770', 'SRS5372829', 'SRX6830743']",,,,,leaf,,,GSM4074082,SMV-G7 inoculated leaf,,,,,,,,,Williams82 (rsv3-genotype 'susceptible'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN12727373,SRR10098769,RNA-Seq,GEO,public,SRX6830742,GSM4074081,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS5372828,Glycine max,SRP221356,2020-04-01,PRJNA564957,4975.0,,300.0,12622.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.723279926486971,12622680900.0,5216993835.0,2019-09-11T11:46:00.000Z,,,"['12727373', '564957', 'GSE137263', 'GSM4074081', 'GSM4074081_r1', 'PRJNA564957', 'SAMN12727373', 'SRP221356', 'SRR10098769', 'SRS5372828', 'SRX6830742']",,,,,leaf,,,GSM4074081,SMV-G7 inoculated leaf,,,,,,,,,Williams82 (rsv3-genotype 'susceptible'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN12727374,SRR10098768,RNA-Seq,GEO,public,SRX6830741,GSM4074080,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS5372827,Glycine max,SRP221356,2020-04-01,PRJNA564957,4654.0,,300.0,12045.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.523128626544723,12045405300.0,4881108779.0,2019-09-11T11:41:00.000Z,,,"['12727374', '564957', 'GSE137263', 'GSM4074080', 'GSM4074080_r1', 'PRJNA564957', 'SAMN12727374', 'SRP221356', 'SRR10098768', 'SRS5372827', 'SRX6830741']",,,,,leaf,,,GSM4074080,SMV-G7 inoculated leaf,,,,,,,,,Williams82 (rsv3-genotype 'susceptible'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN12727375,SRR10098767,RNA-Seq,GEO,public,SRX6830740,GSM4074079,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS5372826,Glycine max,SRP221356,2020-04-01,PRJNA564957,4532.0,,300.0,11618.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.794394790018449,11618800800.0,4752747363.0,2019-09-11T11:45:00.000Z,,,"['12727375', '564957', 'GSE137263', 'GSM4074079', 'GSM4074079_r1', 'PRJNA564957', 'SAMN12727375', 'SRP221356', 'SRR10098767', 'SRS5372826', 'SRX6830740']",,,,,leaf,,,GSM4074079,SMV-G7 inoculated leaf,,,,,,,,,Williams82 (rsv3-genotype 'susceptible'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN12727376,SRR10098766,RNA-Seq,GEO,public,SRX6830739,GSM4074078,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS5372825,Glycine max,SRP221356,2020-04-01,PRJNA564957,5168.0,,300.0,13455.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.302363636807371,13455852600.0,5419979105.0,2019-09-11T11:50:00.000Z,,,"['12727376', '564957', 'GSE137263', 'GSM4074078', 'GSM4074078_r1', 'PRJNA564957', 'SAMN12727376', 'SRP221356', 'SRR10098766', 'SRS5372825', 'SRX6830739']",,,,,leaf,,,GSM4074078,SMV-G7 inoculated leaf,,,,,,,,,Williams82 (rsv3-genotype 'susceptible'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN12727377,SRR10098765,RNA-Seq,GEO,public,SRX6830738,GSM4074077,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS5372824,Glycine max,SRP221356,2020-04-01,PRJNA564957,5653.0,,300.0,14712.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.403212761985298,14712887700.0,5927994732.0,2019-09-11T11:49:00.000Z,,,"['12727377', '564957', 'GSE137263', 'GSM4074077', 'GSM4074077_r1', 'PRJNA564957', 'SAMN12727377', 'SRP221356', 'SRR10098765', 'SRS5372824', 'SRX6830738']",,,,,leaf,,,GSM4074077,SMV-G7 inoculated leaf,,,,,,,,,Williams82 (rsv3-genotype 'susceptible'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN12727378,SRR10098764,RNA-Seq,GEO,public,SRX6830737,GSM4074076,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS5372823,Glycine max,SRP221356,2020-04-01,PRJNA564957,5587.0,,300.0,14810.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.463578171160585,14810404800.0,5858730014.0,2019-09-11T11:46:00.000Z,,,"['12727378', '564957', 'GSE137263', 'GSM4074076', 'GSM4074076_r1', 'PRJNA564957', 'SAMN12727378', 'SRP221356', 'SRR10098764', 'SRS5372823', 'SRX6830737']",,,,,leaf,,,GSM4074076,SMV-G7 inoculated leaf,,,,,,,,,L29 (Rsv3-genotype 'resistant'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
