biosample,attr
SAMN17205600,"{'title': 'CB RNA-seq', 'Identifiers': {'BioSample': 'SAMN17205600', 'Sample name': 'CB-10D-apex_rep3', 'SRA': 'SRS7959160'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'not applicable', 'cultivar': 'Wm82', 'ecotype': 'not applicable', 'age': '10 day', 'tissue': 'shoot apex', 'ID': '3'}, 'Accession': 'SAMN17205600', 'ID': '17205600'}"
SAMN21359728,"{'title': 'Leaf tissue, PI 089156 (G11), deficient iron conditions', 'Identifiers': {'BioSample': 'SAMN21359728', 'Sample name': 'G11_PI89156_Leaf_Def_Rep1', 'SRA': 'SRS10167757'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Chonkon', 'accession': 'PI 089156', 'age': '60 minutes after iron stress', 'tissue': '1st trifoliolate leaflets', 'collection_location': 'Ames, IA', 'treatment': 'Deficient iron', 'biological_replicate': 'Rep 1 of 3'}, 'Accession': 'SAMN21359728', 'ID': '21359728'}"
SAMN21359753,"{'title': 'Leaf tissue, PI 068685 (G15), deficient iron conditions', 'Identifiers': {'BioSample': 'SAMN21359753', 'Sample name': 'G15_PI68685_Leaf_Def_Rep2', 'SRA': 'SRS10167782'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': '265', 'accession': 'PI 068685', 'age': '60 minutes after iron stress', 'tissue': '1st trifoliolate leaflets', 'collection_location': 'Ames, IA', 'treatment': 'Deficient iron', 'biological_replicate': 'Rep 2 of 3'}, 'Accession': 'SAMN21359753', 'ID': '21359753'}"
SAMN33295249,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN33295249', 'Sample name': 'Enrei_seed_embryo_R5.3_2', 'SRA': 'SRS16776495'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'ENREI', 'tissue': 'seed development embryo R5.3 replicate 2'}, 'Accession': 'SAMN33295249', 'ID': '33295249'}"
SAMN06285409,"{'title': 'mRNA 12 mo globular', 'Identifiers': {'BioSample': 'SAMN06285409', 'SRA': 'SRS1951146', 'GEO': 'GSM2472719'}, 'Organism': 'Glycine max', 'Attributes': {'age': '12 months', 'cultivar': 'Jack', 'treatment': '20 mg/l of 2,4 D medium, Embryo Maintenance'}, 'Accession': 'SAMN06285409', 'ID': '6285409'}"
SAMN02261683,"{'title': 'PI471938 High VPD sample 2', 'Identifiers': {'BioSample': 'SAMN02261683', 'SRA': 'SRS463402', 'GEO': 'GSM1193709'}, 'Organism': 'Glycine max', 'Attributes': {'phenotype': 'slow wilting', 'cultivar': 'PI471938', 'treatment': 'high vapor pressure'}, 'Accession': 'SAMN02261683', 'ID': '2261683'}"
SAMN29993480,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN29993480', 'Sample name': 'soy-YKF-30-3', 'SRA': 'SRS14458592'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'KF-1 30_DPA replicate 3', 'tissue': 'ovule'}, 'Accession': 'SAMN29993480', 'ID': '29993480'}"
SAMN15648573,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN15648573', 'Sample name': 'T212407-09', 'SRA': 'SRS7092644'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'not applicable', 'cultivar': 'P573', 'ecotype': 'YHSBLP', 'age': 'not applicable', 'tissue': 'seed'}, 'Accession': 'SAMN15648573', 'ID': '15648573'}"
SAMN32153776,"{'title': 'Varieties of 367', 'Identifiers': {'BioSample': 'SAMN32153776', 'Sample name': 'JL142', 'SRA': 'SRS16165347'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'not determined', 'cultivar': 'soybean', 'ecotype': 'not determined', 'age': 'not determined', 'tissue': 'seed'}, 'Accession': 'SAMN32153776', 'ID': '32153776'}"
SAMN15648260,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN15648260', 'Sample name': 'a17-11', 'SRA': 'SRS7092897'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'not applicable', 'cultivar': 'P240', 'ecotype': 'YHSBLP', 'age': 'not applicable', 'tissue': 'seed'}, 'Accession': 'SAMN15648260', 'ID': '15648260'}"
SAMN09513342,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN09513342', 'Sample name': 'SL209578', 'SRA': 'SRS3480899'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'P. sojae 1.S.1.1', 'cultivar': '12056', 'ecotype': 'Conrad x Sloan', 'age': '24 hai', 'tissue': 'inoculation site: ~2 cm below the crown', 'disease': 'Phytophthora root and stem rot', 'population': 'F9:11 Recombinant inbred line', 'treatment': 'Inoculated'}, 'Accession': 'SAMN09513342', 'ID': '9513342'}"
SAMN27921904,"{'title': 'Glycine max hypocotyl tissue - BGMPH_Psojae_rep2', 'Identifiers': {'BioSample': 'SAMN27921904', 'SRA': 'SRS12781739', 'GEO': 'GSM6070446'}, 'Organism': 'Glycine max', 'Attributes': {'strain': 'PI-binding GMPH line B', 'treatment': 'Inoculated with mycelium of Phytophthora sojae Race 2'}, 'Accession': 'SAMN27921904', 'ID': '27921904'}"
SAMN09715770,"{'title': 'YH30_5A4', 'Identifiers': {'BioSample': 'SAMN09715770', 'SRA': 'SRS3596038', 'GEO': 'GSM3306708'}, 'Organism': 'Glycine max', 'Attributes': {'tissue': 'The whole shoot above cotelydon', 'photoperiod': 'SD', 'genotype': '2'}, 'Accession': 'SAMN09715770', 'ID': '9715770'}"
SAMN15648220,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN15648220', 'Sample name': 'a11-17', 'SRA': 'SRS7092772'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'not applicable', 'cultivar': 'P195', 'ecotype': 'YHSBLP', 'age': 'not applicable', 'tissue': 'seed'}, 'Accession': 'SAMN15648220', 'ID': '15648220'}"
SAMN24505284,"{'title': 'C96_Bj3_Trap', 'Identifiers': {'BioSample': 'SAMN24505284', 'SRA': 'SRS11449518', 'GEO': 'GSM5765352'}, 'Organism': 'Glycine max', 'Attributes': {'treatment': 'Treated with Bj for 96 h', 'tissue': 'root'}, 'Accession': 'SAMN24505284', 'ID': '24505284'}"
SAMN09715707,"{'title': 'YH33_4A2', 'Identifiers': {'BioSample': 'SAMN09715707', 'SRA': 'SRS3596101', 'GEO': 'GSM3306772'}, 'Organism': 'Glycine max', 'Attributes': {'tissue': 'The whole shoot above cotelydon', 'photoperiod': 'LD', 'genotype': '1'}, 'Accession': 'SAMN09715707', 'ID': '9715707'}"
SAMN02870679,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN02870679', 'Sample name': 'AD011', 'SRA': 'SRS655329'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'PI399079', 'tissue': 'root'}, 'Accession': 'SAMN02870679', 'ID': '2870679'}"
SAMN16295006,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN16295006', 'Sample name': 'Jack-U-1', 'SRA': 'SRS7451026'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Jack', 'tissue': 'unifoliate leaves', 'replicate': 'replicate = biological replicate 1'}, 'Accession': 'SAMN16295006', 'ID': '16295006'}"
SAMN02261682,"{'title': 'Hutchesen High VPD sample 1', 'Identifiers': {'BioSample': 'SAMN02261682', 'SRA': 'SRS463398', 'GEO': 'GSM1193705'}, 'Organism': 'Glycine max', 'Attributes': {'phenotype': 'fast wilting', 'cultivar': 'Hutchesen', 'treatment': 'high vapor pressure'}, 'Accession': 'SAMN02261682', 'ID': '2261682'}"
SAMN30227630,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN30227630', 'Sample name': 'TOT_N_WR_replicate_3', 'SRA': 'SRS14603802'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Don Mario 6.8i (Barraca Erro S.A.)', 'age': '25 days', 'tissue': 'Root', 'treatment': 'TOT_N_WR', 'replicate': 'replicate_3'}, 'Accession': 'SAMN30227630', 'ID': '30227630'}"
SAMN11807750,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN11807750', 'Sample name': 'CN042388_S32', 'SRA': 'SRS4816972'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'A1937', 'tissue': 'first trifoliate leaves and apex', 'genotype': 'CULTIVAR', 'treatment': 'stored 5 yrs after seed regeneration'}, 'Accession': 'SAMN11807750', 'ID': '11807750'}"
SAMN00010675,"{'title': 'Wild type soybean seed', 'Identifiers': {'BioSample': 'SAMN00010675', 'Sample name': 'GSM528201', 'SRA': 'SRS041875'}, 'Organism': 'Glycine max', 'Attributes': {'age': 'midmaturation', 'tissue': 'seed'}, 'Accession': 'SAMN00010675', 'ID': '10675'}"
SAMN06830776,"{'title': 'seeds harvested at stage 8.1', 'Identifiers': {'BioSample': 'SAMN06830776', 'SRA': 'SRS2149104', 'GEO': 'GSM2589122'}, 'Organism': 'Glycine max', 'Attributes': {'treatment': 'fresh'}, 'Accession': 'SAMN06830776', 'ID': '6830776'}"
SAMN30696820,"{'title': 'Soybeans infected with Riptortus pedestris', 'Identifiers': {'BioSample': 'SAMN30696820', 'Sample name': 'T2-rep2', 'SRA': 'SRS15014388'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Mengdou 28', 'tissue': 'Leaves', 'replicate': 'T2-rep2'}, 'Accession': 'SAMN30696820', 'ID': '30696820'}"
SAMN20475805,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN20475805', 'Sample name': 'BRS133-12dai', 'SRA': 'SRS9710653'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'BRS133', 'tissue': 'Root', 'phenotype': 'Susceptible', 'temperature': '12 days'}, 'Accession': 'SAMN20475805', 'ID': '20475805'}"
SAMN21359879,"{'title': 'Root tissue, PI 547430 (G18), deficient iron conditions', 'Identifiers': {'BioSample': 'SAMN21359879', 'Sample name': 'G18_PI547430_Root_Def_Rep2', 'SRA': 'SRS10167714'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'L65-1255 (IsoClark)', 'accession': 'PI 547430', 'age': '60 minutes after iron stress', 'tissue': 'Root', 'collection_location': 'Ames, IA', 'treatment': 'Deficient iron', 'biological_replicate': 'Rep 2 of 3'}, 'Accession': 'SAMN21359879', 'ID': '21359879'}"
SAMN09715853,"{'title': 'YH26_9H9', 'Identifiers': {'BioSample': 'SAMN09715853', 'SRA': 'SRS3595959', 'GEO': 'GSM3306630'}, 'Organism': 'Glycine max', 'Attributes': {'tissue': 'The whole shoot above cotelydon', 'photoperiod': 'Sh', 'genotype': '4'}, 'Accession': 'SAMN09715853', 'ID': '9715853'}"
SAMD00549653,"{'title': 'Leaf sample of f2 soybean Ent1687 with homozygous ichg mutant, replicate 4', 'Identifiers': {'BioSample': 'SAMD00549653', 'SRA': 'DRS326064'}, 'Organism': 'Glycine max', 'Attributes': {'age': 'missing', 'cultivar': 'ENREI', 'replicate': 'biological replicate 4', 'tissue': 'Leaf'}, 'Accession': 'SAMD00549653', 'ID': '37384382'}"
SAMN01832600,"{'title': 'R83_4DAF_BR2', 'Identifiers': {'BioSample': 'SAMN01832600', 'Sample name': 'GSM1056095', 'SRA': 'SRS381095'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Williams 43', 'Stage': '4 days after flowering', 'preservation': 'fresh frozen', 'purification': 'none'}, 'Accession': 'SAMN01832600', 'ID': '1832600'}"
SAMN12868654,"{'title': 'P08', 'Identifiers': {'BioSample': 'SAMN12868654', 'Sample name': 'P08 D7 ct', 'SRA': 'SRS5449869'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'PI 449459', 'age': '7 dpi rep 2', 'tissue': 'Roots without infection'}, 'Accession': 'SAMN12868654', 'ID': '12868654'}"
SAMN30722366,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN30722366', 'Sample name': 'CJL_1', 'SRA': 'SRS15072952'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'RNA of anther and leaf samples of high temperature stress treated and control soybean', 'cultivar': 'missing', 'ecotype': 'missing', 'age': 'Summer 2019', 'tissue': 'Anther; Leaf samples', 'replicate': 'biological replicate 1'}, 'Accession': 'SAMN30722366', 'ID': '30722366'}"
SAMN30722353,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN30722353', 'Sample name': 'TJA_3', 'SRA': 'SRS15071891'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'RNA of anther samples of high temperature stress treated and control soybean', 'cultivar': 'missing', 'ecotype': 'missing', 'age': 'Summer 2019', 'tissue': 'Anther; samples TJA_3', 'replicate': 'biological replicate 3'}, 'Accession': 'SAMN30722353', 'ID': '30722353'}"
SAMD00276060,"{'title': 'Leaf sample of soybean cultivated in Plot-7, collected on 2018-08-01', 'Identifiers': {'BioSample': 'SAMD00276060', 'SRA': 'DRS277209'}, 'Organism': 'Glycine max', 'Attributes': {'biological_replicate': 'no hairy vetch application, biological replicate 4'}, 'Accession': 'SAMD00276060', 'ID': '32887175'}"
SAMN29911696,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN29911696', 'Sample name': 'QR12_3_1.fq.gz', 'SRA': 'SRS14163672'}, 'Organism': 'Glycine max', 'Attributes': {'identity': '5', 'cultivar': 'JD12', 'age': '8DAP', 'tissue': 'root'}, 'Accession': 'SAMN29911696', 'ID': '29911696'}"
SAMN15648434,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN15648434', 'Sample name': 'd10-9', 'SRA': 'SRS7092809'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'not applicable', 'cultivar': 'P432', 'ecotype': 'YHSBLP', 'age': 'not applicable', 'tissue': 'seed'}, 'Accession': 'SAMN15648434', 'ID': '15648434'}"
SAMN39205507,"{'title': 'QS15544_paired_L21_R1', 'Identifiers': {'BioSample': 'SAMN39205507', 'Sample name': 'RNA_seq_sample_QS15544_RIL_243', 'SRA': 'SRS20030108'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Population QS15544', 'ecotype': 'Population QS15544', 'age': '25 days', 'tissue': 'Leaf tissue from V4 stage', 'population': 'QS15544'}, 'Accession': 'SAMN39205507', 'ID': '39205507'}"
SAMN05937022,"{'title': 'Clark18a_k1_yellowsectors_BR1', 'Identifiers': {'BioSample': 'SAMN05937022', 'SRA': 'SRS1757813', 'GEO': 'GSM2359183'}, 'Organism': 'Glycine max', 'Attributes': {'tissue': 'immature seed coat', 'preservation': 'lyophilized'}, 'Accession': 'SAMN05937022', 'ID': '5937022'}"
SAMN05258398,"{'title': '6HAI', 'Identifiers': {'BioSample': 'SAMN05258398', 'SRA': 'SRS1510323', 'GEO': 'GSM2204141'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'BRS 284', 'tissue': 'embryonic axis'}, 'Accession': 'SAMN05258398', 'ID': '5258398'}"
SAMN22841279,"{'title': 'IsoClark scion on Clark rootstock (Iso/Clk), 30 minutes after transfer, rep 3 leaf tissue, sufficient iron', 'Identifiers': {'BioSample': 'SAMN22841279', 'Sample name': 'G2_30min_Rep3_Leaf_Suf', 'SRA': 'SRS10902992'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'L65-1255 (IsoClark)', 'accession': 'PI 547430', 'age': '30 minutes after transfer', 'tissue': '1st trifoliolate leaflets', 'collection_location': 'Ames, IA', 'graft_combination': 'G2 (Iso/Clk)', 'treatment': 'Sufficient iron', 'biological_replicate': 'Rep 3 of 3'}, 'Accession': 'SAMN22841279', 'ID': '22841279'}"
SAMN23131683,"{'title': 'Clark Root tissue; BPMV-VIGS with bHLH38 target; Rep3-Bucket2', 'Identifiers': {'BioSample': 'SAMN23131683', 'Sample name': 'HGgroup_bHLH_Root_Rep3_Bucket2', 'SRA': 'SRS11064709'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Clark', 'accession': 'PI 548533', 'age': '12 days after BPMV-VIGS inoculation', 'tissue': 'whole root', 'collection_location': 'Ames, IA', 'treatment': 'HG gene group; bHLH38 target', 'biological_replicate': 'Rep 3 of 4'}, 'Accession': 'SAMN23131683', 'ID': '23131683'}"
SAMN14604352,"{'title': 'Single Control R2', 'Identifiers': {'BioSample': 'SAMN14604352', 'Sample name': 'SiC_10_R2', 'SRA': 'SRS6486060'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'Single variety not treated replicate 2', 'tissue': 'Leaf sample', 'treatment': 'Control 2'}, 'Accession': 'SAMN14604352', 'ID': '14604352'}"
SAMN07373188,"{'title': '3mlpa-Stage5-Rep3_re-analyzed', 'Identifiers': {'BioSample': 'SAMN07373188', 'SRA': 'SRS2371519', 'GEO': 'GSM2712233'}, 'Organism': 'Glycine max', 'Attributes': {'genotype': 'mips1/mrp-l/mrp-n'}, 'Accession': 'SAMN07373188', 'ID': '7373188'}"
SAMN02046330,"{'title': 'Soybean Early Maturation Cotyledon Abaxial Epidermis-Biological replicate 2', 'Identifiers': {'BioSample': 'SAMN02046330', 'SRA': 'SRS412608', 'GEO': 'GSM1123210'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Williams 82', 'tissue': 'Soybean Early Maturation Stage-Cotyledon Abaxial Epidermis'}, 'Accession': 'SAMN02046330', 'ID': '2046330'}"
SAMN02047237,"{'title': 'Day 25, rep a', 'Identifiers': {'BioSample': 'SAMN02047237', 'SRA': 'SRS413862', 'GEO': 'GSM1125113'}, 'Organism': 'Glycine max', 'Attributes': {'strain': 'cultivar Williams 82', 'tissue': 'embryo', 'age': '25 days post initial seed size of 3-4 mm long', 'genotype': 'wild type'}, 'Accession': 'SAMN02047237', 'ID': '2047237'}"
SAMN09716436,"{'title': '3F03', 'Identifiers': {'BioSample': 'SAMN09716436', 'SRA': 'SRS3596330', 'GEO': 'GSM3307002'}, 'Organism': 'Glycine max', 'Attributes': {'tissue': 'The whole shoot above cotelydon', 'photoperiod': 'LD', 'genotype': '4'}, 'Accession': 'SAMN09716436', 'ID': '9716436'}"
SAMN09715662,"{'title': 'YH35_2B12', 'Identifiers': {'BioSample': 'SAMN09715662', 'SRA': 'SRS3596137', 'GEO': 'GSM3306809'}, 'Organism': 'Glycine max', 'Attributes': {'tissue': 'The whole shoot above cotelydon', 'photoperiod': 'SD', 'genotype': '4'}, 'Accession': 'SAMN09715662', 'ID': '9715662'}"
SAMN07202318,"{'title': 'PI 561.370_RNA-seq', 'Identifiers': {'BioSample': 'SAMN07202318', 'SRA': 'SRS2259952', 'GEO': 'GSM2651546'}, 'Organism': 'Glycine max', 'Attributes': {'tissue': 'leaves', 'cultivar': 'PI 561.370'}, 'Accession': 'SAMN07202318', 'ID': '7202318'}"
SAMN12099652,"{'title': 'Soybean root inoculated with Fusarium viguliforme at 4 DPI mRNA', 'Identifiers': {'BioSample': 'SAMN12099652', 'Sample name': 'SFv1_D4', 'SRA': 'SRS5081952'}, 'Organism': 'Glycine max', 'Attributes': {'replicate': '1', 'isolate': 'NA', 'cultivar': 'Sloan', 'ecotype': 'NA', 'age': '4 DPI', 'tissue': 'root', 'treatment': 'Fusarium virgliforme Inoculated'}, 'Accession': 'SAMN12099652', 'ID': '12099652'}"
SAMN06314413,"{'title': 'Gene expression profiling of Glycine max William 82 - GmSalinity-c', 'Identifiers': {'BioSample': 'SAMN06314413', 'SRA': 'SRS2158277', 'DOE Joint Genome Institute': 'Gp0176934'}, 'Organism': 'Glycine max', 'Attributes': {'ploidy': 'missing', 'propagation': 'missing', 'cultivar': 'Williams 82', 'host': 'not applicable'}, 'Accession': 'SAMN06314413', 'ID': '6314413'}"
SAMN09078287,"{'title': 'mRNA gmax NAM02 TN05-3027', 'Identifiers': {'BioSample': 'SAMN09078287', 'SRA': 'SRS3262758', 'GEO': 'GSM3132258'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'NAM02 TN05-3027', 'tissue': 'leaf'}, 'Accession': 'SAMN09078287', 'ID': '9078287'}"
SAMN02191995,"{'title': 'Generic sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN02191995', 'Sample name': 'ainsworth_Blk4_Con_R1', 'SRA': 'SRS437969'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': '93B15', 'tissue': 'seed coat', 'Block': '4', 'treatment': 'Control'}, 'Accession': 'SAMN02191995', 'ID': '2191995'}"
SAMN37703830,"{'title': 'Kefeng 1_SMV inoculation_1 dpi_3', 'Identifiers': {'BioSample': 'SAMN37703830', 'Sample name': 'KFS_1d_3', 'SRA': 'SRS19083851'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'not applicable', 'cultivar': 'Kefeng 1', 'ecotype': 'not applicable', 'age': 'Day 9 after sowing', 'tissue': 'leaf'}, 'Accession': 'SAMN37703830', 'ID': '37703830'}"
SAMN22841281,"{'title': 'IsoClark scion on Clark rootstock (Iso/Clk), 30 minutes after transfer, rep 3 root tissue, sufficient iron', 'Identifiers': {'BioSample': 'SAMN22841281', 'Sample name': 'G2_30min_Rep3_Root_Suf', 'SRA': 'SRS10902994'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Clark', 'accession': 'PI 548533', 'age': '30 minutes after transfer', 'tissue': 'whole root', 'collection_location': 'Ames, IA', 'graft_combination': 'G2 (Iso/Clk)', 'treatment': 'Sufficient iron', 'biological_replicate': 'Rep 3 of 3'}, 'Accession': 'SAMN22841281', 'ID': '22841281'}"
SAMD00244342,"{'title': 'Root sample collected on 2019-06-19 00:00, biological replicate 4', 'Identifiers': {'BioSample': 'SAMD00244342', 'SRA': 'DRS234703'}, 'Organism': 'Glycine max', 'Accession': 'SAMD00244342', 'ID': '27482654'}"
SAMN13746626,"{'title': 'PP-St-3', 'Identifiers': {'BioSample': 'SAMN13746626', 'SRA': 'SRS5952819', 'GEO': 'GSM4254058'}, 'Organism': 'Glycine max', 'Attributes': {'tissue': 'stigma', 'cultivar': 'Williams 82'}, 'Accession': 'SAMN13746626', 'ID': '13746626'}"
SAMN13611594,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN13611594', 'Sample name': 'LT_123', 'SRA': 'SRS5842200'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'kenfeng16', 'tissue': 'leaf'}, 'Accession': 'SAMN13611594', 'ID': '13611594'}"
SAMN30311955,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN30311955', 'Sample name': 'G25d3', 'SRA': 'SRS14648652'}, 'Organism': 'Glycine max', 'Attributes': {'ecotype': 'not collected', 'age': 'on the 25th day', 'tissue': 'nodule', 'treatment': 'G', 'replicate': 'biological replicate3'}, 'Accession': 'SAMN30311955', 'ID': '30311955'}"
SAMN06434856,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN06434856', 'Sample name': 'GCN5-RNAi-2', 'SRA': 'SRS2003424'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'Hefeng47', 'cultivar': 'Glycine max Wm82.a2.v6', 'age': 'seedling', 'tissue': 'roots'}, 'Accession': 'SAMN06434856', 'ID': '6434856'}"
SAMN12727387,"{'title': 'L29-0hpi-rep1', 'Identifiers': {'BioSample': 'SAMN12727387', 'SRA': 'SRS5372814', 'GEO': 'GSM4074067'}, 'Organism': 'Glycine max', 'Attributes': {'genotype': ""L29 (Rsv3-genotype 'resistant')"", 'tissue': 'leaf'}, 'Accession': 'SAMN12727387', 'ID': '12727387'}"
SAMN38032662,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN38032662', 'Sample name': 'A Study on the Root Transcriptome of Soybean JY47 during the 24-hour Nutritional Growth Period under Drought Stress', 'SRA': 'SRS19313438'}, 'Organism': 'Glycine max', 'Attributes': {'ecotype': 'not applicable', 'age': 'missing', 'tissue': 'root'}, 'Accession': 'SAMN38032662', 'ID': '38032662'}"
SAMN41088852,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN41088852', 'Sample name': 'mi2', 'SRA': 'SRS21142751'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Williams 82', 'age': 'not collected', 'tissue': 'root', 'replicate': 'replicate=biological replicate 2'}, 'Accession': 'SAMN41088852', 'ID': '41088852'}"
SAMN12600401,"{'title': 'W82_Nodule_36dpi_Rep2_RNAseq', 'Identifiers': {'BioSample': 'SAMN12600401', 'SRA': 'SRS5285830', 'GEO': 'GSM4038739'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Williams 82', 'tissue': 'Nodule', 'age': '39 days'}, 'Accession': 'SAMN12600401', 'ID': '12600401'}"
SAMN14614953,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN14614953', 'Sample name': 'Myb14-SA-2', 'SRA': 'SRS6497979'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'treat5', 'cultivar': 'Tianlong1', 'ecotype': 'missing', 'age': 'missing', 'tissue': 'shoot apex'}, 'Accession': 'SAMN14614953', 'ID': '14614953'}"
SAMN02746743,"{'title': 'Soybean Heart Stage Seed Coat Outer Integument-Biological replicate 2', 'Identifiers': {'BioSample': 'SAMN02746743', 'SRA': 'SRS602588', 'GEO': 'GSM1380818'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Williams 82', 'compartment': 'Seed Coat Outer Integument'}, 'Accession': 'SAMN02746743', 'ID': '2746743'}"
SAMN35528408,"{'title': 'Soybean root genome', 'Identifiers': {'BioSample': 'SAMN35528408', 'Sample name': 'CK1R1R2', 'SRA': 'SRS17846197'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'HN48', 'age': 'missing', 'tissue': 'Root', 'replicate': 'CK1R1R2'}, 'Accession': 'SAMN35528408', 'ID': '35528408'}"
SAMN06287523,"{'title': 'Cultivated soybean df12', 'Identifiers': {'BioSample': 'SAMN06287523', 'SRA': 'SRS1952439', 'GEO': 'GSM2474145'}, 'Organism': 'Glycine max', 'Attributes': {'ecotype': 'cultivar', 'tissue': 'seeds'}, 'Accession': 'SAMN06287523', 'ID': '6287523'}"
SAMD00244299,"{'title': 'Leaf sample collected on 2019-06-19 00:00, biological replicate 1', 'Identifiers': {'BioSample': 'SAMD00244299', 'SRA': 'DRS234660'}, 'Organism': 'Glycine max', 'Accession': 'SAMD00244299', 'ID': '27482611'}"
SAMN02358966,"{'title': 'Sh_G6_T1_C', 'Identifiers': {'BioSample': 'SAMN02358966', 'SRA': 'SRS482289', 'GEO': 'GSM1234718'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'ClarkNIL-L92-1195', 'treatment': 'Shift (LD 3 weeks -&gt; SD 5 days)', 'timepoint': 'morning 6:30 am'}, 'Accession': 'SAMN02358966', 'ID': '2358966'}"
SAMN13520114,"{'title': 'P203 96HAI infestation rep3', 'Identifiers': {'BioSample': 'SAMN13520114', 'SRA': 'SRS5800438', 'GEO': 'GSM4212402'}, 'Organism': 'Glycine max', 'Attributes': {'genotype': 'P203_antixenotic', 'Stage': '96 hours after infestation', 'treatment': 'infestation'}, 'Accession': 'SAMN13520114', 'ID': '13520114'}"
