bioproject,name,title,description,doi,abstract
PRJNA655258,Northwest A&amp;F University,Transcriptomes analysis for hydrgen sulphide alleviates iron deficiency in Glycine max seedlings,"we analyzed the differentially expressed genes (DEGS) in Glycine max seedlings response to Fe deficiency condition, and found that 54000 genes were detected from soybean roots in the Fe deficiency treatment, which covered from at least 82% of the reference genes in soybean",,
PRJNA827666,Kyungpook National University,Study on improvement of water and nutrient uptake and enhancing the resistance of biotic stresses in soybean plant via utilization of beneficial mineral silicon,"Application and/or natural Silicates (Si) is considered valuable fact for plant growth and development in both mono- and di-cotyledons, however its effect and interaction with diverse of genes on root development and nodule formation in soybean is poorly understood. Moreover, as nodulation in legumes, requires the temporal and spatial regulation of genes and gene networks as well. A total mRNA profiling approach using RNA-seq to target the specific soybean (Glycine max) from root tissues could reveal a large number of novel genes involved in root development and nodule formation in soybean.",,
PRJNA902404,"Transcriptome of soybean reproductive tissues from plants subjected to water deficit, heat stress and a combination of water deficit and heat stress.","Transcriptome of soybean reproductive tissues from plants subjected to water deficit, heat stress and a combination of water deficit and heat stress.","Soybean plants were subjected to water deficit, heat stress, and combination of water deficit and heat stress. Flower parts, sepal, anther, ovary and stigma were collected from 8-10 different plants at R1 stage growing under three above mentioned stress conditions, and under control conditions 10 days after initiation of the stresses. Differential gene expression compared to control was studied using RNAseq method. Overall design: Soybean plants (16-18 days old) were subjected to water deficit, heat stress, and combination of water deficit and heat stress and flower parts were collected in liquid nitrogen. Total RNA was isolated and mRNA profile were generated by deep sequencing using NovaSeq 6000 PE150.",,
PRJNA939241,A soybean pattern recognition receptor conferring broad-spectrum pathogen and pest resistance regulates expression of several NLR receptor proteins,A soybean pattern recognition receptor conferring broad-spectrum pathogen and pest resistance regulates expression of several NLR receptor proteins,"Understanding the molecular response of plants to innumerable pathogens and pests is crucial in managing and eradicating plant diseases. We investigated the transcriptomic depiction of GmDR1 transgenic lines vs. their genitor Williams 82 treated with the PAMP chitin to critical gene expression changes that might lead to the defense responses manifested by the GmDR1 transgenic plants Overall design: We conducted RNA-seq on leaves of GmDR1 transgenic lines (DR1-136 and DR1-107) and the control line Williams 82 (W82) after chitin application. The control treatment consisted of sodium phosphate buffer, the solvent for chitin in this experiment. W82 is the transgene recipient non-transgenic soybean cv Williams 82; DR1-136 is the weak transgenic soybean carrying the Promoter2-GmDR1 transgene; and DR1-107 is the strong transgenic soybean harboring the Promoter3-GmDR1 transgene",,
PRJNA1043861,Glycine max,Transcriptome Analysis of 14-Day-Old Soybean Seedlings Treated with Phenoxyacetic Acid,"After 14 days of growth, soybean seedlings were treated with sterile water and phenoxyacetic acid separately. Two hours later, the roots were harvested for transcriptome sequencing.",,
PRJNA666499,Northeast Forestry University,Soybean tissue-specific transcriptome,Soybean tissue-specific transcriptomes of Jack and williams82(within VC stage),,
PRJNA288296,Glycine max,Comparative analysis of drought-responsive transcriptome in soybean lines contrasting for canopy wilting,"Purpose: Next-generation sequencing (NGS) has revolutionized systems-based analysis of abiotic stress molecular pathways. The goals of this study are to compare NGS-derived transcriptome profiling (RNA-seq) of contrasting slow wilting lines to quantify transcript abumdance under drought stress condition Overall design: Methods: The three biological replicates of DS line, Pana (control and drought samples) and DT line, PI 567690 (control and drought samples) leaf sample RNA were multiplexed and sequenced on an Illumina Hi-Seq 2000 platform. The RNA concentration of each sample was approximately 200ng/µl with a quantity of 50 µl.isoform level with two methods: Burrows–Wheeler Aligner (BWA) followed by ANOVA (ANOVA) and TopHat followed by Cufflinks. qRT–PCR validation was performed using TaqMan and SYBR Green assays",26475188,"Drought stress causes significant yield losses in major oil seed crops, such as soybean [Glycine max (L.) Merr]. Few soybean lines have been identified as canopy-wilting tolerant; however, the molecular mechanism conferring tolerance is not fully understood. To understand the biological process, a whole genome transcriptome analysis was performed for leaf tissues of two contrasting soybean lines: drought-susceptible (DS) Pana and drought-tolerant (DT) PI 567690. A pairwise comparison of the DS and DT lines under drought and control conditions detected 1914 and 670 genes with a greater than two-fold change in expression under drought conditions. Pairwise treatment comparison and gene enrichment analysis on the DT line showed the down-regulation of genes associated with protein binding, hydrolase activity, carbohydrate/lipid metabolism, xyloglucan endo-transglycosylases associated with cell-wall, apoplast, and chlorophyll a/b binding proteins. On the other hand, genes that were associated with the biotic stress response, ion binding and transport, the oxido-reductive process and electron carrier activity were up-regulated. Gene enrichment analysis detected UDP glucuronosyl transferase activity-encoding genes to be differentially expressed in PI 567690 under drought stress conditions. We found valuable SNPs variation in aquaporin genes of the DT line that are conserved in known slower canopy-wilting lines, this should facilitate marker-assisted selection in soybeans with improved drought tolerance."
PRJNA1006160,Transcriptomic and epigenetic responses unveil resistance mechanisms to Phytophthora sansomeana in soybean [RNA-seq],Transcriptomic and epigenetic responses unveil resistance mechanisms to Phytophthora sansomeana in soybean [RNA-seq],"Phytophthora root and stem rot (PRR) caused by oomycete pathogens in the Phytophthora genus poses a significant threat to soybean productivity. While resistance mechanisms against Phytophthora sojae have been extensively studied, the molecular basis underlying immune responses to the newly recognized pathogen, Phytophthora sansomeana, remains largely unknown. In this study, we investigated transcriptomic and epigenetic responses of two resistant (Colfax and NE2701) and two susceptible (Williams 82 and Senaki) soybean lines at four time points (2, 4, 8, and 16 hours post inoculation, hpi) after P. sansomeana inoculation. Through comparative transcriptomic analyses, we identified a greater number of differentially expressed genes (DEGs) upon pathogen inoculation in the resistant lines compared to the susceptible lines, predominantly at 8 and 16 hpi. These DEGs were associated with multiple phytohormones, including ethylene, salicylic acid, and jasmonic acid, along with various transcription factors and signaling cascade proteins. Moreover, DE transposable elements (TEs) were predominantly up-regulated after inoculation, and we found that TEs differentially transcribed in a resistant line were enriched near genes. Notably, we identified a long non-coding RNA (lncRNA) that was significantly differentially transcribed after inoculation exclusively in the resistant lines, potentially regulating two flanking LURP-one-related genes, known as key defense mediators in Arabidopsis against oomycete pathogens. Furthermore, DNA methylation analysis revealed increased CHH (H = A, T, or C) methylation levels in lncRNAs after inoculation, with delayed responses in the resistant line compared to the susceptible line. Overall, our results provide insights into the molecular mechanisms underlying resistance to P. sansomeana in soybean and underscore the potential role of lncRNAs and epigenetic regulation in plant defense responses. Overall design: We investigated transcriptomic responses of two resistant (Colfax and NE2701) and two susceptible (Williams 82 and Senaki) soybean lines at four time points (2, 4, 8, and 16 hours post inoculation, hpi) after P. sansomeana inoculation.",,
PRJNA278121,Glycine max,Transcriptome profiles in compatible and incompatible interactions between soybean and Fusarium oxysporum,"Fusarium oxysporum is one of the most common species causing soybean root rot and seedling blight in the U.S. In a recent study, significant variation in aggressiveness was observed among isolates of F. oxysporum collected from roots in Iowa, ranging from highly pathogenic to weakly or non-pathogenic isolates. In the present work, a RNA-seq-based analysis was used for the first time to investigate the molecular aspect of the interaction of a partially resistant soybean genotype with non-pathogenic/pathogenic isolates of F. oxysporum at 72 and 96 hours post inoculation (hpi). Markedly different gene expression profiles were observed in compatible and incompatible host-pathogen combinations. A peak of differentially expressed genes (DEGs) was observed at 72 hpi in soybean roots in response to both isolates, although the number of DEGs was about eight times higher for the pathogenic isolate compared to the non-pathogenic one (1,659 vs. 203 DEGs, respectively). Furthermore, not only the number of genes, but also the magnitude of induction was much greater in response to the pathogenic isolate. This response included a stronger activation of many well-known defense-related genes, and several genes involved in ethylene biosynthesis and signalling, transcription factors, secondary and sugar metabolism. In addition, 1130 fungal genes were differentially expressed between the F. oxysporum isolates in planta during the infection process. Interestingly, 10% of these genes encode plant cell-wall degrading enzymes, reactive oxygen species-related enzymes and fungal proteins involved in primary metabolic pathways. Such information may be useful in the development of new methods of broadening resistance of soybean to F. oxysporum, including the silencing of important fungal genes, and also to understand the molecular basis of soybean-F. oxysporum interactions. Overall design: Soybean seedlings mRNA profiles inoculated with a non-pathogenic and pathogenic isolates of F. oxysporum and collected at 72 and 96 hpi, were generated using Illumina HiSeq 2500. Control seedlings were also included for each time of inoculation. Three biological replicates were considered for each condition, 18 samples in total.",26689712,
PRJNA871800,Yangzhou University,Transcriptome analysis of root of cultivated soybean and wild soybean under Salt Stress,"To study the role of ion channels in root of cultivated and wild soybean under salt stress, transcriptome analysis was performed",,
PRJNA904140,Glycine max,Glycine max Raw sequence reads,normal RNA-Seq of Glycine max,,
PRJNA306741,Glycine max,Soybean (Glycine max) had infected soybean cyst nematode raw sequence reads,"To find the resistance mechanism of Huipizhi Heidou ,a excellent soybean variety for resistance breeding",,
PRJNA861378,Yantai University,inactive Shade-Avoidance Response study in soybean,To detect the responding genes and pathways related to inactive shade-avodance resonse trait.,,
PRJDB7775,Glycine max strain:Sachiyutaka,Effect of thinning at R5 on transcriptome in soybean main stem,A. Experimental design: 1 genotype: Sachiyutaka. 2 treatments: thinning at R5 (plant population density was altered from 22.2 plants to 5.56 plants per square meter) and control (plant population density was maintain at 5.56 from sowing to harvest). 2 replications 2 time point: 14 days after R5 and 28 days after R5. TOTAL: 8 RNA sequencing. Sample: main stem. Stage: R5 to R6. Growth condition: Field condition. Day length: Field condition. Sampling time: 9 a.m. to 10 a.m. Day length: Field condition. Sampling time: 9 a.m. to 10 a.m.,,
PRJNA663421,Institute of Crop Science,Transcriptome profiling of a long-juvenile soybean variety with a loss-of-function allele of J (GmELF3a) under different photoperiod conditions,"The loss of function of J/GmELF3 gene in soybean delays flowering and enhance yield under short day conditions. Understanding the molecular mechanism of soybean delayed flowering under short-day (SD) conditions will enhance breeding of high yielding soybean varieties for the tropics. Our study aims at discovering the flowering related genes and the pathways involved in Huaxia-3, a long-juvenile mutant soybean variety with mutation in J locus and delayed flowering under SD. RNA-Seq analysis was conducted to compare the transcriptome of Huaxia-3 (HX-3) to a transgenic Huaxia-3 (OEHX-3) overexpressing the J gene. The study contributes to the knowledge gap in the molecular mechanism of flowering time regulation under tropical conditions.",,
PRJNA373655,Glycine max cultivar:Williams 82,Gene expression profiling of Glycine max William 82 - GmMinusK-e,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under Potassium deprivation,,
PRJNA664111,University of North Carolina at Charlotte,RNA-sequencing of soybean cyst nematode induced response in Glycine soja and Glycine max,"RNA-seq based transcriptomes of soybean cyst nematode (SCN) resistant wild soybean (Gylcine soja), NRS100 (nematode resistant soja) with three other genotypes: susceptible wild soybean genotype S-soja (PI468396B), resistant Glycine max cultivar Peking (PI548402), and susceptible Glycine max cultivar William 82 (PI509044), were generated to understand the unique resistance mechanism in NRS100. NRS100 is significantly resistant (Female Index = 3.3) to SCN HG Type 2.5.7 (SCN race 5), which is prevalent in the south-eastern United States. RNA of each genotype was collected in triplicates for two conditions: control and SCN treated. Each replicate was run on two separate lanes in HiSeq. These RNA-seq transcriptomes of SCN treated and control conditions across four genotypes: Peking , Williams 82, S-soja, and NRS100 are used to determine differential regulation between genotypes. Nematode susceptible and resistant genotypes from both cultivated and wild soybeans are used to elucidate species-specific and genotype-specific responses.",,
PRJNA732936,Transcriptomic profiling of brassinosteroids response genes in soybean (Glycine max L.),Transcriptomic profiling of brassinosteroids response genes in soybean (Glycine max L.),"Brassinosteroids (BRs) are a series of sterol hormones in plants, which play important physiological roles in many aspects of plant growth and development processes. Exogenous application of BR and its inhibitors PPZ to investigated the roles of BR in soybean root growth and development. Transcriptome sequencing analysis was performed to identified lots number of differential expression genes(DEGs) by eBL (2,4-epicastasterone, 24-epiCS) and PPZ (propiconazole) treatment of soybean root tips(1 cm). Overall design: Soybean seeds were germinated in vermiculite for 3 days. 3-day-old soybean seedlings were transferred to hydroponics medium for 5 days, then with 0.1 μM PPZ and mock treatment separately for another 2.5 days. 3-day-old soybean seedlings were transferred to hydroponics medium for 7 days, then treated with 0.01 nM eBL and mock for another half a day. PPZ_BR treatment is that 5-day-old hydroponic cultured soybean seedlings treat with 0.1 μM PPZ for 2 days and then with 0.01 nM BL for half a day.",,
PRJNA726519,Next Generation Sequencing Quantitative Analysis of soybean seeds Transcriptomes,Next Generation Sequencing Quantitative Analysis of soybean seeds Transcriptomes,"To investigate the regulatory mechanisms of GmNFYA in salt stress, leaves and roots of transgenic plants and JACK plants were collected for RNA extraction and sequencing. Clean reads of RNA-sequencing were mapped to soybean genome and genes that had a 2 fold increase or 50% decrease, compared to JACK, were defined as differential expressed genes (DEGs). Overall design: mRNA profiles of soybean leaf and roots. Wild type (Jack) and GmNFYA overexpressing soybean.",34265872,"Soybean is an important crop worldwide, but its production is severely affected by salt stress. Understanding the regulatory mechanism of salt response is crucial for improving the salt tolerance of soybean. Here, we reveal a role for nuclear factor Y subunit GmNFYA in salt tolerance of soybean likely through the regulation of histone acetylation. GmNFYA is induced by salt stress. Overexpression of GmNFYA significantly enhances salt tolerance in stable transgenic soybean plants by inducing salt-responsive genes. Analysis in soybean plants with transgenic hairy roots also supports the conclusion. GmNFYA interacts with GmFVE, which functions with putative histone deacetylase GmHDA13 in a complex for transcriptional repression possibly by reducing H3K9 acetylation at target loci. Under salt stress, GmNFYA likely accumulates and competes with GmHDA13 for interaction with GmFVE, leading to the derepression and maintenance of histone acetylation for activation of salt-responsive genes and finally conferring salt tolerance in soybean plants. In addition, a haplotype I GmNFYA promoter is identified with the highest self-activated promoter activity and may be selected during future breeding for salt-tolerant cultivars. Our study uncovers the epigenetic regulatory mechanism of GmNFYA in salt-stress response, and all the factors/elements identified may be potential targets for genetic manipulation of salt tolerance in soybean and other crops."
PRJNA766706,SDAU,Root transcriptome comparison of salt-tolerant cultivar QH34 and salt-sensitive cultivar DN50,"Soil salinity is one of the primary causes hampering the productivity of soybean. Breeding soybean for high tolerance to high slat conditions is important for increasing its production. To compensate for the lack of information about the molecular mechanism involved in soybean response to salt stress, comparative analysis of time-series root transcriptomic data between two soybean cultivars with distinct salt sensitivity were performed.",,
PRJNA854192,Glycine max,Glycine max Transcriptome: normal conditions and DPC,Both varieties grow normally + DPC,,
PRJNA967030,Huazhong Agricultural University,RNA-seq of nodules in Glycine max,To identify the role of key genes in symbiotic nitrogen fixation of soybean. Transcriptomics analysis was performed.,,
PRJNA668549,Glycine max,Soybean Transcriptome (clean reads),Discover SMV-resistance genes/networks in soybean based on transcriptome,,
PRJNA285677,,,,,
PRJNA725380,Adam Mickiewicz University Poznan,Cold stress induced miRNA and degradome changes in soybean,"Chilling stress is one of the most important factors limiting soybean yield in the temperate climate. To determine the involvement of microRNAs (miRNAs) and their target genes in the chilling resistance of four soybean cultivars (Augusta, Fiskeby V, Toyomusume, and Glycine soja) small RNA and degradome libraries were prepared.",,
PRJNA574764,laval university,RNA-seq data from soybean infected with Phytophthora sojae,The RNA-seq study investigates gene expression and nucleotide variations to refined a list of candidate genes related with partial resistance of soybean against Phytophthora sojae.,,
PRJNA305219,Glycine max,Glycine max Raw sequence reads,"Supplemental Ca2+ could increase soybean sprout yield and improve its nutrition qualities. Ca2+-treated sprouts had higher yield than water-treated ones. Metabolism of selected anti-nutritional factors and bioactive substances in soybean sprouts was strengthened by Ca2+. To investigate the role of Ca2+ in soybean during germination, transcriptome changes were analyzed. Total RNA from soybean sprouts that treated with deionized water or with 6 mM Ca2+ were analyzed.",,
PRJNA861407,Nanjing Agricultural University,Transcriptome analysis of soybean,Transcriptome analyses reveal the response of soybean to SMV infection,,
PRJNA1078315,Northeast Agricultural University,Transcriptome analysis of soybean seedlings after low temperature stress,Transcriptome sequencing of two soybean varieties after 72 hours of low temperature treatment and 72 hours of temperature recovery,,
PRJNA808807,Chinese Academy of Sciences Center for Excellence in Molecular Plant Sciences,Multi-omics links seed microbiota dysbiosis and geminivirus infection with the incidence of soybean staygreen syndrome,"Soybean staygreen syndrome (SGS) is the most serious disaster for soybean production systems. However, the direct cause of SGS in soybean has been highly debated. Here, we studied the bacterial, fungal and viral communities associated with SGS using amplicons (bacterial 16S and fungal ITS), RNA (soybean mRNA) and small RNA (viral sRNA) sequencing approaches at the main soybean production sites in China, and investigated what is the causal agent of SGS in soybean and how SGS affects the assembly and function of plant-associated microbiomes.",,
PRJNA197379,Glycine max,Metabolic and Transcriptional Reprogramming in Developing Soybean (Glycine max) Embryos,"Soybean (Glycine max) seeds are an important source of seed storage compounds, including protein, oil, and sugar used for food, feed, chemical, and biofuel production. We assessed detailed temporal transcriptional and metabolic changes in developing soybean embryos to gain a systems biology view of developmental and metabolic changes and to identify potential targets for metabolic engineering. Two major developmental and metabolic transitions were captured enabling identification of potential metabolic engineering targets specific to seed filling and to desiccation. The first transition involved a switch between different types of metabolism in dividing and elongating cells. The second transition involved the onset of maturation and desiccation tolerance during seed filling and a switch from photoheterotrophic to heterotrophic metabolism. Clustering analyses of metabolite and transcript data revealed clusters of functionally related metabolites and transcripts active in these different developmental and metabolic programs. The gene clusters provide a resource to generate predictions about the associations and interactions of unknown regulators with their targets based on guilt-by-association relationships. The inferred regulators also represent potential targets for future metabolic engineering of relevant pathways and steps in central carbon and nitrogen metabolism in soybean embryos and drought and desiccation tolerance in plants. Overall design: Total mRNA profiles of 10 time course samples of Soybean developing embryos with three replicates per sample were generated by deep sequencing, using Illumina HiSeq 2000",24833227,"Developing soybean seeds accumulate oils, proteins, and carbohydrates that are used as oxidizable substrates providing metabolic precursors and energy during seed germination. The accumulation of these storage compounds in developing seeds is highly regulated at multiple levels, including at transcriptional and post-transcriptional regulation. RNA sequencing was used to provide comprehensive information about transcriptional and post-transcriptional events that take place in developing soybean embryos. Bioinformatics analyses lead to the identification of different classes of alternatively spliced isoforms and corresponding changes in their levels on a global scale during soybean embryo development. Alternative splicing was associated with transcripts involved in various metabolic and developmental processes, including central carbon and nitrogen metabolism, induction of maturation and dormancy, and splicing itself. Detailed examination of selected RNA isoforms revealed alterations in individual domains that could result in changes in subcellular localization of the resulting proteins, protein-protein and enzyme-substrate interactions, and regulation of protein activities. Different isoforms may play an important role in regulating developmental and metabolic processes occurring at different stages in developing oilseed embryos."
PRJNA868178,Universidad de la Republica,RNA-seq data of nodulated and non-nodulated soybean plants subjeted to water restriction.,"This RNA-seq data for total RNA (TOTAL) and polysome-associated mRNAs (PAR) of soybean roots comprises four combined treatments including the nodulation and hydric condition. This way, the differential plant responses to water restriction regarding the nodulation status at the transcriptomic and translatomic level can be study.",,
PRJNA409497,Glycine max cultivar:Williams 82,Glycine max Williams 82 Transcriptome - 091-B07 - 730PM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA271477,Glycine max,Detection and Characterization of Gene Expression Differences in Transgenic Glycine max Seeds with RNAseq,"Transformation of Glycine max with seed-targeted expression vectors via Agrobacterium causes measurable unscripted gene expression changes in the seed transcriptome Overall design: mRNA was sequenced from three transgenic events expressing three different recombinant proteins in soybean seeds. Three plants were chosen from each as group replicates, and three seeds from each plant as individual biological replicates.",26427366,
PRJNA690873,Glycine max,Glycine max Transcriptome or Gene expression,To identify differentially expressed genes associated with COR treatment in soybean leaves by RNA-seq,,
PRJNA1011827,Glycine max,Glycine max Raw sequence reads,normal RNA-seq of soybean leaves,,
PRJNA1030137,Shenyang Agricultural University,Unraveling Low Phosphorus Response Mechanisms in Salt-Tolerant Soybean Germplasms,"This study focuses on elucidating the response mechanisms of low phosphorus stress in salt-tolerant soybean germplasms. Two soybean varieties, A74 (salt-tolerant and phosphorus-efficient) and A6 (salt-tolerant and phosphorus-inefficient), were chosen as the primary materials. The aim was to investigate how soybeans with different phosphorus efficiencies respond to low phosphorus stress in the presence of salt stress.&lt;/p&gt;&lt;p&gt;The research approach combined physiochemical and transcriptional analysis, resulting in the identification of 14,075 differentially expressed genes through pairwise comparisons. PageMan analysis revealed that A74 exhibited enriched categories related to mitochondrial electron transport, secondary metabolism, stress responses, and miscellaneous functions when compared to A6 under low phosphorus conditions.&lt;/p&gt;&lt;p&gt;Moreover, weighted correlation network analysis unveiled two gene modules highly correlated with acid phosphatase and antioxidant enzyme activity. Within these modules, central hub genes such as citrate synthase, acyl-coenzyme A oxidase4 (ACX), cytokinin dehydrogenase 7 (CXXs), and two-component response regulator ARR2 were identified.&lt;/p&gt;&lt;p&gt;This project aims to provide a deeper understanding of how salt-tolerant soybean germplasms with varying phosphorus efficiencies adapt and respond to low phosphorus stress, shedding light on potential strategies for enhancing crop resilience under challenging environmental conditions.",,
PRJNA727448,Fujian Agriculture and Forestry Universtiy,RNA-SEQ sequencing,"To investigate the molecular mechanism underlying the GmPTF1-mediated regulation of root growth as well as P efficiency, we performed a RNA sequencing (RNA-seq) analysis using wild-type and GmPTF1 overexpressing transgenic plants grown under Pi sufficient (+P) and deficient (-P) conditions",10.1111/tpj.15307,
PRJNA1039334,Northeastern Forestry University,Soybean dry seeds sequencing,Row data of RNA-seq and WGBS in soybean dry seeds. Include 11 wildtype and one mutant,,
PRJNA140081,Glycine max,Genome-Wide Transcript Profiling During Soybean Seed Development and Throughout the Soybean Life Cycle,"We report the genome-wide transcriptome of soybean seeds across several stages of seed development and the entire life cycle using Illumina high-throughput sequencing technology. Specifically, we profiled whole seeds containing globular-stage, heart-stage, cotyledon-stage, early maturation-stage, mid-maturation-stage, and late-maturation-stage embryos. We also profiled dry soybean seeds, and vegetative and reproductive tissues including leaves, roots, stems, seedlings, and floral buds. Overall design: IIllumina sequencing of transcripts from whole seeds at five stages of seed development (globular, heart, cotyledon, early-maturation, mid-maturation, late-maturation, dry), and vegetative (leaves, roots, stems, seedlings) and reproductive (floral buds) tissues.",25963149,"We used an RNA interference screen to assay the function of 53 transcription factor messenger RNAs (mRNAs) that accumulate specifically within soybean (Glycine max) seed regions, subregions, and tissues during development. We show that basic helix-loop-helix (bHLH) transcription factor genes represented by Glyma04g41710 and its paralogs are required for the formation of stoma in leaves and stomatal precursor complexes in mature embryo cotyledons. Phylogenetic analysis indicates that these bHLH transcription factor genes are orthologous to Arabidopsis (Arabidopsis thaliana) SPEECHLESS (SPCH) that initiate asymmetric cell divisions in the leaf protoderm layer and establish stomatal cell lineages. Soybean SPCH (GmSPCH) mRNAs accumulate primarily in embryo, seedling, and leaf epidermal layers. Expression of Glyma04g41710 under the control of the SPCH promoter rescues the Arabidopsis spch mutant, indicating that Glyma04g41710 is a functional ortholog of SPCH. Developing soybean embryos do not form mature stoma, and stomatal differentiation is arrested at the guard mother cell stage. We analyzed the accumulation of GmSPCH mRNAs during soybean seed development and mRNAs orthologous to MUTE, FAMA, and inducer of C-repeat/dehydration responsive element-binding factor expression1/scream2 that are required for stoma formation in Arabidopsis. The mRNA accumulation patterns provide a potential explanation for guard mother cell dormancy in soybean embryos. Our results suggest that variation in the timing of bHLH transcription factor gene expression can explain the diversity of stomatal forms observed during plant development."
PRJNA741780,Henan Agricultural University,RNA-seq of soybean leaves under low phosphorus treatment,Identification of soybean phosphorous efficiency QTLs and genes using chlorophyll fluorescence parameters through GWAS and RNA-seq,,
PRJNA357655,University of Georgia,DNA methylome and transcriptome sequencing of wild and domesticated soybean,"Single-base resolution DNA methylation maps were generated for seven and nine accessions of wild and domesticated soybean, respectively, and compared with the transcriptomes to study the epigenetic and transcriptional fates of genes within and between Glycine species.",,
PRJNA932570,Northeast Agricultural University,Overexpression of peanut (Arachis hypogaea L.)AhALDH2B6 enhances cold resistance in soybean,Overexpression of peanut (Arachis hypogaea L.)AhALDH2B6 enhances cold resistance in soybean,,
PRJNA900526,Guangzhou University,RNA-seq and ChIP-seq,"The ms2 mutant displayed completely male sterility. Map-based cloning uncovered that MS2 encodes a bHLH transcriptional factor. To identify the direct downstream genes of MS2, high throughput sequencing including RNA-seq and ChIP-seq were used.",,
PRJNA648759,Purdue University,mobile RNAs detected in graft soybean/common bean system,"We detected the mobile mRNAs / sRNAs and decipher their functions by integrating sRNA-seq, RNA-seq, and single molecule, real-time (SMRT)-seq, and degradome-seq data from heterografted and autografted soybean (Glycine max) and common bean (Phaseolus vulgaris)",,
PRJNA387303,Glycine max,Gene Expression Changes in the Development of the Soybean Seed Mid-Maturation (B1) Stage,"We investigated soybean seed development because (1) soybean seeds are a major source of food and fuel, (2) soybean seeds have been an excellent system for studying the basic processes controlling seed development for over three decades, and (3) new soybean genomic resources, including the sequence of the soybean genome and the gene expression profiles for all seed compartments, tissues, and cell types, can be used to gain new insights into the regulatory processes required for seed differentiation. We sequenced messenger RNA populations of specific soybean seed compartments, which will provide new insights into gene expression that are important for “making a soybean seed.” Overall design: Three compartments of the mid-maturation (B1) stage of the soybean seeds were analyzed. Three biological replicates were collected for each compartment.",,
PRJNA1062726,Glycine max,Glycine max Raw sequence reads,Normal transcriptome sequencing of soybean,,
PRJNA924064,Glycine max,Glycine max Raw sequence reads,Normal transcriptome sequencing of soybean.,,
PRJNA551573,Glycine max cultivar:Williams 82,Study of regulatory mechanism of GmOLEO1,Compare the seed transcriptomes between OE-GmOLEO1 and its wild type Williams82,,
PRJNA579169,,,,,
PRJNA482945,RNAseq data of two week-old soybean leaves response to cold stress,RNAseq data of two week-old soybean leaves response to cold stress,"Transcriptome analysis of cold-treated leaves (unifoliates) of soybean seedlings were performed. RNAseq analysis was performed using two lanes on a Illumina HiSeq2000 and sequenced on a 100bp, paired-end run. Overall design: Two-weeks old soybean (c.v. ‘Williams 82’) seedlings were cold-treated (4 °C) starting at 4 h after the lights turned on (Zeitgeber Time, ZT4 h, 18 hours light/6 hours dark) and maintaining 4 °C continuously with the light cycle till harvest time (0, 1, and 24 hours). All treatment samples were performed in triplicate (with n≥6 plants per replication).",26993238,"Soybean (Glycine max) is considered to be cold intolerant and is not able to significantly acclimate to cold/freezing stress. In most cold tolerant plants, the C-repeat/DRE Binding Factors (CBF/DREBs) are critical contributors to successful cold-responses; rapidly increasing following cold treatment and regulating the induction of many cold responsive genes. In soybean vegetative tissue, we found strong, transient accumulation of CBF transcripts in response to cold stress; however, the soybean transcripts of typical cold responsive genes (homologues to Arabidopsis genes such as dehydrins, ADH1, RAP2.1, and LEA14) were not significantly altered. Soybean CBFs were found to be functional, as when expressed constitutively in Arabidopsis they increased the levels of AtCOR47 and AtRD29a transcripts and increased freezing tolerance as measured by a decrease in leaf freezing damage and ion leakage. Furthermore the constitutive expression of GmDREB1A;2 and GmDREB1B;1 in Arabidopsis led to stronger up-regulation of downstream genes and more freezing tolerance than GmDREB1A;1, the gene whose transcript is the major contributor to total CBF/DREB1 transcripts in soybean. The inability for the soybean CBFs to significantly up regulate the soybean genes that contribute to cold tolerance is consistent with poor acclimation capability and the cold intolerance of soybean."
PRJNA823397,Glycine max,Glycine max Transcriptome (CK and DPC+DROUGHT),Transcriptome data of two soybean varieties under Mepiquat Chloride stress.DPC stands for drought + dpc,,
PRJNA687319,Northeast Institute of Geography and Agroecology,short petioles and rolled leaves of soybean,Location of related genes of short petioles and rolled leaves in soybean,,
PRJNA907509,Glycine max,Glycine max SNAP RNAseq and ChIPseq,"Legumes can utilize atmospheric nitrogen (N) via symbiotic nitrogen fixation (SNF), which benefits crop production and sustainable agriculture. However, high soil inorganic N can suppress the initiation, growth and function of nodules. So far, how mature nodules respond to high N exposure is poorly understood at the molecular level. We show using co-expression network analysis of transcriptomic data in soybean that high N inhibition of nitrogenase activity and acceleration of senescence is dynamic and reversible. Our study demonstrates that SNAP TFs orchestrate a hierarchical transcriptional cascade in the N-induced transcriptional network in mature nodules.",,
