biosample,acc,assay_type,center_name,consent,experiment,sample_name,instrument,librarylayout,libraryselection,librarysource,platform,sample_acc,organism,sra_study,releasedate,bioproject,mbytes,loaddate,avgspotlen,mbases,insertsize,library_name,biosamplemodel_sam,collection_date_sam,geo_loc_name_country_calc,geo_loc_name_country_continent_calc,geo_loc_name_sam,ena_first_public_run,ena_last_update_run,sample_name_sam,datastore_filetype,datastore_provider,datastore_region,run_file_version,random
SAMN37420853,SRR26081553,RNA-Seq,IOWA STATE UNIVERSITY,public,SRX21796419,HighCO2_21 d,Illumina NovaSeq 6000,SINGLE,PCR,TRANSCRIPTOMIC,ILLUMINA,SRS18897898,Glycine max,SRP461235,2024-03-31,PRJNA1017882,1200.0,,100.0,3676.0,,H3-d21-L1,[Plant],,USA,North America,"[USA: Ames, Iowa]",,,,"[run.zq, fastq, sra]","[s3, gs, ncbi]","[ncbi.public, s3.us-east-1, gs.us-east1]",1.0,0.871658709092519
SAMN09716212,SRR7593022,RNA-Seq,GEO,public,SRX4458018,GSM3306230,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS3595558,Glycine max,SRP155262,2021-07-26,PRJNA482870,289.0,,100.0,936.0,,,,,,,,,,,"[run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.871625047504944
SAMN15648130,SRR12328395,RNA-Seq,NANJING AGRICULTURAL UNIVERSITY,public,SRX8828763,a11-14,Illumina HiSeq 2000,SINGLE,other,GENOMIC,ILLUMINA,SRS7093043,Glycine max,SRP273644,2020-08-10,PRJNA648781,0.0,,61166.0,0.0,,P098,[Plant],,China,Asia,[China],,,,"[fastq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.871533036615948
SAMN01924548,SRR926348,RNA-Seq,USDA-ARS,public,SRX245299,MAG28,Illumina HiSeq 2000,PAIRED,unspecified,TRANSCRIPTOMIC,ILLUMINA,SRS397909,Glycine max,SRP018831,2013-07-25,PRJNA190191,805.0,,171.0,1285.0,,,,,,,,,,,"[bam, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.871472140557465
SAMN17612248,SRR13568721,RNA-Seq,CHINA AGRICULTURAL UNIVERSITY,public,SRX9966936,XHD53,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS8139726,Glycine max,SRP303557,2021-07-30,PRJNA695355,1791.0,,300.0,6104.0,,T17,[Plant],,China,Asia,[China:Beijing],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.871443673704122
SAMN12671272,SRR10054980,RNA-Seq,"NORTHEAST INSTITUTE OF GEOGRAPHY AND AGROECOLOGY, CHINESE ACADEMY OF SCIENCES",public,SRX6788896,GmICC1,HiSeq X Ten,PAIRED,PCR,TRANSCRIPTOMIC,ILLUMINA,SRS5344353,Glycine max,SRP220323,2019-09-05,PRJNA563259,8012.0,,300.0,19562.0,,gmicc1,[Plant],,China,Asia,[China:changchun],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.871422381214268
SAMN38636163,SRR27128383,RNA-Seq,NORTHEAST AGRICULTURAL UNIVERSITY,public,SRX22810449,R5_Z_AS+MT_10 d_3,MGISEQ-2000RS,PAIRED,Oligo-dT,TRANSCRIPTOMIC,BGISEQ,SRS19792403,Glycine max,SRP476358,2023-12-07,PRJNA1048376,3934.0,,300.0,6035.0,,R5_Z_AS+MT_10 d_3,[Plant],[2021-09-16],China,Asia,[China:Harbin],,,,"[fastq, sra, run.zq]","[ncbi, s3, gs]","[ncbi.public, gs.us-east1, s3.us-east-1]",1.0,0.871393974949236
SAMN08461558,SRR6796823,RNA-Seq,"INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY , CHINESE ACADEMY OF SCIENCE",public,SRX3755648,ACC-2226,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,SRS3011478,Glycine max,SRP133798,2018-08-21,PRJNA432760,2064.0,,250.0,6317.0,,ACC-2226_RNAseq,[Plant],,China,Asia,[China:Heilongjiang],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.871316484616592
SAMN15648089,SRR12328320,RNA-Seq,NANJING AGRICULTURAL UNIVERSITY,public,SRX8828838,a8-4,Illumina HiSeq 2000,SINGLE,other,GENOMIC,ILLUMINA,SRS7093120,Glycine max,SRP273644,2020-08-10,PRJNA648781,0.0,,61166.0,0.0,,P054,[Plant],,China,Asia,[China],,,,"[fastq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.871265994364887
SAMN07703164,SRR6078271,RNA-Seq,GEO,public,SRX3217711,GSM2794350,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS2542619,Glycine max,SRP118921,2018-12-27,PRJNA412240,2231.0,,300.0,5813.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.870989559090714
SAMN16427399,SRR12822776,RNA-Seq,"BIOTECHNOLOGY RESEARCH INSTITUTE, TIANJIN ACADEMY OF AGRICULTURAL SCIENCES",public,SRX9290427,Zhonghuang13_R,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,ILLUMINA,SRS7517328,Glycine max,SRP287327,2020-10-13,PRJNA668923,1095.0,,302.0,2516.0,,Zhonghuang13_R,[Plant],,China,Asia,[China],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.870911461244209
SAMN38212218,SRR26823018,RNA-Seq,NORTHEASTERN FORESTRY UNIVERSITY,public,SRX22519747,HF51,Illumina HiSeq 2000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,SRS19531314,Glycine max,SRP471757,2023-11-14,PRJNA1039334,11934.0,,300.0,21044.0,,RNA-HF51,[Plant],[2018-10-10],uncalculated,uncalculated,[missing: lab stock],,,,"[run.zq, fastq, sra]","[ncbi, gs, s3]","[ncbi.public, s3.us-east-1, gs.us-east1]",1.0,0.870880879377215
SAMN36780230,SRR25508379,RNA-Seq,NORTHEAST AGRICULTURAL UNIVERSITY,public,SRX21239135,KONopL2,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS18494070,Glycine max,SRP453195,2023-08-10,PRJNA1000775,2164.0,,302.0,7238.0,,11,[Plant],[2023-05-15],China,Asia,[China: Northeast Agricultural University],,,,"[fastq, sra, run.zq]","[gs, ncbi, s3]","[gs.us-east1, s3.us-east-1, ncbi.public]",1.0,0.870608356260647
SAMN03083684,SRR1592293,RNA-Seq,GEO,public,SRX716636,GSM1515820,Illumina HiScanSQ,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS712425,Glycine max,SRP048326,2015-05-01,PRJNA262564,2398.0,,202.0,3652.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.87055438763852
SAMN01779518,SRR605688,RNA-Seq,GEO,public,SRX200145,GSM1024014,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS371925,Glycine max,SRP016593,2013-06-04,PRJNA178155,2097.0,,51.0,3077.0,,,,,,,,,,,"[run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.870520150701958
SAMN19243757,SRR14615491,RNA-Seq,IOWA STATE UNIVERSITY,public,SRX10957345,68-S122,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS9035615,Glycine max,SRP320877,2021-06-30,PRJNA730888,1293.0,,298.0,3106.0,,68-S122,[Plant],,USA,North America,[USA: Maryland-8],,,,"[sra, fastq, run.zq]","[gs, s3, ncbi]","[s3.us-east-1, gs.us-east1, ncbi.public]",1.0,0.87049937288297
SAMN27281657,SRR18681917,RNA-Seq,NORTHEAST AGRICULTURAL UNIVERSITY,public,SRX14783071,HN65-CK3,HiSeq X Ten,PAIRED,PCR,TRANSCRIPTOMIC,ILLUMINA,SRS12542208,Glycine max,SRP368162,2022-04-09,PRJNA823397,5424.0,,300.0,9070.0,,9,[Plant],,China,Asia,[China: Harbin],,,,"[sra, run.zq, fastq]","[gs, s3, ncbi]","[ncbi.public, gs.us-east1, s3.us-east-1]",1.0,0.870307424648821
SAMN22841270,SRR18100609,RNA-Seq,USDA,public,SRX14251435,G2_30min_Rep1_Leaf_Def,Illumina HiSeq 3000,SINGLE,unspecified,TRANSCRIPTOMIC,ILLUMINA,SRS10902982,Glycine max,SRP344348,2022-06-01,PRJNA776648,319.0,,84.0,3048.0,,G2_T1_R1_LD,[Plant],[2019-12-04],USA,North America,[USA],,,,"[sra, bam, run.zq]","[gs, s3, ncbi]","[s3.us-east-1, gs.us-east1, ncbi.public]",1.0,0.870300373039225
SAMN22841301,SRR16760935,RNA-Seq,USDA,public,SRX12961271,G3_30min_Rep2_Root_Suf,Illumina HiSeq 3000,SINGLE,unspecified,TRANSCRIPTOMIC,ILLUMINA,SRS10903016,Glycine max,SRP344348,2022-06-01,PRJNA776648,1137.0,,100.0,3445.0,,G3_T1_R2_RS,[Plant],[2019-12-04],USA,North America,[USA],,,,"[run.zq, sra, fastq]","[ncbi, gs, s3]","[ncbi.public, s3.us-east-1, gs.us-east1]",1.0,0.870130121094204
SAMN32735677,SRR23086049,RNA-Seq,JILIN UNIVERSITY,public,SRX19038554,OE10_55D_1,Illumina NovaSeq 6000,PAIRED,Oligo-dT,TRANSCRIPTOMIC,ILLUMINA,SRS16456045,Glycine max,SRP417578,2024-01-31,PRJNA924064,2093.0,,300.0,6951.0,,S309,[Plant],,China,Asia,"[China: Jilin University, Changchun, Jilin]",,,,"[sra, run.zq, fastq]","[s3, ncbi, gs]","[s3.us-east-1, ncbi.public, gs.us-east1]",1.0,0.869964019910272
SAMN10721157,SRR8427404,RNA-Seq,SOUTH DAKOTA STATE UNIVERSITY,public,SRX5235223,PI518671_treatment_control_30d_R2,Illumina HiSeq 3000,SINGLE,RANDOM,TRANSCRIPTOMIC,ILLUMINA,SRS4238939,Glycine max,SRP178193,2019-04-22,PRJNA514200,1041.0,,99.0,2835.0,,22,[Plant],,USA,North America,[USA: Brookings in South Dakota],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",2.0,0.869955052491307
SAMN09715920,SRR7593337,RNA-Seq,GEO,public,SRX4458333,GSM3306545,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS3595875,Glycine max,SRP155262,2021-07-26,PRJNA482870,508.0,,100.0,1595.0,,,,,,,,,,,"[run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.869943927893972
SAMN05908877,SRR4428969,RNA-Seq,CLEMSON UNIVERSITY,public,SRX2250490,5-6-3-N,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS1750438,Glycine max,SRP091708,2016-10-23,PRJNA348534,1053.0,,200.0,1820.0,,5-6-3-N,[Plant],,USA,North America,[USA:South Carolina],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.869729110051345
SAMN40001332,SRR28205762,RNA-Seq,ZHEJIANG UNIVERSITY,public,SRX23817912,L1D_3,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS20640371,Glycine max,SRP493011,2024-06-01,PRJNA1078438,2455.0,,297.0,7872.0,,L1D_3,[Plant],[2023-09-01],China,Asia,[China: Zhejiang],,,,"[sra, run.zq, fastq]","[gs, s3, ncbi]","[ncbi.public, s3.us-east-1, gs.us-east1]",1.0,0.869564958924713
SAMN32153933,SRR22890647,RNA-Seq,NORTHEAST AGRICULTURAL UNIVERSITY,public,SRX18848519,JL322,Illumina NovaSeq 6000,PAIRED,Oligo-dT,TRANSCRIPTOMIC,ILLUMINA,SRS16216700,Glycine max,SRP412906,2023-10-10,PRJNA910939,2518.0,,300.0,6792.0,,seed524,[Plant],,China,Asia,[China:Heilongjiang],,,,"[fastq, sra, run.zq]","[s3, ncbi, gs]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.86948506414205
SAMN32153842,SRR22763632,RNA-Seq,NORTHEAST AGRICULTURAL UNIVERSITY,public,SRX18724083,JL217,Illumina NovaSeq 6000,PAIRED,Oligo-dT,TRANSCRIPTOMIC,ILLUMINA,SRS16267363,Glycine max,SRP412906,2023-10-10,PRJNA910939,2763.0,,300.0,7472.0,,seed433,[Plant],,China,Asia,[China:Heilongjiang],,,,"[sra, fastq, run.zq]","[gs, s3, ncbi]","[ncbi.public, gs.us-east1, s3.us-east-1]",1.0,0.869440036666374
SAMN09714951,SRR7608180,RNA-Seq,LAVAL UNIVERSITY,public,SRX4473084,7dpi- Si+,Illumina HiSeq 2000,SINGLE,PolyA,TRANSCRIPTOMIC,ILLUMINA,SRS3598458,Glycine max,SRP155375,2018-07-26,PRJNA412201,688.0,,101.0,1807.0,,D7-Si+ Rep 4,[Plant],,uncalculated,uncalculated,[NA],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.869439828522271
SAMN00769647,SRR394316,RNA-Seq,GEO,public,SRX113959,GSM856142,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS284691,Glycine max,SRP010105,2012-10-31,PRJNA156281,226.0,,76.0,324.0,,GSM856142: mRNA-seq of roots,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.869417580217316
SAMN15648386,SRR12328270,RNA-Seq,NANJING AGRICULTURAL UNIVERSITY,public,SRX8828888,a10-8,Illumina HiSeq 2000,SINGLE,other,GENOMIC,ILLUMINA,SRS7093169,Glycine max,SRP273644,2020-08-10,PRJNA648781,0.0,,61166.0,0.0,,P378,[Plant],,China,Asia,[China],,,,"[fastq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.869300512758508
SAMN21359804,SRR15899267,RNA-Seq,USDA,public,SRX12189783,G6_PI437462A_Root_Suf_Rep2,Illumina HiSeq 2500,SINGLE,unspecified,TRANSCRIPTOMIC,ILLUMINA,SRS10167631,Glycine max,SRP336396,2021-11-03,PRJNA706999,419.0,,128.0,2873.0,,GORS6-2,[Plant],,Russia,Europe,[Russia],,,,"[sra, run.zq]","[ncbi, s3, gs]","[s3.us-east-1, gs.us-east1, ncbi.public]",1.0,0.86928118090038
SAMN12040122,SRR9287738,RNA-Seq,USDA ARS,public,SRX6057413,Root_Inf_36H,Illumina HiSeq 2500,SINGLE,unspecified,TRANSCRIPTOMIC,ILLUMINA,SRS4957159,Glycine max,SRP201245,2020-07-12,PRJNA548564,1313.0,,84.0,6208.0,,RI36H,[Plant],,USA,North America,[USA:Iowa],,,,"[bam, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.869130744801132
SAMN01924555,SRR926397,RNA-Seq,USDA-ARS,public,SRX245306,MAG33,Illumina HiSeq 2000,PAIRED,unspecified,GENOMIC,ILLUMINA,SRS397916,Glycine max,SRP018831,2013-07-25,PRJNA190191,337.0,,164.0,244.0,,,,,,,,,,,"[bam, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.869102129828814
SAMN29395022,SRR19913216,RNA-Seq,NORTHEAST AGRICULTURAL UNIVERSITY,public,SRX15955942,HN44CKDPC1,HiSeq X Ten,PAIRED,RT-PCR,TRANSCRIPTOMIC,ILLUMINA,SRS13642467,Glycine max,SRP384452,2022-06-30,PRJNA854192,6189.0,,300.0,10298.0,,1,[Plant],,China,Asia,[China: Harbin],,,,"[sra, fastq, run.zq]","[s3, ncbi, gs]","[s3.us-east-1, ncbi.public, gs.us-east1]",1.0,0.869015538522225
SAMN03473672,SRR1965013,RNA-Seq,GEO,public,SRX986867,GSM1655675,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS901718,Glycine max,SRP057077,2016-04-10,PRJNA280872,743.0,,46.0,1069.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.869002433576783
SAMN32153571,SRR22721339,RNA-Seq,NORTHEAST AGRICULTURAL UNIVERSITY,public,SRX18682744,CX275,Illumina NovaSeq 6000,PAIRED,Oligo-dT,TRANSCRIPTOMIC,ILLUMINA,SRS16125932,Glycine max,SRP412906,2023-10-10,PRJNA910939,2195.0,,300.0,5896.0,,seed162,[Plant],,China,Asia,[China:Heilongjiang],,,,"[fastq, run.zq, sra]","[gs, s3, ncbi]","[ncbi.public, s3.us-east-1, gs.us-east1]",1.0,0.868949053180221
SAMN41726395,SRR29315718,RNA-Seq,NORTHEAST AGRICULTURAL UNIVERSITY,public,SRX24832503,HPHO_EM_2,Illumina HiSeq 2000,PAIRED,RT-PCR,TRANSCRIPTOMIC,ILLUMINA,SRS21544449,Glycine max,SRP512361,2024-06-07,PRJNA1121077,5498.0,,300.0,15510.0,,HPHO_EM_2,[Plant],[2018-08-01],China,Asia,[China:Harbin],,,,"[sra, run.zq, fastq]","[gs, s3, ncbi]","[ncbi.public, gs.us-east1, s3.us-east-1]",1.0,0.868925168725605
SAMN36760711,SRR25459709,RNA-Seq,SOYBEAN,public,SRX21192469,R89-5-3,Illumina HiSeq 4000,PAIRED,PCR,TRANSCRIPTOMIC,ILLUMINA,SRS18451496,Glycine max,SRP452188,2023-08-03,PRJNA999924,2177.0,,299.0,7257.0,,R89-5-3,[Plant],,China,Asia,[China:Changchun],,,,"[sra, fastq, run.zq]","[ncbi, gs, s3]","[s3.us-east-1, gs.us-east1, ncbi.public]",1.0,0.868923326474685
SAMN39205553,SRR27394160,RNA-Seq,MCGILL UNIVERSITY,public,SRX23070418,RNA_seq_sample_QS15544_RIL_289,Illumina NovaSeq 6000,PAIRED,PCR,TRANSCRIPTOMIC,ILLUMINA,SRS20030188,Glycine max,SRP480849,2024-01-15,PRJNA1035514,3490.0,,199.0,12102.0,,QS15544_paired_L91_R1,[Plant],[2019-11-19],Canada,North America,[Canada: St-Mathieu-de-Beloeil],,,,"[fastq, sra, run.zq]","[gs, ncbi, s3]","[s3.us-east-1, gs.us-east1, ncbi.public]",1.0,0.86886477903751
SAMN32989762,SRR23304800,RNA-Seq,HEILONGJIANG BAYI AGRICULTURE UNIVERCITY,public,SRX19247583,RD-2,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,ILLUMINA,SRS16650724,Glycine max,SRP420481,2023-02-01,PRJNA930177,2026.0,,298.0,6750.0,,26,[Plant],,China,Asia,[China: Heilongjiang],,,,"[sra, fastq, run.zq]","[ncbi, s3, gs]","[ncbi.public, s3.us-east-1, gs.us-east1]",1.0,0.868760900284964
SAMN05929793,SRR4434803,RNA-Seq,GEO,public,SRX2254037,GSM2356625,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS1753671,Glycine max,SRP091847,2019-10-21,PRJNA349267,3232.0,,250.0,6882.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.86869799913024
SAMN31521712,SRR22105732,RNA-Seq,"NORTHEAST INSTITUTE OF GEOGRAPHY AND AGGROECOLOGY, CHINESE ACADEMY OF SCIENCES",public,SRX18085653,ZD27-4-2,Illumina NovaSeq 6000,PAIRED,RANDOM,TRANSCRIPTOMIC,ILLUMINA,SRS15589604,Glycine max,SRP405443,2023-01-31,PRJNA895728,2793.0,,300.0,8834.0,,ZD27_4b,[Plant],,China,Asia,[China:Harbin],,,,"[run.zq, fastq, sra]","[ncbi, s3, gs]","[ncbi.public, s3.us-east-1, gs.us-east1]",1.0,0.868609870592883
SAMN03173247,SRR1646510,RNA-Seq,NANJING AGRICULTURAL UNIVERSITY,public,SRX755915,NN-T,Illumina HiSeq 2000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,SRS741143,Glycine max,SRP049638,2015-03-08,PRJNA266690,652.0,,90.0,1160.0,,NN-T,[Plant],,China,Asia,[China:Nanjing],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.86842252395376
SAMN37888478,SRR26487840,RNA-Seq,SHENYANG AGRICULTURAL UNIVERSITY,public,SRX22191668,A6_24h_LP3,Illumina NovaSeq 6000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,SRS19248355,Glycine max,SRP468046,2023-10-24,PRJNA1030137,1969.0,,300.0,6631.0,,A6_24h_LP3,[Plant],[2022-06-06],uncalculated,uncalculated,[missing],,,,"[sra, run.zq, fastq]","[ncbi, s3, gs]","[s3.us-east-1, gs.us-east1, ncbi.public]",1.0,0.868369837713486
SAMN23131700,SRR18115570,RNA-Seq,USDA,public,SRX14266096,HGgroup_HG_Root_Rep4_Bucket2,Illumina NovaSeq 6000,SINGLE,unspecified,TRANSCRIPTOMIC,ILLUMINA,SRS11064728,Glycine max,SRP345958,2022-12-01,PRJNA777456,37.0,,84.0,453.0,,HG_R_R4_B2_HG_P2_ln1,[Plant],[2021-01-30],USA,North America,[USA],,,,"[sra, bam, run.zq]","[gs, s3, ncbi]","[gs.us-east1, s3.us-east-1, ncbi.public]",1.0,0.868129037478628
SAMN23131696,SRR16938979,RNA-Seq,USDA,public,SRX13130864,HGgroup_HG_Leaf_Rep4_Bucket2,Illumina NovaSeq 6000,SINGLE,unspecified,TRANSCRIPTOMIC,ILLUMINA,SRS11064724,Glycine max,SRP345958,2022-12-01,PRJNA777456,502.0,,100.0,1806.0,,HG_L_R4_B2_HG_P2_ln2,[Plant],[2021-01-30],USA,North America,[USA],,,,"[fastq, run.zq, sra]","[ncbi, gs, s3]","[s3.us-east-1, ncbi.public, gs.us-east1]",1.0,0.868015521688723
SAMN27611600,SRR18788999,RNA-Seq,ZHONGKAI UNIVERSITY OF AGRICULTURE AND ENGINEERING,public,SRX14888356,HD-S-3,Illumina NovaSeq 6000,PAIRED,Oligo-dT,TRANSCRIPTOMIC,ILLUMINA,SRS12641752,Glycine max,SRP370791,2022-04-18,PRJNA827520,2286.0,,300.0,7540.0,,HD-S-3,[Plant],,China,Asia,[China:Guangdong],,,,"[fastq, sra, run.zq]","[gs, ncbi, s3]","[ncbi.public, gs.us-east1, s3.us-east-1]",1.0,0.867920870460222
SAMN09716387,SRR7592845,RNA-Seq,GEO,public,SRX4457841,GSM3306053,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS3595382,Glycine max,SRP155262,2021-07-26,PRJNA482870,534.0,,100.0,1730.0,,,,,,,,,,,"[run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.867879874120698
SAMN09714957,SRR7608164,RNA-Seq,LAVAL UNIVERSITY,public,SRX4473100,14dpi- Si+,Illumina HiSeq 2000,SINGLE,PolyA,TRANSCRIPTOMIC,ILLUMINA,SRS3598457,Glycine max,SRP155375,2018-07-26,PRJNA412201,766.0,,101.0,2001.0,,D14-Si+ Rep 4,[Plant],,uncalculated,uncalculated,[NA],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.86784204596373
SAMN31100627,SRR21764351,RNA-Seq,SHENYANG AGRICULTURAL UNIVERSITY,public,SRX17759474,Race1-5dpi-1,Illumina NovaSeq 6000,PAIRED,RANDOM,TRANSCRIPTOMIC,ILLUMINA,SRS15286845,Glycine max,SRP400385,2023-06-30,PRJNA885623,2612.0,,300.0,8514.0,,Race1-5dpi-1,[Plant],,China,Asia,[China: Shenyang],,,,"[fastq, sra, run.zq]","[gs, s3, ncbi]","[s3.us-east-1, gs.us-east1, ncbi.public]",1.0,0.867748367983416
SAMN08461549,SRR6796837,RNA-Seq,"INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY , CHINESE ACADEMY OF SCIENCE",public,SRX3755634,ACC-176,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,SRS3011449,Glycine max,SRP133798,2018-08-21,PRJNA432760,2311.0,,250.0,7049.0,,ACC-176_RNAseq,[Plant],,Canada,North America,[Canada:Ontario],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.867594499536694
SAMN13520101,SRR10640834,RNA-Seq,GEO,public,SRX7319893,GSM4212415,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS5800401,Glycine max,SRP235579,2020-08-26,PRJNA594515,2710.0,,302.0,9563.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.867403713620406
SAMN05755964,SRR4209749,RNA-Seq,GEO,public,SRX2152835,GSM2306787,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS1683482,Glycine max,SRP087657,2017-06-09,PRJNA342355,706.0,,125.0,1642.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.867343255487298
SAMN05580235,SRR4036084,RNA-Seq,GEO,public,SRX2027242,GSM2282123,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS1621579,Glycine max,SRP082228,2017-07-20,PRJNA339152,1809.0,,202.0,2861.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.86729543645827
SAMN31018538,SRR21709650,RNA-Seq,SHENYANG AGRICULTURAL UNIVERSITY,public,SRX17707104,4S-3,Illumina NovaSeq 6000,PAIRED,Oligo-dT,TRANSCRIPTOMIC,ILLUMINA,SRS15237642,Glycine max,SRP399612,2023-06-30,PRJNA884304,2298.0,,300.0,7223.0,,4S-3,[Plant],,China,Asia,[China: Shenyang],,,,"[sra, run.zq, fastq]","[gs, s3, ncbi]","[ncbi.public, s3.us-east-1, gs.us-east1]",1.0,0.867101677555874
SAMN41726382,SRR29315732,RNA-Seq,NORTHEAST AGRICULTURAL UNIVERSITY,public,SRX24832489,HPLO_DS_1,Illumina HiSeq 2000,PAIRED,RT-PCR,TRANSCRIPTOMIC,ILLUMINA,SRS21544435,Glycine max,SRP512361,2024-06-07,PRJNA1121077,5094.0,,300.0,13136.0,,HPLO_DS_1,[Plant],[2018-09-01],China,Asia,[China:Harbin],,,,"[run.zq, sra, fastq]","[ncbi, gs, s3]","[ncbi.public, gs.us-east1, s3.us-east-1]",1.0,0.867014120907857
