biosample,control,stress,drought,bacteria,inoculated,flood,deficit,infest,pathogen,acid,fungal,sporus
SAMN10169602,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10169603,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10222100,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10222101,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10222102,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10222103,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10222104,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10476539,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10476540,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10476541,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10476542,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10476543,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10476544,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10502532,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10502533,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10581428,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10581529,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10581530,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10581532,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10581533,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10581534,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10581535,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10581536,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10581537,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10581538,{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10588589,{},"{'attributes': '[{k=assemblyname, v=assembly}, {k=bases, v=4151724538}, {k=bytes, v=1779751422}, {k=run_file_create_date, v=2018-12-14T14:57:00.000Z}, {k=biomaterial_provider_sam, v=USDA-NPGS}, {k=cultivar_sam, v=PI 587982 A / Huang mao bai shui dou replicate 1}, {k=dev_stage_sam, v=mature seed}, {k=genotype_sam_ss_dpl92, v=PI 587982 A / Huang mao bai shui dou}, {k=tissue_sam_ss_dpl145, v=PI 587982 A_CoMO 2012_mature_rep_1}, {k=treatment_sam_ss_dpl55, v=produced in non-heat stressed field in Columbia, MO}, {k=primary_search, v=10588589}, {k=primary_search, v=22_PI 587982 A_CoMO 2012_mature_rep_1}, {k=primary_search, v=22accepted_hits.bam}, {k=primary_search, v=509794}, {k=primary_search, v=PRJNA509794}, {k=primary_search, v=SAMN10588589}, {k=primary_search, v=SRP173154}, {k=primary_search, v=SRR8305949}, {k=primary_search, v=SRS4134036}, {k=primary_search, v=SRX5120444}, {k=primary_search, v=bp0}]', 'jattr': ""{'assemblyname': 'assembly', 'bases': '4151724538', 'bytes': '1779751422', 'run_file_create_date': '2018-12-14T14:57:00.000Z', 'biomaterial_provider_sam': 'USDA-NPGS', 'cultivar_sam': 'PI 587982 A / Huang mao bai shui dou replicate 1', 'dev_stage_sam': 'mature seed', 'genotype_sam_ss_dpl92': 'PI 587982 A / Huang mao bai shui dou', 'tissue_sam_ss_dpl145': 'PI 587982 A_CoMO 2012_mature_rep_1', 'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'primary_search': ['10588589', '22_PI 587982 A_CoMO 2012_mature_rep_1', '22accepted_hits.bam', '509794', 'PRJNA509794', 'SAMN10588589', 'SRP173154', 'SRR8305949', 'SRS4134036', 'SRX5120444', 'bp0']}"", 'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'Attributes': ""{'cultivar': 'PI 587982 A / Huang mao bai shui dou replicate 1', 'tissue': 'PI 587982 A_CoMO 2012_mature_rep_1', 'genotype': 'PI 587982 A / Huang mao bai shui dou', 'treatment': 'produced in non-heat stressed field in Columbia, MO'}""}",{},{},{},{},{},{},{},{},{},{}
SAMN10588590,{},"{'attributes': '[{k=assemblyname, v=assembly}, {k=bases, v=2226587539}, {k=bytes, v=1081058680}, {k=run_file_create_date, v=2018-12-14T14:50:00.000Z}, {k=biomaterial_provider_sam, v=USDA-NPGS}, {k=cultivar_sam, v=PI 587982 A / Huang mao bai shui dou replicate 2}, {k=dev_stage_sam, v=mature seed}, {k=genotype_sam_ss_dpl92, v=PI 587982 A / Huang mao bai shui dou}, {k=tissue_sam_ss_dpl145, v=PI 587982 A_CoMO 2012_mature_rep_2}, {k=treatment_sam_ss_dpl55, v=produced in non-heat stressed field in Columbia, MO}, {k=primary_search, v=10588590}, {k=primary_search, v=23_PI 587982 A_CoMO 2012_mature_rep_2}, {k=primary_search, v=23accepted_hits.bam}, {k=primary_search, v=509794}, {k=primary_search, v=PRJNA509794}, {k=primary_search, v=SAMN10588590}, {k=primary_search, v=SRP173154}, {k=primary_search, v=SRR8305950}, {k=primary_search, v=SRS4134037}, {k=primary_search, v=SRX5120443}, {k=primary_search, v=bp0}]', 'jattr': ""{'assemblyname': 'assembly', 'bases': '2226587539', 'bytes': '1081058680', 'run_file_create_date': '2018-12-14T14:50:00.000Z', 'biomaterial_provider_sam': 'USDA-NPGS', 'cultivar_sam': 'PI 587982 A / Huang mao bai shui dou replicate 2', 'dev_stage_sam': 'mature seed', 'genotype_sam_ss_dpl92': 'PI 587982 A / Huang mao bai shui dou', 'tissue_sam_ss_dpl145': 'PI 587982 A_CoMO 2012_mature_rep_2', 'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'primary_search': ['10588590', '23_PI 587982 A_CoMO 2012_mature_rep_2', '23accepted_hits.bam', '509794', 'PRJNA509794', 'SAMN10588590', 'SRP173154', 'SRR8305950', 'SRS4134037', 'SRX5120443', 'bp0']}"", 'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'Attributes': ""{'cultivar': 'PI 587982 A / Huang mao bai shui dou replicate 2', 'tissue': 'PI 587982 A_CoMO 2012_mature_rep_2', 'genotype': 'PI 587982 A / Huang mao bai shui dou', 'treatment': 'produced in non-heat stressed field in Columbia, MO'}""}",{},{},{},{},{},{},{},{},{},{}
SAMN10588591,{},"{'attributes': '[{k=assemblyname, v=assembly}, {k=bases, v=2213544145}, {k=bytes, v=1067513409}, {k=run_file_create_date, v=2018-12-14T14:50:00.000Z}, {k=biomaterial_provider_sam, v=USDA-NPGS}, {k=cultivar_sam, v=PI 587982 A / Huang mao bai shui dou replicate 3}, {k=dev_stage_sam, v=mature seed}, {k=genotype_sam_ss_dpl92, v=PI 587982 A / Huang mao bai shui dou}, {k=tissue_sam_ss_dpl145, v=PI 587982 A_CoMO 2012_mature_rep_3}, {k=treatment_sam_ss_dpl55, v=produced in non-heat stressed field in Columbia, MO}, {k=primary_search, v=10588591}, {k=primary_search, v=24_PI 587982 A_CoMO 2012_mature_rep_3}, {k=primary_search, v=24accepted_hits.bam}, {k=primary_search, v=509794}, {k=primary_search, v=PRJNA509794}, {k=primary_search, v=SAMN10588591}, {k=primary_search, v=SRP173154}, {k=primary_search, v=SRR8305947}, {k=primary_search, v=SRS4134039}, {k=primary_search, v=SRX5120446}, {k=primary_search, v=bp0}]', 'jattr': ""{'assemblyname': 'assembly', 'bases': '2213544145', 'bytes': '1067513409', 'run_file_create_date': '2018-12-14T14:50:00.000Z', 'biomaterial_provider_sam': 'USDA-NPGS', 'cultivar_sam': 'PI 587982 A / Huang mao bai shui dou replicate 3', 'dev_stage_sam': 'mature seed', 'genotype_sam_ss_dpl92': 'PI 587982 A / Huang mao bai shui dou', 'tissue_sam_ss_dpl145': 'PI 587982 A_CoMO 2012_mature_rep_3', 'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'primary_search': ['10588591', '24_PI 587982 A_CoMO 2012_mature_rep_3', '24accepted_hits.bam', '509794', 'PRJNA509794', 'SAMN10588591', 'SRP173154', 'SRR8305947', 'SRS4134039', 'SRX5120446', 'bp0']}"", 'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'Attributes': ""{'cultivar': 'PI 587982 A / Huang mao bai shui dou replicate 3', 'tissue': 'PI 587982 A_CoMO 2012_mature_rep_3', 'genotype': 'PI 587982 A / Huang mao bai shui dou', 'treatment': 'produced in non-heat stressed field in Columbia, MO'}""}",{},{},{},{},{},{},{},{},{},{}
SAMN10588592,{},"{'attributes': '[{k=assemblyname, v=assembly}, {k=bases, v=1465442871}, {k=bytes, v=867559081}, {k=run_file_create_date, v=2018-12-14T14:47:00.000Z}, {k=biomaterial_provider_sam, v=USDA-NPGS}, {k=cultivar_sam, v=PI 636696 / S99-11986 replicate 1}, {k=dev_stage_sam, v=mature seed}, {k=genotype_sam_ss_dpl92, v=PI 636696 / S99-11986}, {k=tissue_sam_ss_dpl145, v=S99-11986_CoMO 2012_mature_rep_1}, {k=treatment_sam_ss_dpl55, v=produced in non-heat stressed field in Columbia, MO}, {k=primary_search, v=10588592}, {k=primary_search, v=16_S99-11986_CoMO 2012_mature_rep_1}, {k=primary_search, v=16accepted_hits.bam}, {k=primary_search, v=509794}, {k=primary_search, v=PRJNA509794}, {k=primary_search, v=SAMN10588592}, {k=primary_search, v=SRP173154}, {k=primary_search, v=SRR8305948}, {k=primary_search, v=SRS4134038}, {k=primary_search, v=SRX5120445}, {k=primary_search, v=bp0}]', 'jattr': ""{'assemblyname': 'assembly', 'bases': '1465442871', 'bytes': '867559081', 'run_file_create_date': '2018-12-14T14:47:00.000Z', 'biomaterial_provider_sam': 'USDA-NPGS', 'cultivar_sam': 'PI 636696 / S99-11986 replicate 1', 'dev_stage_sam': 'mature seed', 'genotype_sam_ss_dpl92': 'PI 636696 / S99-11986', 'tissue_sam_ss_dpl145': 'S99-11986_CoMO 2012_mature_rep_1', 'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'primary_search': ['10588592', '16_S99-11986_CoMO 2012_mature_rep_1', '16accepted_hits.bam', '509794', 'PRJNA509794', 'SAMN10588592', 'SRP173154', 'SRR8305948', 'SRS4134038', 'SRX5120445', 'bp0']}"", 'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'Attributes': ""{'cultivar': 'PI 636696 / S99-11986 replicate 1', 'tissue': 'S99-11986_CoMO 2012_mature_rep_1', 'genotype': 'PI 636696 / S99-11986', 'treatment': 'produced in non-heat stressed field in Columbia, MO'}""}",{},{},{},{},{},{},{},{},{},{}
SAMN10588593,{},"{'attributes': '[{k=assemblyname, v=assembly}, {k=bases, v=1725174990}, {k=bytes, v=1081350675}, {k=run_file_create_date, v=2018-12-14T14:50:00.000Z}, {k=biomaterial_provider_sam, v=USDA-NPGS}, {k=cultivar_sam, v=PI 636696 / S99-11986 replicate 2}, {k=dev_stage_sam, v=mature seed}, {k=genotype_sam_ss_dpl92, v=PI 636696 / S99-11986}, {k=tissue_sam_ss_dpl145, v=S99-11986_CoMO 2012_mature_rep_2}, {k=treatment_sam_ss_dpl55, v=produced in non-heat stressed field in Columbia, MO}, {k=primary_search, v=10588593}, {k=primary_search, v=17_S99-11986_CoMO 2012_mature_rep_2}, {k=primary_search, v=17accepted_hits.bam}, {k=primary_search, v=509794}, {k=primary_search, v=PRJNA509794}, {k=primary_search, v=SAMN10588593}, {k=primary_search, v=SRP173154}, {k=primary_search, v=SRR8305962}, {k=primary_search, v=SRS4134023}, {k=primary_search, v=SRX5120431}, {k=primary_search, v=bp0}]', 'jattr': ""{'assemblyname': 'assembly', 'bases': '1725174990', 'bytes': '1081350675', 'run_file_create_date': '2018-12-14T14:50:00.000Z', 'biomaterial_provider_sam': 'USDA-NPGS', 'cultivar_sam': 'PI 636696 / S99-11986 replicate 2', 'dev_stage_sam': 'mature seed', 'genotype_sam_ss_dpl92': 'PI 636696 / S99-11986', 'tissue_sam_ss_dpl145': 'S99-11986_CoMO 2012_mature_rep_2', 'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'primary_search': ['10588593', '17_S99-11986_CoMO 2012_mature_rep_2', '17accepted_hits.bam', '509794', 'PRJNA509794', 'SAMN10588593', 'SRP173154', 'SRR8305962', 'SRS4134023', 'SRX5120431', 'bp0']}"", 'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'Attributes': ""{'cultivar': 'PI 636696 / S99-11986 replicate 2', 'tissue': 'S99-11986_CoMO 2012_mature_rep_2', 'genotype': 'PI 636696 / S99-11986', 'treatment': 'produced in non-heat stressed field in Columbia, MO'}""}",{},{},{},{},{},{},{},{},{},{}
SAMN10588594,{},"{'attributes': '[{k=assemblyname, v=assembly}, {k=bases, v=1663628674}, {k=bytes, v=912693448}, {k=run_file_create_date, v=2018-12-14T14:49:00.000Z}, {k=biomaterial_provider_sam, v=USDA-NPGS}, {k=cultivar_sam, v=PI 636696 / S99-11986 replicate 3}, {k=dev_stage_sam, v=mature seed}, {k=genotype_sam_ss_dpl92, v=PI 636696 / S99-11986}, {k=tissue_sam_ss_dpl145, v=S99-11986_CoMO 2012_mature_rep_3}, {k=treatment_sam_ss_dpl55, v=produced in non-heat stressed field in Columbia, MO}, {k=primary_search, v=10588594}, {k=primary_search, v=18_S99-11986_CoMO 2012_mature_rep_3}, {k=primary_search, v=18accepted_hits.bam}, {k=primary_search, v=509794}, {k=primary_search, v=PRJNA509794}, {k=primary_search, v=SAMN10588594}, {k=primary_search, v=SRP173154}, {k=primary_search, v=SRR8305963}, {k=primary_search, v=SRS4134025}, {k=primary_search, v=SRX5120430}, {k=primary_search, v=bp0}]', 'jattr': ""{'assemblyname': 'assembly', 'bases': '1663628674', 'bytes': '912693448', 'run_file_create_date': '2018-12-14T14:49:00.000Z', 'biomaterial_provider_sam': 'USDA-NPGS', 'cultivar_sam': 'PI 636696 / S99-11986 replicate 3', 'dev_stage_sam': 'mature seed', 'genotype_sam_ss_dpl92': 'PI 636696 / S99-11986', 'tissue_sam_ss_dpl145': 'S99-11986_CoMO 2012_mature_rep_3', 'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'primary_search': ['10588594', '18_S99-11986_CoMO 2012_mature_rep_3', '18accepted_hits.bam', '509794', 'PRJNA509794', 'SAMN10588594', 'SRP173154', 'SRR8305963', 'SRS4134025', 'SRX5120430', 'bp0']}"", 'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'Attributes': ""{'cultivar': 'PI 636696 / S99-11986 replicate 3', 'tissue': 'S99-11986_CoMO 2012_mature_rep_3', 'genotype': 'PI 636696 / S99-11986', 'treatment': 'produced in non-heat stressed field in Columbia, MO'}""}",{},{},{},{},{},{},{},{},{},{}
SAMN10588595,{},"{'attributes': '[{k=assemblyname, v=assembly}, {k=bases, v=1803809358}, {k=bytes, v=924229168}, {k=run_file_create_date, v=2018-12-14T14:49:00.000Z}, {k=biomaterial_provider_sam, v=USDA-NPGS}, {k=cultivar_sam, v=PI 587982 A / Huang mao bai shui dou replicate 1}, {k=dev_stage_sam, v=6hr imbibed seed}, {k=genotype_sam_ss_dpl92, v=PI 587982 A / Huang mao bai shui dou}, {k=tissue_sam_ss_dpl145, v=PI 587982 A_CoMO 2012_Imbibed_rep_1}, {k=treatment_sam_ss_dpl55, v=produced in non-heat stressed field in Columbia, MO}, {k=primary_search, v=10588595}, {k=primary_search, v=46_PI 587982 A_CoMO 2012_Imbibed_rep_1}, {k=primary_search, v=46accepted_hits.bam}, {k=primary_search, v=509794}, {k=primary_search, v=PRJNA509794}, {k=primary_search, v=SAMN10588595}, {k=primary_search, v=SRP173154}, {k=primary_search, v=SRR8305951}, {k=primary_search, v=SRS4134035}, {k=primary_search, v=SRX5120442}, {k=primary_search, v=bp0}]', 'jattr': ""{'assemblyname': 'assembly', 'bases': '1803809358', 'bytes': '924229168', 'run_file_create_date': '2018-12-14T14:49:00.000Z', 'biomaterial_provider_sam': 'USDA-NPGS', 'cultivar_sam': 'PI 587982 A / Huang mao bai shui dou replicate 1', 'dev_stage_sam': '6hr imbibed seed', 'genotype_sam_ss_dpl92': 'PI 587982 A / Huang mao bai shui dou', 'tissue_sam_ss_dpl145': 'PI 587982 A_CoMO 2012_Imbibed_rep_1', 'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'primary_search': ['10588595', '46_PI 587982 A_CoMO 2012_Imbibed_rep_1', '46accepted_hits.bam', '509794', 'PRJNA509794', 'SAMN10588595', 'SRP173154', 'SRR8305951', 'SRS4134035', 'SRX5120442', 'bp0']}"", 'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'Attributes': ""{'cultivar': 'PI 587982 A / Huang mao bai shui dou replicate 1', 'tissue': 'PI 587982 A_CoMO 2012_Imbibed_rep_1', 'genotype': 'PI 587982 A / Huang mao bai shui dou', 'treatment': 'produced in non-heat stressed field in Columbia, MO'}""}",{},{},{},{},{},{},{},{},{},{}
SAMN10588596,{},"{'attributes': '[{k=assemblyname, v=assembly}, {k=bases, v=1640148930}, {k=bytes, v=849563245}, {k=run_file_create_date, v=2018-12-14T14:48:00.000Z}, {k=biomaterial_provider_sam, v=USDA-NPGS}, {k=cultivar_sam, v=PI 587982 A / Huang mao bai shui dou replicate 2}, {k=dev_stage_sam, v=6hr imbibed seed}, {k=genotype_sam_ss_dpl92, v=PI 587982 A / Huang mao bai shui dou}, {k=tissue_sam_ss_dpl145, v=PI 587982 A_CoMO 2012_Imbibed_rep_2}, {k=treatment_sam_ss_dpl55, v=produced in non-heat stressed field in Columbia, MO}, {k=primary_search, v=10588596}, {k=primary_search, v=47_PI 587982 A_CoMO 2012_Imbibed_rep_2}, {k=primary_search, v=47accepted_hits.bam}, {k=primary_search, v=509794}, {k=primary_search, v=PRJNA509794}, {k=primary_search, v=SAMN10588596}, {k=primary_search, v=SRP173154}, {k=primary_search, v=SRR8305961}, {k=primary_search, v=SRS4134024}, {k=primary_search, v=SRX5120432}, {k=primary_search, v=bp0}]', 'jattr': ""{'assemblyname': 'assembly', 'bases': '1640148930', 'bytes': '849563245', 'run_file_create_date': '2018-12-14T14:48:00.000Z', 'biomaterial_provider_sam': 'USDA-NPGS', 'cultivar_sam': 'PI 587982 A / Huang mao bai shui dou replicate 2', 'dev_stage_sam': '6hr imbibed seed', 'genotype_sam_ss_dpl92': 'PI 587982 A / Huang mao bai shui dou', 'tissue_sam_ss_dpl145': 'PI 587982 A_CoMO 2012_Imbibed_rep_2', 'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'primary_search': ['10588596', '47_PI 587982 A_CoMO 2012_Imbibed_rep_2', '47accepted_hits.bam', '509794', 'PRJNA509794', 'SAMN10588596', 'SRP173154', 'SRR8305961', 'SRS4134024', 'SRX5120432', 'bp0']}"", 'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'Attributes': ""{'cultivar': 'PI 587982 A / Huang mao bai shui dou replicate 2', 'tissue': 'PI 587982 A_CoMO 2012_Imbibed_rep_2', 'genotype': 'PI 587982 A / Huang mao bai shui dou', 'treatment': 'produced in non-heat stressed field in Columbia, MO'}""}",{},{},{},{},{},{},{},{},{},{}
SAMN10588597,{},"{'attributes': '[{k=assemblyname, v=assembly}, {k=bases, v=1543463568}, {k=bytes, v=856983038}, {k=run_file_create_date, v=2018-12-14T14:48:00.000Z}, {k=biomaterial_provider_sam, v=USDA-NPGS}, {k=cultivar_sam, v=PI 587982 A / Huang mao bai shui dou replicate 3}, {k=dev_stage_sam, v=6hr imbibed seed}, {k=genotype_sam_ss_dpl92, v=PI 587982 A / Huang mao bai shui dou}, {k=tissue_sam_ss_dpl145, v=PI 587982 A_CoMO 2012_Imbibed_rep_3}, {k=treatment_sam_ss_dpl55, v=produced in non-heat stressed field in Columbia, MO}, {k=primary_search, v=10588597}, {k=primary_search, v=48_PI 587982 A_CoMO 2012_Imbibed_rep_3}, {k=primary_search, v=48accepted_hits.bam}, {k=primary_search, v=509794}, {k=primary_search, v=PRJNA509794}, {k=primary_search, v=SAMN10588597}, {k=primary_search, v=SRP173154}, {k=primary_search, v=SRR8305945}, {k=primary_search, v=SRS4134040}, {k=primary_search, v=SRX5120448}, {k=primary_search, v=bp0}]', 'jattr': ""{'assemblyname': 'assembly', 'bases': '1543463568', 'bytes': '856983038', 'run_file_create_date': '2018-12-14T14:48:00.000Z', 'biomaterial_provider_sam': 'USDA-NPGS', 'cultivar_sam': 'PI 587982 A / Huang mao bai shui dou replicate 3', 'dev_stage_sam': '6hr imbibed seed', 'genotype_sam_ss_dpl92': 'PI 587982 A / Huang mao bai shui dou', 'tissue_sam_ss_dpl145': 'PI 587982 A_CoMO 2012_Imbibed_rep_3', 'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'primary_search': ['10588597', '48_PI 587982 A_CoMO 2012_Imbibed_rep_3', '48accepted_hits.bam', '509794', 'PRJNA509794', 'SAMN10588597', 'SRP173154', 'SRR8305945', 'SRS4134040', 'SRX5120448', 'bp0']}"", 'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'Attributes': ""{'cultivar': 'PI 587982 A / Huang mao bai shui dou replicate 3', 'tissue': 'PI 587982 A_CoMO 2012_Imbibed_rep_3', 'genotype': 'PI 587982 A / Huang mao bai shui dou', 'treatment': 'produced in non-heat stressed field in Columbia, MO'}""}",{},{},{},{},{},{},{},{},{},{}
SAMN10588598,{},"{'attributes': '[{k=assemblyname, v=assembly}, {k=bases, v=1523632438}, {k=bytes, v=809909060}, {k=run_file_create_date, v=2018-12-14T14:47:00.000Z}, {k=biomaterial_provider_sam, v=USDA-NPGS}, {k=cultivar_sam, v=PI 636696 / S99-11986 replicate 1}, {k=dev_stage_sam, v=6hr imbibed seed}, {k=genotype_sam_ss_dpl92, v=PI 636696 / S99-11986}, {k=tissue_sam_ss_dpl145, v=S99-11986_CoMO 2012_Imbibed_rep_1}, {k=treatment_sam_ss_dpl55, v=produced in non-heat stressed field in Columbia, MO}, {k=primary_search, v=10588598}, {k=primary_search, v=40_S99-11986_CoMO 2012_Imbibed_rep_1}, {k=primary_search, v=40accepted_hits.bam}, {k=primary_search, v=509794}, {k=primary_search, v=PRJNA509794}, {k=primary_search, v=SAMN10588598}, {k=primary_search, v=SRP173154}, {k=primary_search, v=SRR8305946}, {k=primary_search, v=SRS4134041}, {k=primary_search, v=SRX5120447}, {k=primary_search, v=bp0}]', 'jattr': ""{'assemblyname': 'assembly', 'bases': '1523632438', 'bytes': '809909060', 'run_file_create_date': '2018-12-14T14:47:00.000Z', 'biomaterial_provider_sam': 'USDA-NPGS', 'cultivar_sam': 'PI 636696 / S99-11986 replicate 1', 'dev_stage_sam': '6hr imbibed seed', 'genotype_sam_ss_dpl92': 'PI 636696 / S99-11986', 'tissue_sam_ss_dpl145': 'S99-11986_CoMO 2012_Imbibed_rep_1', 'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'primary_search': ['10588598', '40_S99-11986_CoMO 2012_Imbibed_rep_1', '40accepted_hits.bam', '509794', 'PRJNA509794', 'SAMN10588598', 'SRP173154', 'SRR8305946', 'SRS4134041', 'SRX5120447', 'bp0']}"", 'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'Attributes': ""{'cultivar': 'PI 636696 / S99-11986 replicate 1', 'tissue': 'S99-11986_CoMO 2012_Imbibed_rep_1', 'genotype': 'PI 636696 / S99-11986', 'treatment': 'produced in non-heat stressed field in Columbia, MO'}""}",{},{},{},{},{},{},{},{},{},{}
SAMN10588599,{},"{'attributes': '[{k=assemblyname, v=assembly}, {k=bases, v=1333515042}, {k=bytes, v=802258857}, {k=run_file_create_date, v=2018-12-14T14:48:00.000Z}, {k=biomaterial_provider_sam, v=USDA-NPGS}, {k=cultivar_sam, v=PI 636696 / S99-11986 replicate 2}, {k=dev_stage_sam, v=6hr imbibed seed}, {k=genotype_sam_ss_dpl92, v=PI 636696 / S99-11986}, {k=tissue_sam_ss_dpl145, v=S99-11986_CoMO 2012_Imbibed_rep_2}, {k=treatment_sam_ss_dpl55, v=produced in non-heat stressed field in Columbia, MO}, {k=primary_search, v=10588599}, {k=primary_search, v=41_S99-11986_CoMO 2012_Imbibed_rep_2}, {k=primary_search, v=41accepted_hits.bam}, {k=primary_search, v=509794}, {k=primary_search, v=PRJNA509794}, {k=primary_search, v=SAMN10588599}, {k=primary_search, v=SRP173154}, {k=primary_search, v=SRR8305956}, {k=primary_search, v=SRS4134030}, {k=primary_search, v=SRX5120437}, {k=primary_search, v=bp0}]', 'jattr': ""{'assemblyname': 'assembly', 'bases': '1333515042', 'bytes': '802258857', 'run_file_create_date': '2018-12-14T14:48:00.000Z', 'biomaterial_provider_sam': 'USDA-NPGS', 'cultivar_sam': 'PI 636696 / S99-11986 replicate 2', 'dev_stage_sam': '6hr imbibed seed', 'genotype_sam_ss_dpl92': 'PI 636696 / S99-11986', 'tissue_sam_ss_dpl145': 'S99-11986_CoMO 2012_Imbibed_rep_2', 'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'primary_search': ['10588599', '41_S99-11986_CoMO 2012_Imbibed_rep_2', '41accepted_hits.bam', '509794', 'PRJNA509794', 'SAMN10588599', 'SRP173154', 'SRR8305956', 'SRS4134030', 'SRX5120437', 'bp0']}"", 'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'Attributes': ""{'cultivar': 'PI 636696 / S99-11986 replicate 2', 'tissue': 'S99-11986_CoMO 2012_Imbibed_rep_2', 'genotype': 'PI 636696 / S99-11986', 'treatment': 'produced in non-heat stressed field in Columbia, MO'}""}",{},{},{},{},{},{},{},{},{},{}
