,SRR27394123,SAMN39205601,SRX23070455,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L71_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L71_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394124,SAMN39205295,SRX23070454,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L123_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L123_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394125,SAMN39205599,SRX23070453,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L62_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L62_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394126,SAMN39205597,SRX23070452,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L96_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L96_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394127,SAMN39205595,SRX23070451,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L87_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L87_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394128,SAMN39205419,SRX23070450,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L198_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L198_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394129,SAMN39205417,SRX23070449,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L197_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L197_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394130,SAMN39205415,SRX23070448,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L196_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L196_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394131,SAMN39205413,SRX23070447,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L195_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L195_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394132,SAMN39205411,SRX23070446,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L194_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L194_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394133,SAMN39205409,SRX23070445,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L193_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L193_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394134,SAMN39205407,SRX23070444,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L192_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L192_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394135,SAMN39205405,SRX23070443,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L191_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L191_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394136,SAMN39205403,SRX23070442,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L190_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L190_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394137,SAMN39205401,SRX23070441,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L189_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L189_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394138,SAMN39205275,SRX23070440,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L111_R1_OT3,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L111_R1_OT3,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394139,SAMN39205399,SRX23070439,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L188_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L188_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394140,SAMN39205397,SRX23070438,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L186_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L186_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394141,SAMN39205395,SRX23070437,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L185_R1_OT5,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L185_R1_OT5,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394142,SAMN39205393,SRX23070436,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L184_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L184_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394143,SAMN39205391,SRX23070435,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L183_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L183_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394144,SAMN39205359,SRX23070434,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L163_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L163_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394145,SAMN39205357,SRX23070433,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L158_R1_OT4,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L158_R1_OT4,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394146,SAMN39205355,SRX23070432,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L157_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L157_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394147,SAMN39205353,SRX23070431,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L156_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L156_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394148,SAMN39205351,SRX23070430,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L155_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L155_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394149,SAMN39205347,SRX23070429,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L150_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L150_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394150,SAMN39205349,SRX23070428,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L154_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L154_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394151,SAMN39205345,SRX23070427,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L149_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L149_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394152,SAMN39205343,SRX23070426,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L148_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L148_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394153,SAMN39205563,SRX23070425,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L84_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L84_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394154,SAMN39205561,SRX23070424,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L75_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L75_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394155,SAMN39205291,SRX23070423,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L120_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L120_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394157,SAMN39205559,SRX23070421,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L66_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L66_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394158,SAMN39205557,SRX23070420,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L57_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L57_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394159,SAMN39205555,SRX23070419,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L100_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L100_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394160,SAMN39205553,SRX23070418,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L91_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L91_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394161,SAMN39205551,SRX23070417,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L83_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L83_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394162,SAMN39205547,SRX23070416,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L65_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L65_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394163,SAMN39205549,SRX23070415,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L74_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L74_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394164,SAMN39205545,SRX23070414,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L56_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L56_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394165,SAMN39205543,SRX23070413,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L99_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L99_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394166,SAMN39205541,SRX23070412,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L90_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L90_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394167,SAMN39205289,SRX23070411,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L119_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L119_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394168,SAMN39205539,SRX23070410,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L82_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L82_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394169,SAMN39205579,SRX23070491,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L59_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L59_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394170,SAMN39205537,SRX23070409,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L73_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L73_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394171,SAMN39205476,SRX23070407,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L15_R2_9004-1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L15_R2_9004-1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394172,SAMN39205475,SRX23070406,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L15_R1_9004-1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L15_R1_9004-1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394173,SAMN39205473,SRX23070405,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L6_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L6_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394174,SAMN39205468,SRX23070404,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L25_R2,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L25_R2,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394175,SAMN39205471,SRX23070403,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L49_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L49_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394176,SAMN39205467,SRX23070401,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L25_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L25_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394177,SAMN39205465,SRX23070400,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L5_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L5_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394178,SAMN39205463,SRX23070399,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L48_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L48_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394179,SAMN39205461,SRX23070398,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L40_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L40_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394180,SAMN39205281,SRX23070397,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L115_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L115_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394182,SAMN39205459,SRX23070395,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L32_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L32_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394183,SAMN39205457,SRX23070394,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L13_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L13_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394184,SAMN39205455,SRX23070393,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L4_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L4_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394185,SAMN39205453,SRX23070392,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L47_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L47_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394186,SAMN39205451,SRX23070391,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L39_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L39_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394187,SAMN39205387,SRX23070390,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L180_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L180_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394188,SAMN39205449,SRX23070389,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L31_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L31_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394189,SAMN39205389,SRX23070388,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L182_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L182_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394190,SAMN39205385,SRX23070387,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L179_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L179_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394191,SAMN39205383,SRX23070386,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L178_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L178_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRR27394192,SAMN39205381,SRX23070385,SRP480849,PRJNA1035514,Leaf tissue from V4 stage,Population QS15544,QS15544_paired_L177_R1,25 days,V4 stage,,,,Population QS15544,,,,,,,,,RNAseq_paired_L177_R1,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
