biosample,strain,cultivar,isolate,ecotype,age,tissue,disease,population,treatment,accession,collection_location,graft_combination,biological_replicate,genotype,photoperiod,replicate,ploidy,propagation,phenotype,seed_harvest_year,host,compartment,breed,sex,Replicate,condition,line,timepoint,sample,location,tmp,label,Stage,temperature,generation,preservation,trait,time,identity,vector,v_type,sampling_time_point,transgene,ID,distinctive_attribute,id,compound,Block,purification,technique,VIGS,infection,48_h_inoculation,dehydration,replication,Replication,subregion,inoculation,re_1,library_type,mutant,Dawei,md5sum,replicates,re_2,cultivars,pigmentation,library_id,title,library_strategy,library_source,library_selection,library_layout,platform,instrument_model,design_description,filetype,tem,depth,elevation,tag,filename,filename2,innoculation,file_name,concentration,BioSourceType,InitialTimePoint,Authors,HostIndividual,barcodesequence,scientific_name
SAMN31521734,,ZH01 (Recombination inbred line),Biological Replicate-2,,,Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN32153633,,soybean,not determined,not determined,not determined,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN29914716,,Kefeng-1,,,,leaves,,,treatment,,,,,,,biological replicate 3,,,,,,,,,,,,,,,,,,,,,,,,,,6 hpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN15648577,,P577,not applicable,YHSBLP,not applicable,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN40001353,,Glycine max,missing,missing,missing,seed,,,no,,,,,,,replicate = biological replication 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN16427391,,FG72,,,not collected,radicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN30806751,,Genesis 5601,not applicable,not applicable,not applicable,stem,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN09716009,,,,,,The whole shoot above cotelydon,,,,,,,,4,LD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMD00117546,Senegal Th74.08,,,,,,,,,,,,,,,,,,,,P.falciparum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN39995218,,suinong42,not applicable,not applicable,not applicable,leaf,,,suinong-CK+biological replicate 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN02225595,,,,,,hypocotyl (stem),,,,,,,,,,,,,,,,,,,,,Rps3-b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P. sojae inoculated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN33295269,,Williams 82,,,,seed development embryo R5.2 replicate 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN10782660,,missing,,,,Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN33988738,,BRS 413 RR,,,,Seed,,,Six months in uncontrolled enviroment,,,,,,,,,,Yellow seed coat,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN13520103,,,,,,,,,infestation,,,,,P746_antibiotic,,,,,,,,,,,,,,,,,,,48 hours after infestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN39205419,,Population QS15544,,Population QS15544,25 days,Leaf tissue from V4 stage,,QS15544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN02776939,,William 82,,,,seeds ranging 3.0-3.5mm in length,,,,,,,,,,,,,,,,cotyledon Stage Embryo Proper Cotyledon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN23131653,,Clark,,,12 days after BPMV-VIGS inoculation,whole root,,,HG gene group; empty vector,PI 548533,"Ames, IA",,Rep 1 of 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN39309670,,Kefeng No.1,5,,,Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN39637162,,Jack,,,not collected,Root,,,NP_normalphosphate(Pi)supply(500μM_Pi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN03003437,Williams 82,,,,,,,,,,,,,,,,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN12210911,,Jidou 17,,,,Pod and Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN02358926,,ClarkNIL-L65-3366,,,,,,,Shift (LD 3 weeks -&gt; SD 5 days),,,,,,,,,,,,,,,,,,,afternoon 2:30 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN25263483,,ZC-2,,,,Pod,,,,,,,,,,replicate = biological replicate 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN12099685,,Sloan,NA,NA,14 DPI,root,,,Mock Inoculated,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN34240553,,L14,After 24 h of drought treatment,Northeast China,25days after germination,Leaves,,not provided,20%PEG6000,,,,,L14,,,,,not provided,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN15648254,,P233,not applicable,YHSBLP,not applicable,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN05223294,,,,,,seed,,,,,,,,low phytate soybean mutant TW-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN13746623,,Williams 82,,,,style and ovary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN02352881,,Williams 82,,,2 weeks old,Root,,,,,,,,,,,,,,,Glycine max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN07605648,,,,,germination day 30,trifoliolate leaf,,,,,,,,GmRAV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN02644813,,Williams 82,,,missing,Flower2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN13746631,,Williams 82,,,,filament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN01832607,,Williams 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100-200mg fresh weight,,,lyophilized,,,,,,,,,,,,,Qiagen Rneasy Midi kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN19653585,,Williams82,,,seeding 7 days,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN13520068,,,,,,,,,infestation,,,,,Dongnong47_susceptible,,,,,,,,,,,,,,,,,,,96 hours after infestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN26268060,,DN50,wild type-1-n-r,DND50,,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN15648530,,P530,not applicable,YHSBLP,not applicable,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN07130385,,,,,,,,,,,,,,,,1,,,,,,,,,,dehydrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN29911736,,NIL5,,,8DAP,stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN18736605,,,,,,seed,,,,,,,,MIPS1/mrp-l/mrp-n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN02359005,,Williams 82,,,,,,,Long Day (16L:8D),,,,,,,,,,,,,,,,,,,evening 10:30 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN09715670,,,,,,The whole shoot above cotelydon,,,,,,,,2,Sh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN26268059,,DN50,mutant-3-n-l,DND50,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN06830775,,,,,,,,,fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN22481315,,Magellan,,,,Buds,,,Combined water deficit and heat stress replicate 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN01832601,,Williams 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-14 days after flowering,,,fresh frozen,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN36379312,,not applicable,not applicable,not applicable,not applicable,root tip,,,,,,,,,,replicate = biological replicate 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN15648154,,P124,not applicable,YHSBLP,not applicable,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN21359681,,Hong hu liu yue bao,,,60 minutes after iron stress,1st trifoliolate leaflets,,,Deficient iron,PI 578366,"Ames, IA",,Rep 2 of 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN02358899,,ClarkNIL-L74-441,,,,,,,Short Day (10L:14D),,,,,,,,,,,,,,,,,,,evening 10:30 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN18355927,,,outdoor,,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN38636123,,Zhonghuang 13,not collected,not collected,,leaves,,,,,,,,,,replicate = biological replicate 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN05258396,,BRS 284,,,,embryonic axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN32153609,,soybean,not determined,not determined,not determined,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN40001408,,Glycine max,missing,missing,missing,seed,,,no,,,,,,,replicate = biological replication 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN05207283,,,,Williams 82,45 days,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN21216020,,PI 438471,Not applicable,Not applicable,23 days,Whole Root,,,Soybean cultivar PI 438471 infected with BPMV to silence Glyma.05G001700 treated to 16 days of iron deficiency stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN08461531,,PI 547409,,,,shoot apical meristem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN09715861,,,,,,The whole shoot above cotelydon,,,,,,,,3,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN02046342,,Williams 82,,,,Soybean Early Maturation-Seed Coat Palisade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN16427380,,MON0188,,,not collected,cytoledon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN15648597,,P597,not applicable,YHSBLP,not applicable,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN02944894,,AG1631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN15350939,,,multiisolate,,four-weeks old,root,,,drought stress,,,,,aalk1-RNAi,,,,,,,,,,,aalk1-RNAi treated biological replicate 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN11849874,,PI548533,,,,Roots,,,"24 hours -Fe, 48 hours +Fe, 24 hours -Fe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN01832599,,Williams 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 days after flowering,,,fresh frozen,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN08463890,,C08,,,,root,,,0.9% NaCl 24h,,,,,,,biological replicate 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN38355136,,Williams 82,,,14 days after sowing,root,,,The plants were inoculated with Rhizobium,,,,,,,replicate = biological replicte 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN09716303,,,,,,The whole shoot above cotelydon,,,,,,,,4,Sh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN04376695,,Gm-lpa-TW-1-M,,,,seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN31521729,,ZH01 (Recombination inbred line),Biological Replicate-1,,,Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN36760673,,,R48-2 line repeat 1 in CSSL population,,,Embryo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN16424907,,,,Williams 82,Young,NL-R2-root,,,,,,,,,,biological replicate 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN03389607,,Williams,,,,Seed Coat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frozen,,,,,,,,,,,,,Total RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN16089604,,PI 547430,Not applicable,Not applicable,17 days,1st Trifoliate,,,Soybean cultivar PI547430 treated to two days of iron stress.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN32153672,,soybean,not determined,not determined,not determined,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN36011947,,Jack,not collected,not collected,one year,seed,,,,,,,,,,replicate = biological replicate 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMD00276044,,,,,,BLOOD,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN16427378,,MON87708,,,not collected,hypocotyledon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN31521719,,Zhongdou 27,Biological Replicate-1,,,Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN19288366,,Williams 82,,,,root,,,Water,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN09513512,,12316,P. sojae 1.S.1.1,Conrad x Sloan,24 hai,inoculation site: ~2 cm below the crown,,F9:11 Recombinant inbred line,Mock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN15648554,,P554,not applicable,YHSBLP,not applicable,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN09714949,,Hikmok,,,4pi,root,P.sojae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN30310282,,Zhonghuang 13,,,,Flower_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN08828777,,Harosoy 63,,,,Whole seedling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN21359845,,TAKIYA,,,60 minutes after iron stress,Root,,,Sufficient iron,PI 084973,"Ames, IA",,Rep 1 of 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN15648173,,P144,not applicable,YHSBLP,not applicable,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN32153859,,soybean,not determined,not determined,not determined,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMD00161798,FVB/N,,,,,kidney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pCMV-SPORT6,phagemid (ampicillin resistant),,,,,,,,,,,,,,,,,,NotI,,,,,,SalI,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN07202305,,Tokyo,,,,leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN05908876,,Hutcheson,,,24 days,root,,,infected,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN37926507,,not collected,not collected,not collected,not collected,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN16424911,,,,Williams 82,Young,NN-R3-root,,,,,,,,,,biological replicate 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN12861902,,Williams 82,,,,leaves and roots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN38912912,,Williams86,,,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replicate5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN09078281,,NAM09 Prohio,,,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN01819911,,Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-3 days after planting,,,lyophilized,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN19245806,,not available,not available,not available,3 months,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN37390373,,,Soybean nodules of Williams 82 treated with Pb for 7 days biological replicate 2,,,Nodule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN02197691,,,,,,pod-shell 10 DAF,,,,,,,,HiPro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN18929627,,,,,,leaf,,,150 mM NaCl for 6h,,,,,Wild type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN15648138,,P106,not applicable,YHSBLP,not applicable,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN03473688,,,,,,Leaf,,,,,,,,rag2,,,,,,,,,,,,,,,,,,,,,,,susceptible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN19243704,,not available,not available,not available,3 months,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN21359705,,Chuseihadaka,,,60 minutes after iron stress,1st trifoliolate leaflets,,,Deficient iron,PI 438103,"Ames, IA",,Rep 2 of 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN22841282,,L65-1255 (IsoClark),,,120 minutes after transfer,1st trifoliolate leaflets,,,Deficient iron,PI 547430,"Ames, IA",G2 (Iso/Clk),Rep 1 of 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN07190387,,U06-105454,,,12 days old,Roots,,,1.0 uM Fe and 5 mM Bicarbonate,,,,,,,,,,,,,,,,Rep 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN19322193,,missing,,,30 days after sowing,leaf,,,B09-12-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN23254494,,ENREI,,,24 hpi rep 2,infected stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
