biosample,leave,leaf,seed,crown,shoot,stem,hypocotyl,pod,root,embryo,cotyledon,petiole,radicle,ovule,ovary
SAMN09987962,"{'tissue_sam_ss_dpl145': 'leaves', 'tissue': 'leaves'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN15455602,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09716418,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN15648330,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN30758621,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': ""['Whole Roots', 'root']"", 'tissue': 'root'}",{},{},{},{},{},{}
SAMN09513341,{},{},{},"{'tissue_sam_ss_dpl145': 'inoculation site: ~2 cm below the crown', 'tissue': 'inoculation site: ~2 cm below the crown'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN19288387,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN19473471,{},{},"{'tissue_sam_ss_dpl145': 'seedling', 'tissue': 'seedling'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN11849881,{},"{'tissue_sam_ss_dpl145': 'Leaf', 'tissue': 'Leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN04349715,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Root', 'tissue': 'Root'}",{},{},{},{},{},{}
SAMN32153923,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN23131675,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'whole root', 'tissue': 'whole root'}",{},{},{},{},{},{}
SAMN19217949,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'ROOT4', 'tissue': 'ROOT4'}",{},{},{},{},{},{}
SAMN21359745,{},"{'tissue_sam_ss_dpl145': '1st trifoliolate leaflets', 'tissue': '1st trifoliolate leaflets'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00549658,{},{},{},{},{},{},{},{},{'tissue_sam_ss_dpl145': 'Root'},{},{},{},{},{},{}
SAMN19355598,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': '1 cm of the root tip', 'tissue': '1 cm of the root tip'}",{},{},{},{},{},{}
SAMN09730125,{},{},"{'tissue_sam_ss_dpl145': 'Seed', 'tissue': 'Seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN03389613,{},{},{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Cotyledon', 'tissue': 'Cotyledon'}",{},{},{},{}
SAMN21359782,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Root', 'tissue': 'Root'}",{},{},{},{},{},{}
SAMN05908869,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN09715886,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN11836272,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'hairy root', 'tissue': 'hairy root'}",{},{},{},{},{},{}
SAMN30192813,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN39205359,{},"{'tissue_sam_ss_dpl145': 'Leaf tissue from V4 stage', 'tissue': 'Leaf tissue from V4 stage'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN01883202,{},{},"{'tissue_sam_ss_dpl145': 'seed coat (saddle)', 'tissue': 'seed coat (saddle)'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN38636113,"{'tissue_sam_ss_dpl145': 'leaves', 'tissue': 'leaves'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN19288385,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN32153749,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN32016128,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'KRP2 hairy root', 'tissue': 'KRP2 hairy root'}",{},{},{},{},{},{}
SAMN34062142,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': '2 cm root sections with roottip', 'tissue': '2 cm root sections with roottip'}",{},{},{},{},{},{}
SAMN09513396,{},{},{},"{'tissue_sam_ss_dpl145': 'inoculation site: ~2 cm below the crown', 'tissue': 'inoculation site: ~2 cm below the crown'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN09716245,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN15041194,{},"{'tissue_sam_ss_dpl145': 'unifoliate leaf', 'tissue': 'unifoliate leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN02046329,{},{},{},{},{},{},{},{},{},{},{'tissue': 'Soybean Early Maturation Stage-Cotyledon Abaxial Epidermis'},{},{},{},{}
SAMN09715757,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN28196704,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root tip', 'tissue': 'root tip'}",{},{},{},{},{},{}
SAMN15648581,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN15648271,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN02776945,{},{},"{'tissue_sam_ss_dpl145': 'seeds ranging 3.0-3.5mm in length', 'tissue': 'seeds ranging 3.0-3.5mm in length'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09078273,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN27926295,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN38863272,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN24108395,{},"{'tissue_sam_ss_dpl145': 'Leaf', 'tissue': 'Leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09715810,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN40001360,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN37004726,{},{},{},{},"{'tissue_sam_ss_dpl145': 'shoot', 'tissue': 'shoot'}",{},{},{},{},{},{},{},{},{},{}
SAMN21359852,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Root', 'tissue': 'Root'}",{},{},{},{},{},{}
SAMN21359865,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Root', 'tissue': 'Root'}",{},{},{},{},{},{}
SAMN33359912,{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'stem', 'tissue': 'stem'}",{},{},{},{},{},{},{},{},{}
SAMN32153479,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359764,{},"{'tissue_sam_ss_dpl145': '1st trifoliolate leaflets', 'tissue': '1st trifoliolate leaflets'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN40550410,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN36663992,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN29341256,"{'tissue_sam_ss_dpl145': 'leaves', 'tissue': 'leaves'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN18877654,{},{},{},{},"{'tissue_sam_ss_dpl145': 'shoot', 'tissue': 'shoot'}",{},{},{},{},{},{},{},{},{},{}
SAMN08828772,{},{},"{'tissue_sam_ss_dpl145': 'Whole seedling', 'tissue': 'Whole seedling'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN27926289,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN41430312,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN14409612,"{'tissue_sam_ss_dpl145': 'leave', 'tissue': 'leave'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09715928,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN28887512,{},{},"{'tissue_sam_ss_dpl145': 'Seeds', 'tissue': 'Seeds'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09716146,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN02742648,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN36760672,{},{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Embryo', 'tissue': 'Embryo'}",{},{},{},{},{}
SAMN09716299,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN36720914,{},{},"{'tissue_sam_ss_dpl145': 'seeds', 'tissue': 'seeds'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN19901947,{},"{'tissue_sam_ss_dpl145': 'Leaf', 'tissue': 'Leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN05327840,{},"{'tissue_sam_ss_dpl145': 'Leaf', 'tissue': 'Leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN11807778,"{'tissue_sam_ss_dpl145': 'first trifoliate leaves and apex', 'tissue': 'first trifoliate leaves and apex'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN39334578,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN21359750,{},"{'tissue_sam_ss_dpl145': '1st trifoliolate leaflets', 'tissue': '1st trifoliolate leaflets'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09716169,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN36379320,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root tip', 'tissue': 'root tip'}",{},{},{},{},{},{}
SAMN07190358,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Roots', 'tissue': 'Roots'}",{},{},{},{},{},{}
SAMN04932644,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Root', 'tissue': 'Root'}",{},{},{},{},{},{}
SAMN21359735,{},"{'tissue_sam_ss_dpl145': '1st trifoliolate leaflets', 'tissue': '1st trifoliolate leaflets'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN19271388,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN37888481,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN09714853,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN17492736,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN05755957,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN36379319,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root tip', 'tissue': 'root tip'}",{},{},{},{},{},{}
SAMN37888513,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN11849886,{},"{'tissue_sam_ss_dpl145': 'Leaf', 'tissue': 'Leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN28000083,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Soybean root', 'tissue': 'Soybean root'}",{},{},{},{},{},{}
SAMN09730129,{},{},"{'tissue_sam_ss_dpl145': 'Seed', 'tissue': 'Seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN30696809,"{'tissue_sam_ss_dpl145': 'Leaves', 'tissue': 'Leaves'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN29470466,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Root', 'tissue': 'Root'}",{},{},{},{},{},{}
SAMN41829222,{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Stem', 'tissue': 'Stem'}",{},{},{},{},{},{},{},{},{}
SAMN32153501,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN03389603,{},{},{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Cotyledon', 'tissue': 'Cotyledon'}",{},{},{},{}
SAMN16725451,{},{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'embryonic axis', 'tissue': 'embryonic axis'}",{},{},{},{},{}
SAMN02799134,{},{},{},{},{},{},{},{},{},{},{'tissue': 'Soybean Early Maturation Cotyledon Abaxial Parenchyma'},{},{},{},{}
SAMN02225607,{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'hypocotyl (stem)', 'tissue': 'hypocotyl (stem)'}","{'tissue_sam_ss_dpl145': 'hypocotyl (stem)', 'tissue': 'hypocotyl (stem)'}",{},{},{},{},{},{},{},{}
SAMN11849877,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Roots', 'tissue': 'Roots'}",{},{},{},{},{},{}
SAMN30758612,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': ""['Whole Roots', 'root']"", 'tissue': 'root'}",{},{},{},{},{},{}
SAMD00222772,{},{},{},{},{},{},{},{},{'tissue_sam_ss_dpl145': 'Root'},{},{},{},{},{},{}
SAMN21359668,{},"{'tissue_sam_ss_dpl145': '1st trifoliolate leaflets', 'tissue': '1st trifoliolate leaflets'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN16086459,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'roots', 'tissue': 'roots'}",{},{},{},{},{},{}
SAMN07202317,"{'tissue_sam_ss_dpl145': 'leaves', 'tissue': 'leaves'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN32153761,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN29911720,{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'stem', 'tissue': 'stem'}",{},{},{},{},{},{},{},{},{}
SAMN40001335,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN18736602,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN01886347,"{'tissue_sam_ss_dpl145': 'Trifoliolate leaves', 'tissue': 'Trifoliolate leaves'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN11371506,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN41725182,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN11807739,"{'tissue_sam_ss_dpl145': 'first trifoliate leaves and apex', 'tissue': 'first trifoliate leaves and apex'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN37703843,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN16674295,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Root', 'tissue': 'Root'}",{},{},{},{},{},{}
SAMN41725138,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN32153567,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN18929634,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN31100616,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN09716404,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN21359766,{},"{'tissue_sam_ss_dpl145': '1st trifoliolate leaflets', 'tissue': '1st trifoliolate leaflets'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09715812,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN03169153,{},"{'tissue_sam_ss_dpl145': 'distal leaf abscission zone', 'tissue': 'distal leaf abscission zone'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN08637756,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN29470424,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Root', 'tissue': 'Root'}",{},{},{},{},{},{}
SAMN41726374,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN15648592,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN41725169,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN18877650,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN09716202,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN22841321,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'whole root', 'tissue': 'whole root'}",{},{},{},{},{},{}
SAMN19243752,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN05580211,{},"{'tissue_sam_ss_dpl145': 'Leaf', 'tissue': 'Leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN15041188,{},"{'tissue_sam_ss_dpl145': 'unifoliate leaf', 'tissue': 'unifoliate leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN30806752,{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'stem', 'tissue': 'stem'}",{},{},{},{},{},{},{},{},{}
SAMN09513436,{},{},{},"{'tissue_sam_ss_dpl145': 'inoculation site: ~2 cm below the crown', 'tissue': 'inoculation site: ~2 cm below the crown'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN05915163,{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Stems', 'tissue': 'Stems'}",{},{},{},{},{},{},{},{},{}
SAMN09513458,{},{},{},"{'tissue_sam_ss_dpl145': 'inoculation site: ~2 cm below the crown', 'tissue': 'inoculation site: ~2 cm below the crown'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN33199885,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'roots', 'tissue': 'roots'}",{},{},{},{},{},{}
SAMN02046338,{},{},{},{},{},{},{},{},{'tissue': 'Soybean Early Maturation Stage-Root Tip'},{},{},{},{},{},{}
SAMN09716424,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN40001383,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN37265076,{},{},"{'tissue_sam_ss_dpl145': 'Seeds', 'tissue': 'Seeds'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN22841293,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'whole root', 'tissue': 'whole root'}",{},{},{},{},{},{}
SAMN32153864,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09715901,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN02870686,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN09716498,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN16483342,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN12792928,{},{},{},{},"{'tissue_sam_ss_dpl145': 'shoot apexes', 'tissue': 'shoot apexes'}",{},{},{},{},{},{},{},{},{},{}
SAMN29914731,"{'tissue_sam_ss_dpl145': 'leaves', 'tissue': 'leaves'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN39637159,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Root', 'tissue': 'Root'}",{},{},{},{},{},{}
SAMN21216019,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Whole Root', 'tissue': 'Whole Root'}",{},{},{},{},{},{}
SAMN09715911,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN40001432,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN36760701,{},{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Embryo', 'tissue': 'Embryo'}",{},{},{},{},{}
SAMN09716495,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN29993492,{},{},{},{},{},{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'ovule', 'tissue': 'ovule'}",{}
SAMN26566116,{},{},"{'tissue_sam_ss_dpl145': 'Seed', 'tissue': 'Seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN15648552,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN40001481,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN03173248,{},"{'tissue_sam_ss_dpl145': 'trifoliate leaf', 'tissue': 'trifoliate leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09715669,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN16483339,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN36760696,{},{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Embryo', 'tissue': 'Embryo'}",{},{},{},{},{}
SAMN17612247,{},{},"{'tissue_sam_ss_dpl145': 'Seed', 'tissue': 'Seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN32509939,{},"{'tissue_sam_ss_dpl145': 'Leaf at V1 stage', 'tissue': 'Leaf at V1 stage'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN05327832,{},"{'tissue_sam_ss_dpl145': 'Leaf', 'tissue': 'Leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN07342104,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN19288393,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN38024274,{},"{'tissue_sam_ss_dpl145': 'Leaf', 'tissue': 'Leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN03406709,{},{},"{'tissue_sam_ss_dpl145': 'Seedling', 'tissue': 'Seedling'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09513423,{},{},{},"{'tissue_sam_ss_dpl145': 'inoculation site: ~2 cm below the crown', 'tissue': 'inoculation site: ~2 cm below the crown'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN32153926,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN19243699,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN32153474,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN05223302,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN35737262,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN21359788,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Root', 'tissue': 'Root'}",{},{},{},{},{},{}
SAMN23254493,{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'infected stem', 'tissue': 'infected stem'}",{},{},{},{},{},{},{},{},{}
SAMN36663980,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
