biosample,bioproject,tejido,estres,tratamiento
SAMN02799124,PRJNA197251,root,,control
SAMN02799125,PRJNA197251,stem,,control
SAMN02799126,PRJNA197251,stem,,control
SAMN02799127,PRJNA197251,seed,,control
SAMN02799128,PRJNA197251,shoot,,control
SAMN02799129,PRJNA197251,shoot,,control
SAMN02799130,PRJNA197251,seed,,control
SAMN02799131,PRJNA197251,shoot,,control
SAMN02799132,PRJNA197251,seed,,control
SAMN02799133,PRJNA197251,seed,,control
SAMN02799134,PRJNA197251,seed,,control
SAMN02799135,PRJNA197251,seed,,control
SAMN02799136,PRJNA197251,stem,,control
SAMN02799137,PRJNA197251,seed,,control
SAMN02799138,PRJNA197251,seed,,control
SAMN02799139,PRJNA197251,stem,,control
SAMN02799140,PRJNA197251,other,,control
SAMN02799141,PRJNA197251,seed,,control
SAMN02799142,PRJNA197251,seed,,control
SAMN02799143,PRJNA197251,seed,,control
SAMN02799144,PRJNA197251,seed,,control
SAMN02799145,PRJNA197251,seed,,control
SAMN02799146,PRJNA197251,seed,,control
SAMN02799147,PRJNA197251,seed,,control
SAMN02799148,PRJNA197251,seed,,control
SAMN02799149,PRJNA197251,seed,,control
SAMN02799150,PRJNA197251,seed,,control
SAMN02047222,PRJNA197379,seed,,control
SAMN02047223,PRJNA197379,seed,,control
SAMN02047224,PRJNA197379,seed,,control
SAMN02047225,PRJNA197379,seed,,control
SAMN02047226,PRJNA197379,seed,,control
SAMN02047227,PRJNA197379,seed,,control
SAMN02047228,PRJNA197379,seed,,control
SAMN02047229,PRJNA197379,seed,,control
SAMN02047230,PRJNA197379,seed,,control
SAMN02047231,PRJNA197379,seed,,control
SAMN02047232,PRJNA197379,seed,,control
SAMN02047233,PRJNA197379,seed,,control
SAMN02047234,PRJNA197379,seed,,control
SAMN02047235,PRJNA197379,seed,,control
SAMN02047236,PRJNA197379,seed,,control
SAMN02047237,PRJNA197379,seed,,control
SAMN02047238,PRJNA197379,seed,,control
SAMN02047239,PRJNA197379,seed,,control
SAMN02047240,PRJNA197379,seed,,control
SAMN02047241,PRJNA197379,seed,,control
SAMN02047242,PRJNA197379,seed,,control
SAMN02047243,PRJNA197379,seed,,control
SAMN02047244,PRJNA197379,seed,,control
SAMN02047245,PRJNA197379,seed,,control
SAMN02047246,PRJNA197379,seed,,control
SAMN02047247,PRJNA197379,seed,,control
SAMN02047248,PRJNA197379,seed,,control
SAMN02047249,PRJNA197379,seed,,control
SAMN02047250,PRJNA197379,seed,,control
SAMN02047251,PRJNA197379,seed,,control
SAMN02138515,PRJNA201684,root,parasite,treatment
SAMN02140063,PRJNA201684,root,parasite,treatment
SAMN02140064,PRJNA201684,root,parasite,treatment
SAMN02141514,PRJNA201684,root,parasite,treatment
SAMN02141624,PRJNA201684,root,,control
SAMN02191990,PRJNA207354,seed,,control
SAMN02191991,PRJNA207354,seed,drought,treatment
SAMN02191992,PRJNA207354,seed,heat,treatment
SAMN02191993,PRJNA207354,seed,,control
SAMN02191994,PRJNA207354,seed,drought,treatment
SAMN02191995,PRJNA207354,seed,,control
SAMN02191996,PRJNA207354,seed,drought,treatment
SAMN02191997,PRJNA207354,seed,heat,treatment
SAMN02191998,PRJNA207354,seed,other,control
SAMN02191999,PRJNA207354,seed,heat,control
SAMN02192000,PRJNA207354,seed,other,treatment
SAMN02192001,PRJNA207354,seed,heat,treatment
SAMN02192002,PRJNA207354,seed,other,control
SAMN02192003,PRJNA207354,seed,heat,control
SAMN02192004,PRJNA207354,seed,other,treatment
SAMN02192005,PRJNA207354,seed,heat,treatment
SAMN02192006,PRJNA207354,seed,other,control
SAMN02192007,PRJNA207354,seed,heat,control
SAMN02192008,PRJNA207354,seed,other,treatment
SAMN02192009,PRJNA207354,seed,heat,treatment
SAMN02192010,PRJNA207354,seed,other,control
SAMN02192011,PRJNA207354,seed,heat,control
SAMN02192012,PRJNA207354,seed,other,treatment
SAMN02192013,PRJNA207354,seed,heat,treatment
SAMN02197688,PRJNA208048,leaf,,control
SAMN02197689,PRJNA208048,flower,transgenic,control
SAMN02197690,PRJNA208048,pod,,control
SAMN02197691,PRJNA208048,pod,,control
SAMN02197692,PRJNA208048,pod,,control
SAMN02197693,PRJNA208048,seed,,control
SAMN02197694,PRJNA208048,seed,,control
SAMN02197696,PRJNA208048,seed,,control
SAMN02197697,PRJNA208048,seed,,control
SAMN02197698,PRJNA208048,seed,,control
SAMN02197699,PRJNA208048,seed,,control
SAMN02197700,PRJNA208048,seed,,control
SAMN02197701,PRJNA208048,root,,control
SAMN02197702,PRJNA208048,nodule,,control
SAMN02215336,PRJNA209843,leaf,other,control
SAMN02215337,PRJNA209843,leaf,other,control
SAMN02215338,PRJNA209843,leaf,other,control
SAMN02215341,PRJNA209843,leaf,,treatment
SAMN02215342,PRJNA209843,leaf,other,control
SAMN02215343,PRJNA209843,leaf,,treatment
SAMN02215345,PRJNA209843,leaf,other,control
SAMN02215346,PRJNA209843,leaf,other,control
SAMN02215347,PRJNA209843,leaf,other,control
SAMN02215348,PRJNA209843,leaf,,control
SAMN02215349,PRJNA209843,leaf,other,treatment
SAMN02215350,PRJNA209843,leaf,other,treatment
SAMN02225589,PRJNA210431,hypocotyl,fungus,treatment
SAMN02225590,PRJNA210431,hypocotyl,fungus,treatment
SAMN02225591,PRJNA210431,hypocotyl,fungus,treatment
SAMN02225592,PRJNA210431,hypocotyl,fungus,treatment
SAMN02225593,PRJNA210431,hypocotyl,fungus,treatment
SAMN02225594,PRJNA210431,hypocotyl,fungus,treatment
SAMN02225595,PRJNA210431,hypocotyl,fungus,treatment
SAMN02225596,PRJNA210431,hypocotyl,fungus,treatment
SAMN02225597,PRJNA210431,hypocotyl,fungus,treatment
SAMN02225598,PRJNA210431,hypocotyl,fungus,treatment
SAMN02225599,PRJNA210431,hypocotyl,,control
SAMN02225600,PRJNA210431,hypocotyl,,control
SAMN02225601,PRJNA210431,hypocotyl,fungus,control
SAMN02225602,PRJNA210431,hypocotyl,fungus,control
SAMN02225603,PRJNA210431,hypocotyl,,control
SAMN02225604,PRJNA210431,hypocotyl,,control
SAMN02225605,PRJNA210431,hypocotyl,,control
SAMN02225606,PRJNA210431,hypocotyl,,control
SAMN02225607,PRJNA210431,hypocotyl,,control
SAMN02225608,PRJNA210431,hypocotyl,,control
SAMN02225609,PRJNA210431,hypocotyl,,control
SAMN02225610,PRJNA210431,hypocotyl,fungus,treatment
SAMN02261680,PRJNA213009,leaf,drought,treatment
SAMN02261681,PRJNA213009,leaf,drought,treatment
SAMN02261682,PRJNA213009,leaf,drought,treatment
SAMN02261683,PRJNA213009,leaf,drought,treatment
SAMN02261684,PRJNA213009,leaf,drought,treatment
SAMN02261685,PRJNA213009,leaf,drought,treatment
SAMN02261686,PRJNA213009,leaf,drought,treatment
SAMN02261687,PRJNA213009,leaf,drought,treatment
SAMN02261688,PRJNA213009,leaf,drought,treatment
SAMN02261689,PRJNA213009,leaf,drought,treatment
SAMN02261690,PRJNA213009,leaf,drought,treatment
SAMN02261691,PRJNA213009,leaf,drought,treatment
SAMN02314546,PRJNA214792,seed,,control
SAMN02314547,PRJNA214792,seed,,control
SAMN02314548,PRJNA214792,stem,transgenic,control
SAMN02314549,PRJNA214792,seed,,control
SAMN02314550,PRJNA214792,shoot,,treatment
SAMN02314551,PRJNA214792,seed,,control
SAMN02314552,PRJNA214792,seed,,control
SAMN02314553,PRJNA214792,root,transgenic,control
SAMN02324200,PRJNA215930,root,mineral poisoning,treatment
SAMN02352879,PRJNA218821,root,,treatment
SAMN02352878,PRJNA218823,root,,treatment
SAMN02352880,PRJNA218825,root,other,treatment
SAMN02352881,PRJNA218830,root,,control
SAMN02358841,PRJNA219510,leaf,,treatment
SAMN02358842,PRJNA219510,leaf,,treatment
SAMN02358844,PRJNA219510,leaf,,treatment
SAMN02358845,PRJNA219510,leaf,,treatment
SAMN02358847,PRJNA219510,leaf,,treatment
SAMN02358848,PRJNA219510,leaf,,treatment
SAMN02358849,PRJNA219510,leaf,,treatment
SAMN02358850,PRJNA219510,leaf,,treatment
SAMN02358851,PRJNA219510,leaf,,treatment
SAMN02358852,PRJNA219510,leaf,,treatment
SAMN02358853,PRJNA219510,leaf,,treatment
SAMN02358854,PRJNA219510,leaf,,treatment
SAMN02358855,PRJNA219510,leaf,,treatment
SAMN02358856,PRJNA219510,leaf,,treatment
SAMN02358857,PRJNA219510,leaf,,treatment
SAMN02358858,PRJNA219510,leaf,,treatment
SAMN02358859,PRJNA219510,leaf,,treatment
SAMN02358860,PRJNA219510,leaf,,treatment
SAMN02358861,PRJNA219510,leaf,,treatment
SAMN02358862,PRJNA219510,leaf,,treatment
SAMN02358863,PRJNA219510,leaf,,treatment
SAMN02358864,PRJNA219510,leaf,,treatment
SAMN02358865,PRJNA219510,leaf,,treatment
SAMN02358866,PRJNA219510,leaf,,treatment
SAMN02358867,PRJNA219510,leaf,,treatment
SAMN02358868,PRJNA219510,leaf,,treatment
SAMN02358869,PRJNA219510,leaf,,treatment
SAMN02358870,PRJNA219510,leaf,,treatment
SAMN02358871,PRJNA219510,leaf,,treatment
SAMN02358872,PRJNA219510,leaf,,treatment
SAMN02358873,PRJNA219510,leaf,,treatment
SAMN02358874,PRJNA219510,leaf,,treatment
SAMN02358875,PRJNA219510,leaf,,treatment
SAMN02358876,PRJNA219510,leaf,,treatment
SAMN02358877,PRJNA219510,leaf,,treatment
SAMN02358878,PRJNA219510,leaf,,treatment
SAMN02358879,PRJNA219510,leaf,,treatment
SAMN02358880,PRJNA219510,leaf,,treatment
SAMN02358881,PRJNA219510,leaf,,treatment
SAMN02358882,PRJNA219510,leaf,,treatment
SAMN02358883,PRJNA219510,leaf,,treatment
SAMN02358884,PRJNA219510,leaf,,treatment
SAMN02358885,PRJNA219510,leaf,,treatment
SAMN02358886,PRJNA219510,leaf,,treatment
SAMN02358887,PRJNA219510,leaf,,treatment
SAMN02358888,PRJNA219510,leaf,,treatment
SAMN02358889,PRJNA219510,leaf,,treatment
SAMN02358890,PRJNA219510,leaf,,treatment
SAMN02358891,PRJNA219510,leaf,,treatment
SAMN02358893,PRJNA219510,leaf,,treatment
SAMN02358896,PRJNA219510,leaf,,treatment
SAMN02358899,PRJNA219510,leaf,,treatment
SAMN02358900,PRJNA219510,leaf,,treatment
SAMN02358901,PRJNA219510,leaf,,treatment
SAMN02358902,PRJNA219510,leaf,,treatment
SAMN02358903,PRJNA219510,leaf,,treatment
SAMN02358905,PRJNA219510,leaf,,treatment
SAMN02358906,PRJNA219510,leaf,,treatment
SAMN02358907,PRJNA219510,leaf,,treatment
SAMN02358908,PRJNA219510,leaf,,treatment
SAMN02358909,PRJNA219510,leaf,,treatment
SAMN02358910,PRJNA219510,leaf,,treatment
SAMN02358911,PRJNA219510,leaf,,treatment
SAMN02358912,PRJNA219510,leaf,,treatment
SAMN02358913,PRJNA219510,leaf,,treatment
SAMN02358916,PRJNA219510,leaf,,treatment
SAMN02358917,PRJNA219510,leaf,,treatment
SAMN02358918,PRJNA219510,leaf,,treatment
SAMN02358919,PRJNA219510,leaf,,treatment
SAMN02358921,PRJNA219510,leaf,,treatment
SAMN02358922,PRJNA219510,leaf,,treatment
SAMN02358923,PRJNA219510,leaf,,treatment
SAMN02358924,PRJNA219510,leaf,,treatment
SAMN02358925,PRJNA219510,leaf,,treatment
SAMN02358926,PRJNA219510,leaf,,treatment
SAMN02358927,PRJNA219510,leaf,,treatment
SAMN02358928,PRJNA219510,leaf,,treatment
SAMN02358929,PRJNA219510,leaf,,treatment
SAMN02358930,PRJNA219510,leaf,,treatment
SAMN02358931,PRJNA219510,leaf,,treatment
SAMN02358932,PRJNA219510,leaf,,treatment
SAMN02358933,PRJNA219510,leaf,,treatment
SAMN02358934,PRJNA219510,leaf,,treatment
SAMN02358935,PRJNA219510,leaf,,treatment
SAMN02358936,PRJNA219510,leaf,,treatment
SAMN02358937,PRJNA219510,leaf,,treatment
SAMN02358938,PRJNA219510,leaf,,treatment
SAMN02358939,PRJNA219510,leaf,,treatment
SAMN02358940,PRJNA219510,leaf,,treatment
SAMN02358941,PRJNA219510,leaf,,treatment
SAMN02358942,PRJNA219510,leaf,,treatment
SAMN02358943,PRJNA219510,leaf,,treatment
SAMN02358944,PRJNA219510,leaf,,treatment
SAMN02358945,PRJNA219510,leaf,,treatment
SAMN02358946,PRJNA219510,leaf,,treatment
SAMN02358947,PRJNA219510,leaf,,treatment
SAMN02358950,PRJNA219510,leaf,,treatment
SAMN02358951,PRJNA219510,leaf,,treatment
SAMN02358953,PRJNA219510,leaf,,treatment
SAMN02358954,PRJNA219510,leaf,,treatment
SAMN02358955,PRJNA219510,leaf,,treatment
SAMN02358956,PRJNA219510,leaf,,treatment
SAMN02358957,PRJNA219510,leaf,,treatment
SAMN02358958,PRJNA219510,leaf,,treatment
SAMN02358959,PRJNA219510,leaf,,treatment
SAMN02358960,PRJNA219510,leaf,,treatment
SAMN02358962,PRJNA219510,leaf,,treatment
SAMN02358963,PRJNA219510,leaf,,treatment
SAMN02358965,PRJNA219510,leaf,,treatment
SAMN02358966,PRJNA219510,leaf,,treatment
SAMN02358967,PRJNA219510,leaf,,treatment
SAMN02358971,PRJNA219510,leaf,,treatment
SAMN02358972,PRJNA219510,leaf,,treatment
SAMN02358973,PRJNA219510,leaf,,treatment
SAMN02358974,PRJNA219510,leaf,,treatment
SAMN02358975,PRJNA219510,leaf,,treatment
SAMN02358976,PRJNA219510,leaf,,treatment
SAMN02358978,PRJNA219510,leaf,,treatment
SAMN02358979,PRJNA219510,leaf,,treatment
SAMN02358980,PRJNA219510,leaf,,treatment
SAMN02358981,PRJNA219510,leaf,,treatment
SAMN02358982,PRJNA219510,leaf,,treatment
SAMN02358983,PRJNA219510,leaf,,treatment
SAMN02358984,PRJNA219510,leaf,,treatment
SAMN02358985,PRJNA219510,leaf,,treatment
SAMN02358987,PRJNA219510,leaf,,treatment
SAMN02358989,PRJNA219510,leaf,,treatment
SAMN02358990,PRJNA219510,leaf,,treatment
SAMN02358991,PRJNA219510,leaf,,treatment
SAMN02358992,PRJNA219510,leaf,,treatment
SAMN02358995,PRJNA219510,leaf,,treatment
SAMN02358996,PRJNA219510,leaf,,treatment
SAMN02358997,PRJNA219510,leaf,,treatment
SAMN02358998,PRJNA219510,leaf,,treatment
SAMN02358999,PRJNA219510,leaf,,treatment
SAMN02359000,PRJNA219510,leaf,,treatment
SAMN02359001,PRJNA219510,leaf,,treatment
SAMN02359002,PRJNA219510,leaf,,treatment
SAMN02359003,PRJNA219510,leaf,,treatment
SAMN02359005,PRJNA219510,leaf,,treatment
SAMN02359006,PRJNA219510,leaf,,treatment
SAMN02359007,PRJNA219510,leaf,,treatment
SAMN02359008,PRJNA219510,leaf,,treatment
SAMN02359009,PRJNA219510,leaf,,treatment
SAMN02359010,PRJNA219510,leaf,,treatment
SAMN02359012,PRJNA219510,leaf,,treatment
SAMN02359013,PRJNA219510,leaf,,treatment
SAMN02359014,PRJNA219510,leaf,,treatment
SAMN02359015,PRJNA219510,leaf,,treatment
SAMN02359016,PRJNA219510,leaf,,treatment
SAMN02359017,PRJNA219510,leaf,,treatment
SAMN02359018,PRJNA219510,leaf,,treatment
SAMN02359019,PRJNA219510,leaf,,treatment
SAMN02359020,PRJNA219510,leaf,,treatment
SAMN02359021,PRJNA219510,leaf,,treatment
SAMN02359022,PRJNA219510,leaf,,treatment
SAMN02359023,PRJNA219510,leaf,,treatment
SAMN02359024,PRJNA219510,leaf,,treatment
SAMN02359025,PRJNA219510,leaf,,treatment
SAMN02359026,PRJNA219510,leaf,,treatment
SAMN02359027,PRJNA219510,leaf,,treatment
SAMN02359028,PRJNA219510,leaf,,treatment
SAMN02380534,PRJNA223414,root,nutrient deficit,treatment
SAMN02380535,PRJNA223414,root,nutrient deficit,treatment
SAMN02380536,PRJNA223414,root,nutrient deficit,treatment
SAMN02380549,PRJNA223414,root,nutrient deficit,treatment
SAMN02380550,PRJNA223414,root,nutrient deficit,treatment
SAMN02380551,PRJNA223414,root,nutrient deficit,treatment
SAMN02380552,PRJNA223414,root,nutrient deficit,treatment
SAMN02380553,PRJNA223414,root,nutrient deficit,treatment
SAMN02380554,PRJNA223414,root,nutrient deficit,treatment
SAMN02380555,PRJNA223414,root,nutrient deficit,treatment
SAMN02380568,PRJNA223414,root,nutrient deficit,treatment
SAMN02382015,PRJNA223414,root,nutrient deficit,treatment
SAMN02382016,PRJNA223414,root,nutrient deficit,treatment
SAMN02382017,PRJNA223414,root,nutrient deficit,treatment
SAMN02382018,PRJNA223414,root,nutrient deficit,treatment
SAMN02382019,PRJNA223414,root,nutrient deficit,treatment
SAMN02597090,PRJNA236472,flower,other,control
SAMN02597091,PRJNA236472,pod,other,control
SAMN02597092,PRJNA236472,flower,other,treatment
SAMN02597093,PRJNA236472,pod,other,treatment
SAMN02597094,PRJNA236472,flower,other,control
SAMN02597095,PRJNA236472,pod,,control
SAMN02597096,PRJNA236472,flower,other,treatment
SAMN02597097,PRJNA236472,pod,other,treatment
SAMN02597098,PRJNA236472,flower,other,control
SAMN02597099,PRJNA236472,pod,other,control
SAMN02597100,PRJNA236472,flower,other,treatment
SAMN02597101,PRJNA236472,pod,other,treatment
SAMN02597102,PRJNA236472,flower,other,control
SAMN02597103,PRJNA236472,pod,other,control
SAMN02597104,PRJNA236472,flower,other,treatment
SAMN02597105,PRJNA236472,pod,other,treatment
SAMN02640338,PRJNA238008,seed,transgenic,treatment
SAMN02640339,PRJNA238008,seed,,control
SAMN02640340,PRJNA238008,seed,,control
SAMN02640341,PRJNA238008,seed,transgenic,control
SAMN02640342,PRJNA238008,seed,transgenic,treatment
SAMN02640343,PRJNA238008,seed,transgenic,treatment
SAMN02640344,PRJNA238008,seed,,control
SAMN02640345,PRJNA238008,seed,transgenic,treatment
SAMN02640346,PRJNA238008,seed,transgenic,control
SAMN02640347,PRJNA238008,seed,transgenic,treatment
SAMN02640348,PRJNA238008,seed,transgenic,treatment
SAMN02640349,PRJNA238008,seed,transgenic,control
SAMN02644800,PRJNA238493,root,,control
SAMN02644802,PRJNA238493,seed,,control
SAMN02644803,PRJNA238493,stem,,control
SAMN02644804,PRJNA238493,stem,,control
SAMN02644805,PRJNA238493,shoot,,control
SAMN02644806,PRJNA238493,leaf,,control
SAMN02644807,PRJNA238493,leaf,,control
SAMN02644809,PRJNA238493,leaf,,control
SAMN02644810,PRJNA238493,leaf,,control
SAMN02644811,PRJNA238493,leaf,,control
SAMN02644812,PRJNA238493,flower,,control
SAMN02644813,PRJNA238493,flower,,control
SAMN02644814,PRJNA238493,flower,,control
SAMN02644815,PRJNA238493,flower,,control
SAMN02644816,PRJNA238493,flower,,control
SAMN02644817,PRJNA238493,pod,,control
SAMN02644818,PRJNA238493,pod,,control
SAMN02644819,PRJNA238493,pod,,control
SAMN02644820,PRJNA238493,pod,,control
SAMN02644821,PRJNA238493,pod,,control
SAMN02644822,PRJNA238493,pod,,control
SAMN02644823,PRJNA238493,seed,,control
SAMN02644824,PRJNA238493,seed,,control
SAMN02644825,PRJNA238493,seed,,control
SAMN02644826,PRJNA238493,seed,,control
SAMN02644827,PRJNA238493,seed,,control
SAMN02688407,PRJNA241144,root,transgenic,control
SAMN02688408,PRJNA241144,seed,transgenic,control
SAMN02688409,PRJNA241144,hypocotyl,transgenic,control
SAMN02688410,PRJNA241144,other,,control
SAMN02688411,PRJNA241144,shoot,transgenic,control
SAMN02688412,PRJNA241144,shoot,transgenic,control
SAMN02688413,PRJNA241144,shoot,transgenic,control
SAMN02688414,PRJNA241144,shoot,transgenic,control
SAMN02688415,PRJNA241144,flower,,control
SAMN02688416,PRJNA241144,flower,transgenic,control
SAMN02688417,PRJNA241144,seed,,control
SAMN02709646,PRJNA242863,seed,,treatment
SAMN02709647,PRJNA242863,seed,,control
SAMN02709648,PRJNA242863,seed,,control
SAMN02709649,PRJNA242863,seed,,control
SAMN02709650,PRJNA242863,seed,,control
SAMN02709651,PRJNA242863,seed,,treatment
SAMN02709652,PRJNA242863,seed,,treatment
SAMN02709653,PRJNA242863,seed,,treatment
SAMN02709654,PRJNA242863,seed,,control
SAMN02741939,PRJNA246024,seed,transgenic,control
SAMN02741944,PRJNA246024,seed,transgenic,treatment
SAMN02742047,PRJNA246024,seed,transgenic,control
SAMN02742632,PRJNA246058,root,drought,control
SAMN02742633,PRJNA246058,root,drought,control
SAMN02742634,PRJNA246058,root,drought,control
SAMN02742635,PRJNA246058,root,drought,control
SAMN02742636,PRJNA246058,root,drought,control
SAMN02742637,PRJNA246058,root,drought,control
SAMN02742638,PRJNA246058,root,drought,control
SAMN02742639,PRJNA246058,root,drought,control
SAMN02742640,PRJNA246058,root,drought,control
SAMN02742641,PRJNA246058,root,drought,control
SAMN02742642,PRJNA246058,root,drought,control
SAMN02742643,PRJNA246058,root,drought,control
SAMN02742644,PRJNA246058,root,drought,control
SAMN02742645,PRJNA246058,root,drought,control
SAMN02742646,PRJNA246058,root,drought,control
SAMN02742647,PRJNA246058,root,drought,control
SAMN02742648,PRJNA246058,root,drought,control
SAMN02742649,PRJNA246058,root,drought,control
SAMN02742650,PRJNA246058,root,drought,control
SAMN02742651,PRJNA246058,root,drought,control
SAMN02742652,PRJNA246058,root,drought,control
SAMN02746727,PRJNA246314,seed,,control
SAMN02746728,PRJNA246314,seed,,control
SAMN02746729,PRJNA246314,seed,,control
SAMN02746730,PRJNA246314,seed,,control
SAMN02746731,PRJNA246314,seed,,control
SAMN02746732,PRJNA246314,seed,,control
SAMN02746733,PRJNA246314,seed,,control
SAMN02746734,PRJNA246314,seed,,control
SAMN02746735,PRJNA246314,seed,,control
SAMN02746736,PRJNA246314,seed,,control
SAMN02746737,PRJNA246314,seed,,control
SAMN02746738,PRJNA246314,seed,,control
SAMN02746739,PRJNA246314,seed,,control
SAMN02746740,PRJNA246314,seed,,control
SAMN02746741,PRJNA246314,seed,,control
SAMN02746742,PRJNA246314,seed,,control
SAMN02746743,PRJNA246314,seed,,control
SAMN02746744,PRJNA246314,seed,,control
SAMN02746745,PRJNA246314,seed,,control
SAMN02746746,PRJNA246314,seed,,control
SAMN02746747,PRJNA246314,seed,,control
SAMN02746751,PRJNA246314,seed,,control
SAMN02746920,PRJNA246314,seed,,control
SAMN02747070,PRJNA246314,seed,,control
SAMN02746748,PRJNA246315,seed,,control
SAMN02746749,PRJNA246315,seed,,control
SAMN02746750,PRJNA246315,seed,,control
SAMN02746752,PRJNA246315,seed,,control
SAMN02746753,PRJNA246315,seed,,control
SAMN02746754,PRJNA246315,seed,,control
SAMN02746755,PRJNA246315,seed,,control
SAMN02746756,PRJNA246315,seed,,control
SAMN02746757,PRJNA246315,seed,,control
SAMN02746758,PRJNA246315,seed,,control
SAMN02746759,PRJNA246315,seed,,control
SAMN02746760,PRJNA246315,seed,,control
SAMN02746761,PRJNA246315,seed,,control
SAMN02746762,PRJNA246315,seed,,control
SAMN02746763,PRJNA246315,seed,,control
SAMN02746764,PRJNA246315,seed,,control
SAMN02746765,PRJNA246315,seed,,control
SAMN02746766,PRJNA246315,seed,,control
SAMN02746767,PRJNA246315,seed,,control
SAMN02746789,PRJNA246315,seed,,control
SAMN02746825,PRJNA246315,seed,,control
SAMN02746877,PRJNA246315,seed,,control
SAMN02746956,PRJNA246315,seed,,control
SAMN02746993,PRJNA246315,seed,,treatment
SAMN02747031,PRJNA246315,seed,,control
SAMN02776932,PRJNA246783,seed,,control
SAMN02776933,PRJNA246783,seed,,control
SAMN02776934,PRJNA246783,seed,,control
SAMN02776935,PRJNA246783,seed,,control
SAMN02776936,PRJNA246783,seed,,control
SAMN02776937,PRJNA246783,seed,,control
SAMN02776938,PRJNA246783,seed,,control
SAMN02776939,PRJNA246783,seed,,control
SAMN02776940,PRJNA246783,seed,,control
SAMN02776941,PRJNA246783,seed,,control
SAMN02776942,PRJNA246783,seed,,control
SAMN02776943,PRJNA246783,seed,,control
SAMN02776944,PRJNA246783,seed,,control
SAMN02776945,PRJNA246783,seed,,control
SAMN02776946,PRJNA246783,seed,,control
SAMN02776947,PRJNA246783,seed,,control
SAMN02776948,PRJNA246783,seed,,control
SAMN02776949,PRJNA246783,seed,,control
SAMN02776950,PRJNA246783,seed,,control
SAMN02776951,PRJNA246783,seed,,control
SAMN02776952,PRJNA246783,seed,,control
SAMN02776953,PRJNA246783,seed,,control
SAMN02776954,PRJNA246783,seed,,control
SAMN02776955,PRJNA246783,seed,,control
SAMN02776956,PRJNA246783,seed,,control
SAMN02776957,PRJNA246783,seed,,control
SAMN02776958,PRJNA246783,seed,,control
SAMN02776959,PRJNA246783,seed,,control
SAMN02776960,PRJNA246783,seed,,control
SAMN02776961,PRJNA246783,seed,,control
SAMN03734636,PRJNA248303,seed,,control
SAMN03734637,PRJNA248303,seed,,control
SAMN02799427,PRJNA248556,leaf,nutrient poisoning,treatment
SAMN02799428,PRJNA248556,leaf,nutrient poisoning,treatment
SAMN02799429,PRJNA248556,leaf,nutrient poisoning,treatment
SAMN02799430,PRJNA248556,leaf,,control
SAMN03003058,PRJNA250761,leaf,,control
SAMN03003042,PRJNA251047,,,control
SAMN02849414,PRJNA252095,pod,transgenic,treatment
SAMN02849415,PRJNA252095,pod,transgenic,control
SAMN02870643,PRJNA253461,seed,fungus,control
SAMN02870674,PRJNA253461,root,fungus,control
SAMN02870675,PRJNA253461,root,fungus,control
SAMN02870676,PRJNA253461,root,fungus,control
SAMN02870677,PRJNA253461,root,fungus,control
SAMN02870678,PRJNA253461,root,fungus,control
SAMN02870679,PRJNA253461,root,fungus,control
SAMN02870680,PRJNA253461,root,fungus,control
SAMN02870681,PRJNA253461,root,fungus,control
SAMN02870682,PRJNA253461,root,fungus,control
SAMN02870683,PRJNA253461,root,fungus,control
SAMN02870684,PRJNA253461,root,fungus,control
SAMN02870685,PRJNA253461,root,fungus,treatment
SAMN02870686,PRJNA253461,root,fungus,treatment
SAMN02870688,PRJNA253461,root,fungus,control
SAMN02870689,PRJNA253461,root,fungus,control
SAMN02870690,PRJNA253461,root,fungus,control
SAMN02870691,PRJNA253461,root,fungus,control
SAMN02870692,PRJNA253461,root,fungus,control
SAMN02870693,PRJNA253461,root,fungus,control
SAMN02905709,PRJNA253461,root,fungus,control
SAMN02905710,PRJNA253461,root,fungus,control
SAMN02902471,PRJNA254333,leaf,other,treatment
SAMN02902472,PRJNA254333,leaf,other,treatment
SAMN02902473,PRJNA254333,leaf,other,treatment
SAMN02902474,PRJNA254333,leaf,other,treatment
SAMN02902475,PRJNA254333,leaf,other,treatment
SAMN02902476,PRJNA254333,leaf,other,treatment
SAMN02902477,PRJNA254333,leaf,other,treatment
SAMN02902478,PRJNA254333,leaf,other,treatment
SAMN02902479,PRJNA254333,leaf,other,treatment
SAMN02902480,PRJNA254333,leaf,other,treatment
SAMN02902481,PRJNA254333,leaf,other,treatment
SAMN02902482,PRJNA254333,leaf,other,treatment
SAMN02902483,PRJNA254333,leaf,other,treatment
SAMN02902484,PRJNA254333,leaf,other,treatment
SAMN02902485,PRJNA254333,leaf,other,treatment
SAMN02902486,PRJNA254333,leaf,other,treatment
SAMN03003437,PRJNA256762,,,control
SAMN02944889,PRJNA256960,leaf,,control
SAMN02944890,PRJNA256960,leaf,,control
SAMN02944891,PRJNA256960,leaf,,control
SAMN02944892,PRJNA256960,leaf,,control
SAMN02944893,PRJNA256960,leaf,,control
SAMN02944894,PRJNA256960,leaf,,control
SAMN02944895,PRJNA256960,leaf,,treatment
SAMN02944896,PRJNA256960,leaf,,treatment
SAMN02944897,PRJNA256960,leaf,,treatment
SAMN02944898,PRJNA256960,leaf,,treatment
SAMN02944899,PRJNA256960,leaf,,treatment
SAMN02944900,PRJNA256960,leaf,,treatment
SAMN03000708,PRJNA258604,seed,transgenic,treatment
