biosample,control,ctrl,stress,drought,bacteria,inoculated,flood,deficit,infest,pathogen,acid,fung,sporus,iron,aluminum,cadmium,cold,temperature,nitrogen,heat
SAMN31760319,{},{},"{'treatment_sam_ss_dpl55': 'Heat stress', 'title': 'Heat stress soybean flower sepal replicate 1', 'treatment': 'Heat stress'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Heat stress', 'title': 'Heat stress soybean flower sepal replicate 1', 'treatment': 'Heat stress'}"
SAMN22841293,{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'IsoClark scion on Clark rootstock (Iso/Clk), 120 minutes after transfer, rep 3 root tissue, sufficient iron', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN29914731,"{'treatment_sam_ss_dpl55': 'control', 'treatment': 'control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21216019,{},{},"{'treatment_sam_ss_dpl55': 'Soybean cultivar PI 438471 infected with BPMV to silence Glyma.05G001700 grown in non-stress conditions', 'treatment': 'Soybean cultivar PI 438471 infected with BPMV to silence Glyma.05G001700 grown in non-stress conditions'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN36760701,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{'dev_stage_sam': 'R89-2-2 at low temperature treatment for 12 hours'},{},{}
SAMN03173248,"{'treatment_sam_ss_dpl55': 'NN control', 'treatment': 'NN control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN30722356,"{'isolate_sam_ss_dpl100': 'RNA of anther samples of high temperature stress treated and control soybean', 'isolate': 'RNA of anther samples of high temperature stress treated and control soybean'}",{},"{'isolate_sam_ss_dpl100': 'RNA of anther samples of high temperature stress treated and control soybean', 'isolate': 'RNA of anther samples of high temperature stress treated and control soybean'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{'isolate_sam_ss_dpl100': 'RNA of anther samples of high temperature stress treated and control soybean', 'isolate': 'RNA of anther samples of high temperature stress treated and control soybean'}",{},{}
SAMN36760696,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{'dev_stage_sam': 'R48-9-3 at non-low temperature treatment for 48 hours'},{},{}
SAMN32509939,"{'isolate_sam_ss_dpl100': 'Normal temperature control treatment for repeated.', 'isolate': 'Normal temperature control treatment for repeated.'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{'isolate_sam_ss_dpl100': 'Normal temperature control treatment for repeated.', 'isolate': 'Normal temperature control treatment for repeated.'}",{},{}
SAMN05327832,"{'treatment_sam_ss_dpl55': 'control-no aphid infestation', 'treatment': 'control-no aphid infestation'}",{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'control-no aphid infestation', 'treatment': 'control-no aphid infestation'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN09513423,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Inoculated', 'treatment': 'Inoculated'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359788,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Root tissue, PI 578366 (G3), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN13520080,{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'infestation', 'stage_sam': '24 hours after infestation', 'title': 'Dongnong47 24HAI infestation rep3', 'treatment': 'infestation', 'Stage': '24 hours after infestation'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN22841338,{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'IsoClark scion on IsoClark rootstock (Iso/Iso), 120 minutes after transfer, rep 3 leaf tissue, deficient iron', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN31760296,{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Water deficit', 'title': 'Water deficit soybean flower ovary replicate 3', 'treatment': 'Water deficit'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN15464732,{},{},"{'treatment_sam_ss_dpl55': 'Combined stress', 'title': 'CS59_Ch_Combined stress (CS)', 'treatment': 'Combined stress'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09987960,"{'treatment_sam_ss_dpl55': 'control', 'treatment': 'control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN32509955,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{'isolate_sam_ss_dpl100': 'Spray melatonin for 24 hours at low temperature treatment for repeated again.', 'isolate': 'Spray melatonin for 24 hours at low temperature treatment for repeated again.'}",{},{}
SAMN21359728,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Leaf tissue, PI 089156 (G11), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN21359753,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Leaf tissue, PI 068685 (G15), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN09513342,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Inoculated', 'treatment': 'Inoculated'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN27921904,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Inoculated with mycelium of Phytophthora sojae Race 2', 'treatment': 'Inoculated with mycelium of Phytophthora sojae Race 2'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359879,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Root tissue, PI 547430 (G18), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN30722366,"{'isolate_sam_ss_dpl100': 'RNA of anther and leaf samples of high temperature stress treated and control soybean', 'isolate': 'RNA of anther and leaf samples of high temperature stress treated and control soybean'}",{},"{'isolate_sam_ss_dpl100': 'RNA of anther and leaf samples of high temperature stress treated and control soybean', 'isolate': 'RNA of anther and leaf samples of high temperature stress treated and control soybean'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{'isolate_sam_ss_dpl100': 'RNA of anther and leaf samples of high temperature stress treated and control soybean', 'isolate': 'RNA of anther and leaf samples of high temperature stress treated and control soybean'}",{},{}
SAMN30722353,"{'isolate_sam_ss_dpl100': 'RNA of anther samples of high temperature stress treated and control soybean', 'isolate': 'RNA of anther samples of high temperature stress treated and control soybean'}",{},"{'isolate_sam_ss_dpl100': 'RNA of anther samples of high temperature stress treated and control soybean', 'isolate': 'RNA of anther samples of high temperature stress treated and control soybean'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{'isolate_sam_ss_dpl100': 'RNA of anther samples of high temperature stress treated and control soybean', 'isolate': 'RNA of anther samples of high temperature stress treated and control soybean'}",{},{}
SAMN22841279,{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'IsoClark scion on Clark rootstock (Iso/Clk), 30 minutes after transfer, rep 3 leaf tissue, sufficient iron', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN14604352,"{'treatment_sam_ss_dpl55': 'Control 2', 'title': 'Single Control R2', 'treatment': 'Control 2'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN12099652,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Fusarium virgliforme Inoculated', 'title': 'Soybean root inoculated with Fusarium viguliforme at 4 DPI mRNA', 'treatment': 'Fusarium virgliforme Inoculated'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN02191995,"{'treatment_sam_ss_dpl55': 'Control', 'treatment': 'Control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN22841281,{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'IsoClark scion on Clark rootstock (Iso/Clk), 30 minutes after transfer, rep 3 root tissue, sufficient iron', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN12727387,{},{},{},{},{},{'source_name_sam': 'SMV-G7 inoculated leaf'},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN38032662,{},{},"{'sample_name': 'A Study on the Root Transcriptome of Soybean JY47 during the 24-hour Nutritional Growth Period under Drought Stress', 'library_name': 'A Study on the Root Transcriptome of Soybean JY47 during the 24-hour Nutritional Growth Period under Drought Stress-3', 'primary_search': ""['1033409', '38032662', 'A Study on the Root Transcriptome of Soybean JY47 during the 24-hour Nutritional Growth Period under Drought Stress', 'A Study on the Root Transcriptome of Soybean JY47 during the 24-hour Nutritional Growth Period under Drought Stress-3', 'JY47_24_3_R1.fastq.gz', 'PRJNA1033409', 'SAMN38032662', 'SRP469046', 'SRR26560001', 'SRS19313438', 'SRX22261389', 'bp0']"", 'Sample name': 'A Study on the Root Transcriptome of Soybean JY47 during the 24-hour Nutritional Growth Period under Drought Stress'}","{'sample_name': 'A Study on the Root Transcriptome of Soybean JY47 during the 24-hour Nutritional Growth Period under Drought Stress', 'library_name': 'A Study on the Root Transcriptome of Soybean JY47 during the 24-hour Nutritional Growth Period under Drought Stress-3', 'primary_search': ""['1033409', '38032662', 'A Study on the Root Transcriptome of Soybean JY47 during the 24-hour Nutritional Growth Period under Drought Stress', 'A Study on the Root Transcriptome of Soybean JY47 during the 24-hour Nutritional Growth Period under Drought Stress-3', 'JY47_24_3_R1.fastq.gz', 'PRJNA1033409', 'SAMN38032662', 'SRP469046', 'SRR26560001', 'SRS19313438', 'SRX22261389', 'bp0']"", 'Sample name': 'A Study on the Root Transcriptome of Soybean JY47 during the 24-hour Nutritional Growth Period under Drought Stress'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN13520114,{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'infestation', 'stage_sam': '96 hours after infestation', 'title': 'P203 96HAI infestation rep3', 'treatment': 'infestation', 'Stage': '96 hours after infestation'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN21359842,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Root tissue, PI 086145 (G12), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN05580224,"{'source_name_sam': 'Line Williams 82_Depodding_Control4', 'sample_group_sam_s_dpl128': 'Control', 'title': 'Depodding_Control4.3'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN05327846,{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': '6 hours after infestation', 'treatment': '6 hours after infestation'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN36630244,{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Acidity+water deficit+low phosphate+salinity+cadmium', 'title': 'Combined acidity+water deficit+low phosphate+salinity+cadmium leaves replicate 3', 'treatment': 'Acidity+water deficit+low phosphate+salinity+cadmium'}",{},{},"{'treatment_sam_ss_dpl55': 'Acidity+water deficit+low phosphate+salinity+cadmium', 'title': 'Combined acidity+water deficit+low phosphate+salinity+cadmium leaves replicate 3', 'treatment': 'Acidity+water deficit+low phosphate+salinity+cadmium'}",{},{},{},{},"{'treatment_sam_ss_dpl55': 'Acidity+water deficit+low phosphate+salinity+cadmium', 'title': 'Combined acidity+water deficit+low phosphate+salinity+cadmium leaves replicate 3', 'treatment': 'Acidity+water deficit+low phosphate+salinity+cadmium'}",{},{},{},{}
SAMN21359872,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Root tissue, PI 548533 (G17), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN11849871,"{'sample_name': 'Clark T2_Control_Leaf', 'primary_search': ""['11849871', '544698', 'C_T2_L_c', 'Clark T2_Control_Leaf', 'ControlMem_L_Ku.sort.bam', 'PRJNA544698', 'SAMN11849871', 'SRP199444', 'SRR9119314', 'SRS4815020', 'SRX5893362', 'bp0']"", 'title': 'Clark Leaf T2 Control', 'Sample name': 'Clark T2_Control_Leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN22841298,{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Clark scion on IsoClark rootstock (Clk/Iso), 30 minutes after transfer, rep 2 leaf tissue, deficient iron', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN21359685,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Leaf tissue, PI 464877 (G4), sufficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN13386939,"{'title': ""RNA-Seq of 'Bogao' under control conditions""}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN03761647,"{'treatment_sam_ss_dpl55': 'control', 'source_name_sam': 'leaves control', 'treatment': 'control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN11849887,{},{},{'title': 'Clark -Pi Stress Late Leaf'},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN33988726,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Six months in cold chamber', 'treatment': 'Six months in cold chamber'}",{},{},{}
SAMN21359807,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Root tissue, PI 437462A (G6), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN09513332,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Inoculated', 'treatment': 'Inoculated'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359716,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Leaf tissue, PI 092465 (G9), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN30722374,"{'isolate_sam_ss_dpl100': 'RNA of anther and leaf samples of high temperature stress treated and control soybean', 'isolate': 'RNA of anther and leaf samples of high temperature stress treated and control soybean'}",{},"{'isolate_sam_ss_dpl100': 'RNA of anther and leaf samples of high temperature stress treated and control soybean', 'isolate': 'RNA of anther and leaf samples of high temperature stress treated and control soybean'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{'isolate_sam_ss_dpl100': 'RNA of anther and leaf samples of high temperature stress treated and control soybean', 'isolate': 'RNA of anther and leaf samples of high temperature stress treated and control soybean'}",{},{}
SAMN05580230,"{'source_name_sam': 'Line Williams 82_Depodding_Control3', 'sample_group_sam_s_dpl128': 'Control', 'title': 'Depodding_Control3.3'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN38355134,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'The plants were not inoculated with Rhizobium', 'treatment': 'The plants were not inoculated with Rhizobium'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN19473464,"{'sample_name': 'control 2', 'treatment_sam_ss_dpl55': 'control 2', 'primary_search': ""['19473464', '734138', 'CT2', 'PRJNA734138', 'SAMN19473464', 'SRP322090', 'SRR14698810', 'SRS9106794', 'SRX11037104', 'bp0', 'control 2', 'control2_1.fq.gz']"", 'treatment': 'control 2', 'Sample name': 'control 2'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN36780229,{},{},{},{},{},"{'isolate_sam_ss_dpl100': 'rem1a inoculated with Rhizobium NopL mutant at 24 hpi, Repeat 1', 'isolate': 'rem1a inoculated with Rhizobium NopL mutant at 24 hpi, Repeat 1'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN01886352,{'title': 'R-11272-RNA-Seq-rep2 control'},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN31760299,{'title': 'Control soybean flower ovary replicate 3'},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN36630195,{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Acidity+water deficit+low phosphate+salinity', 'title': 'Combined acidity+water deficit+low phosphate+salinity flowers replicate 1', 'treatment': 'Acidity+water deficit+low phosphate+salinity'}",{},{},"{'treatment_sam_ss_dpl55': 'Acidity+water deficit+low phosphate+salinity', 'title': 'Combined acidity+water deficit+low phosphate+salinity flowers replicate 1', 'treatment': 'Acidity+water deficit+low phosphate+salinity'}",{},{},{},{},{},{},{},{},{}
SAMN21359740,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Leaf tissue, PI 084973 (G13), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN13520115,{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'infestation', 'stage_sam': '96 hours after infestation', 'title': 'P203 96HAI infestation rep2', 'treatment': 'infestation', 'Stage': '96 hours after infestation'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN38355140,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'The plants were not inoculated with Rhizobium and subjected to POA treatment', 'treatment': 'The plants were not inoculated with Rhizobium and subjected to POA treatment'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359783,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Root tissue, PI 612611 (G2), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN04125386,"{'treatment_sam_ss_dpl55': 'Ambient [CO2] and 0 min of drought stress (control)-Biological replicate 2', 'treatment': 'Ambient [CO2] and 0 min of drought stress (control)-Biological replicate 2'}",{},"{'treatment_sam_ss_dpl55': 'Ambient [CO2] and 0 min of drought stress (control)-Biological replicate 2', 'treatment': 'Ambient [CO2] and 0 min of drought stress (control)-Biological replicate 2'}","{'treatment_sam_ss_dpl55': 'Ambient [CO2] and 0 min of drought stress (control)-Biological replicate 2', 'treatment': 'Ambient [CO2] and 0 min of drought stress (control)-Biological replicate 2'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN01886351,{'title': 'R-11272-RNA-Seq-rep1 control'},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN36760682,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{'dev_stage_sam': 'R48-5-1 at non-low temperature treatment for 48 hours'},{},{}
SAMN22841285,{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'IsoClark scion on Clark rootstock (Iso/Clk), 120 minutes after transfer, rep 1 root tissue, sufficient iron', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN04125389,{},{},"{'treatment_sam_ss_dpl55': 'Ambient [CO2] and 50 min of drought stress-Biological replicate 1', 'treatment': 'Ambient [CO2] and 50 min of drought stress-Biological replicate 1'}","{'treatment_sam_ss_dpl55': 'Ambient [CO2] and 50 min of drought stress-Biological replicate 1', 'treatment': 'Ambient [CO2] and 50 min of drought stress-Biological replicate 1'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN36630228,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Cadmium (300 uM CdCl2)', 'title': 'Cadmium flowers replicate 1', 'treatment': 'Cadmium (300 uM CdCl2)'}",{},{},{},{}
SAMN10721165,{},{},{},{},{},{},{},{},"{'age_sam': '5 day post aphid infestation', 'age': '5 day post aphid infestation'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN36630222,{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Salinity+water deficit', 'title': 'Combined salinity+water deficit flowers replicate 1', 'treatment': 'Salinity+water deficit'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN22841267,{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Clark scion on Clark rootstock (Clk/Clk), 120 minutes after transfer, rep 3 leaf tissue, sufficient iron', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN09513361,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Inoculated', 'treatment': 'Inoculated'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10721170,{},{},{},{},{},{},{},{},"{'age_sam': '5 day post aphid infestation', 'age': '5 day post aphid infestation'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN01886346,{'title': 'LDX-RNA-Seq-rep2 control'},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09513376,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Inoculated', 'treatment': 'Inoculated'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359770,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Leaf tissue, PI 547430 (G18), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN22841318,{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'IsoClark scion on IsoClark rootstock (Iso/Iso), 30 minutes after transfer, rep 1 leaf tissue, deficient iron', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN09513406,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Inoculated', 'treatment': 'Inoculated'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359810,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Root tissue, PI 196150 (G7), sufficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN33196664,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{'isolate_sam_ss_dpl100': 'Low temperature treatment of transgenic plants at 6 Celsius', 'isolate': 'Low temperature treatment of transgenic plants at 6 Celsius'}",{},{}
SAMN40273813,"{'primary_search': ""['1084194', '40273813', 'Control-3_L1_1.fq.gz', 'PRJNA1084194', 'SAMN40273813', 'SRP497118', 'SRR28415844', 'SRS20815004', 'SRX24020216', 'ZH302', 'ZH302_rep3_RNAseq']""}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN30758620,{},{},"{'treatment_sam_ss_dpl55': '7D vermiculite, then non-stress hydroponic conditions', 'treatment': '7D vermiculite, then non-stress hydroponic conditions'}",{},{},{},{},{},{},{},{},{},{},{'ion_stress_sam': 'iron sufficient'},{},{},{},{},{},{}
SAMN40876398,"{'isolate_sam_ss_dpl100': 'control', 'isolate': 'control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN12099670,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Mock Inoculated', 'title': 'Soybean root mock inoculated  at 4 DPI mRNA', 'treatment': 'Mock Inoculated'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10721150,{},{},{},{},{},{},{},{},"{'age_sam': '30 day post aphid infestation', 'age': '30 day post aphid infestation'}",{},{},{},{},{},{},{},{},{},{},{}
SAMD00235545,{},{},{},{},{},{},{},{},{},{},{},{},"{'sample_name_sam': '[Rhizopus_oligosporus_DAS6]', 'treatment_sam_ss_dpl55': 'Rhizopus oligosporus'}",{},{},{},{},{},{},{}
SAMN29470454,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'inoculated with Sinorhizobium HH103, the same as below', 'treatment': 'inoculated with Sinorhizobium HH103, the same as below'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN31760321,{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Water deficit', 'title': 'Water deficit soybean flower sepal replicate 2', 'treatment': 'Water deficit'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN36630207,{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Salinity+acidity+water deficit', 'title': 'Combined salinity+acidity+water deficit flowers replicate 1', 'treatment': 'Salinity+acidity+water deficit'}",{},{},"{'treatment_sam_ss_dpl55': 'Salinity+acidity+water deficit', 'title': 'Combined salinity+acidity+water deficit flowers replicate 1', 'treatment': 'Salinity+acidity+water deficit'}",{},{},{},{},{},{},{},{},{}
SAMN30758616,{},{},"{'treatment_sam_ss_dpl55': '7D vermiculite, then non-stress hydroponic conditions', 'treatment': '7D vermiculite, then non-stress hydroponic conditions'}",{},{},{},{},{},{},{},{},{},{},{'ion_stress_sam': 'iron sufficient'},{},{},{},{},{},{}
SAMN21216010,{},{},"{'treatment_sam_ss_dpl55': 'Soybean cultivar PI 438471 infected with BPMV treated to 16 days of iron deficiency stress', 'treatment': 'Soybean cultivar PI 438471 infected with BPMV treated to 16 days of iron deficiency stress'}",{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Soybean cultivar PI 438471 infected with BPMV treated to 16 days of iron deficiency stress', 'treatment': 'Soybean cultivar PI 438471 infected with BPMV treated to 16 days of iron deficiency stress'}",{},{},{},{},{},{}
